NPC编号	对象类型	名称	模型编号	头像	NPC类型	NPC种类ID	响应范围	选择操作分类	脚本编号	采集范围	采集时特效名	采集后特效名	采集后特效持续时间（毫秒）	刷新时间（ms）	采集动作名	读条时间(ms)	采集类型	参数1	参数2	回收	掉落	采集地点	最多可采集次数	体力	工具限制（不填写表示没有限制）	多人同时采集（填1允许）	AI编辑包	鼠标形状
Gather_xdm_dy_zcxg7	MineNpc	大漠奇草	npc\cj_040003	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				3000	interact017	3000	1	20978	0	0	item_xdm_dy_qihuaxg7		1			1		
Gather_xdm_dy_zczf1	MineNpc	骨血草	npc\cj_106013b1	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				3000	interact017	3000	1	20991	0	0	item_xdm_dy_qihuazf1		1			1		
Gather_xdm_dy_zczf2	MineNpc	仙笼草	npc\cj_106012a2	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				3000	interact017	3000	1	20992	0	0	item_xdm_dy_qihuazf2		1			1		
Gather_xdm_dy_zczf3	MineNpc	龙颜草	npc\cj_150150	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				3000	interact017	3000	1	20993	0	0	item_xdm_dy_qihuazf3		1			1		
Gather_xdm_dy_zczf4	MineNpc	空凌草	npc\cj_040003	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				3000	interact017	3000	1	20994	0	0	item_xdm_dy_qihuazf4		1			1		
																												
	长风镖局-水上行镖																											
Gather_cfbj_shxb_002	MineNpc	水缸	npc\itemnpc553	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				-1	interact041	2000	4				drop_cfbj_shxb_002		99999999			1		28
																												
Gather_nlb_dy_xh	MineNpc	鲜花	npc\itemnpc066	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				3000	interact017	3000	1	21352	0	0	useitem_nlb_dy_xh		1			1		
Gather_nlb_dy_hhcj	MineNpc	鲜花	npc\cj_040048	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				3000	interact017	3000	1	21354	0	0	item_nlb_dy_xh		1			1		
																												
Gathernpc_lxxz_xu_001	MineNpc	采集	npc\itemnpc1400_a		153	3	2	2	npc\gather_npc.lua	2				3000	interact017	2000	1	27563	0	0	item_lxxz_xu_005		1					28
Gathernpc_lxxz_xu_002	MineNpc	采集	npc\itemnpc1400_a		153	3	2	2	npc\gather_npc.lua	2				3000	interact017	2000	1	27563	0	0	item_lxxz_xu_006		1					28
Gathernpc_lxxz_xu_003	MineNpc	采集	npc\itemnpc1400_a		153	3	2	2	npc\gather_npc.lua	2				3000	interact017	2000	1	27563	0	0	item_lxxz_xu_007		1					28
Gathernpc_lxxz_xu_004	MineNpc	采集	npc\itemnpc1400_a		153	3	2	2	npc\gather_npc.lua	2				3000	interact017	2000	1	27563	0	0	item_lxxz_xu_008		1					28
Gathernpc_lxxz_xu_005	MineNpc	采集	npc\itemnpc1400_a		153	3	2	2	npc\gather_npc.lua	2				3000	interact017	2000	1	27563	0	0	item_lxxz_xu_009		1					28
Gathernpc_lxxz_xu_006	MineNpc	采集	npc\itemnpc066_01		153	3	2	2	npc\gather_npc.lua	2				3000	interact017	2000	1	27560	0	0	item_lxxz_xu_002		1					28
Gathernpc_lxxz_xu_007	MineNpc	采集	npc\itemnpc1401_a		153	3	2	2	npc\gather_npc.lua	2				3000	interact017	2000	1	27560	0	0	item_lxxz_xu_003		1					28
Gathernpc_lxxz_xu_008	MineNpc	采集	npc\itemnpc1451_a		153	3	2	2	npc\gather_npc.lua	2				3000	interact017	2000	1	27560	0	0	item_lxxz_xu_004		1					28
																												
gathernpc_yxtsz_001	MineNpc	装着书贼的麻袋	npc\itemnpc560	icon\funcnpc\task.png	109	3	2	2		2				-1	interact041	2000	4						1					28
																												
Gather_mm_dy_dj	MineNpc	少林典籍	npc\bag_wnhg01	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				10000	interact017	3000	1	71900	0	0	item_mm_dy_01		1					
																												
Gather_qynew_dy_01	MineNpc	线索	npc\itemboxnpc001	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				10000	interact017	3000	1	71080	0	0	useitem_qynew_dy_02		1					
Gather_qynew_dy_02	MineNpc	牌位	npc\itemnpc542	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				10000	interact017	3000	1	71082	0	0	item_qynew_dy_08		1					
																												
Gather_qynew_dy_03	MineNpc	天香草	npc\cj_106013b1	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				10000	interact017	3000	1	71084	0	0	item_qynew_dy_03		1					
Gather_qynew_dy_04	MineNpc	蛇蝎草	npc\cj_106012a2	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				10000	interact017	3000	1	71084	0	0	item_qynew_dy_04		1					
Gather_qynew_dy_05	MineNpc	丁香兰	npc\cj_150150	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				10000	interact017	3000	1	71084	0	0	item_qynew_dy_05		1					
