NPC编号	ini注释名称	对象类型	NPC类型	实力包编号	级别	修为经验	怪物强度	掉落	掉落数量	走路速度	跑步速度	武器持握方式	是否转身	模型编号	模型半径	图片	npc声音	材质类型	脚本编号	技能表	AI类型	主动被动	响应范围	锁定位移攻击	选择操作	拾取权限清空时间	无拾取物消失时间	最大消失时间	刷新时间	触发特效	巡逻模式	巡逻半径	路径ID	是否随机出现	武器名称	武器类型	出生状态	表现AI包编号	NPC种类ID	门派	称号	籍贯	阵营	名字表序号	生平表序号	生平	空闲状态对话	进入战斗对话	脱离战斗对话	死亡对话	召唤对话	受到伤害状态对话	敌人NPC编号表	队友编号	能否攻击	能不能被攻击	不能被杀死	攻击防御比重	防御概率	"战斗频率,毫秒"	无法被硬直	锁定技能间隔	召唤类型	召唤ID	召唤半径	表演概率	表演时间	"追击范围,米"	只关心距离脱离战斗	附加随机能力编号	普通攻击	势力归属	势力关系表	AI编辑包	直接触发	NPC可战斗设置	动作集	存在时间	缩放尺寸	格挡类型
swremon_wd10	武当高级弟子（唐门刷）	CommonNpc	2	6	70		2			4	5	hand1_1		npc\monster564	0.95	icon\monster\monster564.png					1		25	0	2	8	60	40	-1									1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_wd11	武当低级弟子（锦衣卫刷）	CommonNpc	2	4	65		2			4	5	hand1_1		npc\monster565	0.97	icon\monster\monster565.png					1		25	0	2	8	60	40	-1				school01_sw_jyw006					1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_wd12	武当高级弟子（锦衣卫刷）	CommonNpc	2	6	70		2			4	5	hand1_1		npc\monster564	0.95	icon\monster\monster564.png					1		25	0	2	8	60	40	-1				school01_sw_jyw006					1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_wd13	武当低级弟子（极乐谷刷）	CommonNpc	2	4	65		2			4	5	hand1_1		npc\monster565	0.97	icon\monster\monster565.png					1		25	0	2	8	60	40	-1									1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_wd14	武当高级弟子（极乐谷刷）	CommonNpc	2	6	70		2			4	5	hand1_1		npc\monster564	0.95	icon\monster\monster564.png					1		25	0	2	8	60	40	-1									1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_wd15	武当低级弟子（君子堂刷）	CommonNpc	2	4	65		2			4	5	hand1_1		npc\monster565	0.97	icon\monster\monster565.png					1		25	0	2	8	60	40	-1									1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_wd16	武当高级弟子（君子堂刷）	CommonNpc	2	6	70		2			4	5	hand1_1		npc\monster564	0.95	icon\monster\monster564.png					1		25	0	2	8	60	40	-1									1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_wd17	武当低级弟子（锦衣卫刷）	CommonNpc	2	4	65		2			4	5	hand1_1		npc\monster565	0.97	icon\monster\monster565.png					1		25	0	2	8	60	40	-1				school01_sw_jyw007					1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_wd18	武当高级弟子（锦衣卫刷）	CommonNpc	2	6	70		2			4	5	hand1_1		npc\monster564	0.95	icon\monster\monster564.png					1		25	0	2	8	60	40	-1				school01_sw_jyw007					1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
																																																																				50							1	1				
	//少林-school08																																																																			50							1	1				
swremon_sl01	少林低级弟子（武当刷）	CommonNpc	2	4	65		2			4	5	hand1_1		npc\monster126	0.887865	icon\monster\monster126.png					1			0	2	8	60	40	-1				schoolwar_wd01					1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_sl02	少林高级弟子（武当刷）	CommonNpc	2	6	70		2			4	5	hand1_1		npc\monster155	0.795	icon\monster\monster155.png					1			0	2	8	60	40	-1				schoolwar_wd01					1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_sl03	少林低级弟子（少林刷）	CommonNpc	2	4	65		2			4	5	hand1_1		npc\monster126	0.887865	icon\monster\monster126.png					1			0	2	8	60	40	-1				school08_sw_006					1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_sl04	少林高级弟子（少林刷）	CommonNpc	2	6	70		2			4	5	hand1_1		npc\monster155	0.795	icon\monster\monster155.png					1			0	2	8	60	40	-1				school08_sw_006					1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_sl05	少林低级弟子（峨眉刷）	CommonNpc	2	4	65		2			4	5	hand1_1		npc\monster126	0.887865	icon\monster\monster126.png					1			0	2	8	60	40	-1									1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_sl06	少林高级弟子（峨眉刷）	CommonNpc	2	6	70		2			4	5	hand1_1		npc\monster155	0.795	icon\monster\monster155.png					1			0	2	8	60	40	-1									1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_sl07	少林低级弟子（丐帮刷）	CommonNpc	2	4	65		2			4	5	hand1_1		npc\monster126	0.887865	icon\monster\monster126.png					1			0	2	8	60	40	-1									1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_sl08	少林高级弟子（丐帮刷）	CommonNpc	2	6	70		2			4	5	hand1_1		npc\monster155	0.795	icon\monster\monster155.png					1			0	2	8	60	40	-1									1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_sl09	少林低级弟子（唐门刷）	CommonNpc	2	4	65		2			4	5	hand1_1		npc\monster126	0.887865	icon\monster\monster126.png					1			0	2	8	60	40	-1									1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_sl10	少林高级弟子（唐门刷）	CommonNpc	2	6	70		2			4	5	hand1_1		npc\monster155	0.795	icon\monster\monster155.png					1			0	2	8	60	40	-1									1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_sl11	少林低级弟子（锦衣卫刷）	CommonNpc	2	4	65		2			4	5	hand1_1		npc\monster126	0.887865	icon\monster\monster126.png					1			0	2	8	60	40	-1				school01_sw_jyw006					1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_sl12	少林高级弟子（锦衣卫刷）	CommonNpc	2	6	70		2			4	5	hand1_1		npc\monster155	0.795	icon\monster\monster155.png					1			0	2	8	60	40	-1				school01_sw_jyw006					1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_sl13	少林低级弟子（极乐谷刷）	CommonNpc	2	4	65		2			4	5	hand1_1		npc\monster126	0.887865	icon\monster\monster126.png					1			0	2	8	60	40	-1									1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_sl14	少林高级弟子（极乐谷刷）	CommonNpc	2	6	70		2			4	5	hand1_1		npc\monster155	0.795	icon\monster\monster155.png					1			0	2	8	60	40	-1									1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_sl15	少林低级弟子（君子堂刷）	CommonNpc	2	4	65		2			4	5	hand1_1		npc\monster126	0.887865	icon\monster\monster126.png					1			0	2	8	60	40	-1									1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_sl16	少林高级弟子（君子堂刷）	CommonNpc	2	6	70		2			4	5	hand1_1		npc\monster155	0.795	icon\monster\monster155.png					1			0	2	8	60	40	-1									1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_sl17	少林低级弟子（锦衣卫刷）	CommonNpc	2	4	65		2			4	5	hand1_1		npc\monster126	0.887865	icon\monster\monster126.png					1			0	2	8	60	40	-1				school01_sw_jyw007					1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_sl18	少林高级弟子（锦衣卫刷）	CommonNpc	2	6	70		2			4	5	hand1_1		npc\monster155	0.795	icon\monster\monster155.png					1			0	2	8	60	40	-1				school01_sw_jyw007					1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
																																																																				50							1					
	//新门派战据点boss																																																																			50							1					
boss_att_wd	武当争夺点BOSS	BossNpc	3	70	70		3			1.25	5	sword1_1		npc\monster563	0.896633	icon\funcnpc\worldnpc051.png			npc\schoolnpc\schoolfight_help_boss.lua	"sw_wd_019,1,30;sw_wd_0110,1,30"	7		25	1	2	8	1	40	-1						s_r_230			1																						1500	1	1000	0					50	1			1110	"1111,0"	1526	1	1				
boss_att_gb	丐帮争夺点BOSS	BossNpc	3	70	70		3			1.25	5	hand1_1		npc\worldnpc565	0.92	icon\funcnpc\worldnpc492.png			npc\schoolnpc\schoolfight_help_boss.lua	"sw_gb_0101,1,30;sw_gb_0102,1,30"	7		25	1	2	8	60	40	-1									1																						1500	1	1000	0					50	1			1110	"1111,0"	1526	1	1				
boss_att_em	峨眉争夺点BOSS	BossNpc	3	70	70		3			1.25	5	dknife1_2		npc\worldnpc748	0.865	icon\funcnpc\worldnpc382.png			npc\schoolnpc\schoolfight_help_boss.lua	"sw_em_0401,1,30;sw_em_0402,1,30"	7		25	1	2	8	60	40	-1						dk_rl_npcitem300			1																						1500	1	1000	0					50	1			1110	"1111,0"	1526	1	1				
boss_att_jyw	锦衣卫争夺点BOSS	BossNpc	3	70	70		3			1.25	5	blade2_1		npc\monster290	0.93	icon\monster\monster382.png			npc\schoolnpc\schoolfight_help_boss.lua	"sw_jyw_0101,1,30;sw_jyw_0102,1,30"	7		25	1	2	8	60	40	-1						b_r_npcitem309			1																						1500	1	1000	0					50	1			1110	"1111,0"	1526	1	1				
boss_att_jz	君子堂争夺点BOSS	BossNpc	3	70	70		3			1.25	5	sword3_1		npc\monster297	1.030654	icon\funcnpc\worldnpc065.png			npc\schoolnpc\schoolfight_help_boss.lua	"sw_jz_0502,1,30;sw_jz_0503,1,30"	7		25	1	2	8	60	40	-1						s_r_264			1																						1500	1	1000	0					50	1			1110	"1111,0"	1526	1	1				
boss_att_jlg	极乐谷争夺点BOSS	BossNpc	3	70	70		3			1.25	5	dsword1_1		npc\worldnpc544	0.887166	icon\funcnpc\worldnpc544.png			npc\schoolnpc\schoolfight_help_boss.lua	"sw_jl_054,1,30;sw_jl_055,1,30"	7		25	1	2	8	60	40	-1						db_rl_npcitem201			1																						1500	1	1000	0					50	1			1110	"1111,0"	1526	1	1				
boss_att_tm	唐门争夺点BOSS	BossNpc	3	70	70		3			1.25	5	hand1_1		npc\worldnpc391	0.922925	icon\funcnpc\worldnpc313.png			npc\schoolnpc\schoolfight_help_boss.lua	"sw_tm_0105,30;sw_tm_0106,1,30"	7		25	1	2	8	60	40	-1									1																						1500	1	1000	0					50	1			1110	"1111,0"	1526	1	1				
boss_att_sl	少林争夺点BOSS	BossNpc	3	70	70		3			1.25	5	lstuff1_1		npc\monster155	0.903609	icon\funcnpc\worldnpc152.png			npc\schoolnpc\schoolfight_help_boss.lua	"sw_sl_0201,1,30;sw_sl_0202,1,30"	7		25	1	2	8	60	40	-1						lst_r_896			1																						1500	1	1000	0					50	1			1110	"1111,0"	1526	1	1				
																																																																				50							1					
boss_def_wd	武当争夺点BOSS	BossNpc	3	70	70		3			1.25	5	sword1_1		npc\monster563	0.896633	icon\funcnpc\worldnpc051.png			npc\schoolnpc\schoolfight_help_boss.lua	"sw_wd_019,1,30;sw_wd_0110,1,30"	7		25	1	2	8	1	40	-1						s_r_230			1																						1500	1	1000	0					50	1			1111	"1110,0"	1526	1	1				
boss_def_gb	丐帮争夺点BOSS	BossNpc	3	70	70		3			1.25	5	hand1_1		npc\worldnpc565	0.92	icon\funcnpc\worldnpc492.png			npc\schoolnpc\schoolfight_help_boss.lua	"sw_gb_0101,1,30;sw_gb_0102,1,30"	7		25	1	2	8	60	40	-1									1																						1500	1	1000	0					50	1			1111	"1110,0"	1526	1	1				
boss_def_em	峨眉争夺点BOSS	BossNpc	3	70	70		3			1.25	5	dknife1_2		npc\worldnpc748	0.865	icon\funcnpc\worldnpc382.png			npc\schoolnpc\schoolfight_help_boss.lua	"sw_em_0401,1,30;sw_em_0402,1,30"	7		25	1	2	8	60	40	-1						dk_rl_npcitem300			1																						1500	1	1000	0					50	1			1111	"1110,0"	1526	1	1				
boss_def_jyw	锦衣卫争夺点BOSS	BossNpc	3	70	70		3			1.25	5	blade2_1		npc\monster290	0.93	icon\monster\monster382.png			npc\schoolnpc\schoolfight_help_boss.lua	"sw_jyw_0101,1,30;sw_jyw_0102,1,30"	7		25	1	2	8	60	40	-1						b_r_npcitem309			1																						1500	1	1000	0					50	1			1111	"1110,0"	1526	1	1				
boss_def_jz	君子堂争夺点BOSS	BossNpc	3	70	70		3			1.25	5	sword3_1		npc\monster297	1.030654	icon\funcnpc\worldnpc065.png			npc\schoolnpc\schoolfight_help_boss.lua	"sw_jz_0502,1,30;sw_jz_0503,1,30"	7		25	1	2	8	60	40	-1						s_r_264			1																						1500	1	1000	0					50	1			1111	"1110,0"	1526	1	1				
boss_def_jlg	极乐谷争夺点BOSS	BossNpc	3	70	70		3			1.25	5	dsword1_1		npc\worldnpc544	0.887166	icon\funcnpc\worldnpc544.png			npc\schoolnpc\schoolfight_help_boss.lua	"sw_jl_054,1,30;sw_jl_055,1,30"	7		25	1	2	8	60	40	-1						db_rl_npcitem201			1																						1500	1	1000	0					50	1			1111	"1110,0"	1526	1	1				
boss_def_tm	唐门争夺点BOSS	BossNpc	3	70	70		3			1.25	5	hand1_1		npc\worldnpc391	0.922925	icon\funcnpc\worldnpc313.png			npc\schoolnpc\schoolfight_help_boss.lua	"sw_tm_0105,30;sw_tm_0106,1,30"	7		25	1	2	8	60	40	-1									1																						1500	1	1000	0					50	1			1111	"1110,0"	1526	1	1				
boss_def_sl	少林争夺点BOSS	BossNpc	3	70	70		3			1.25	5	lstuff1_1		npc\monster155	0.903609	icon\funcnpc\worldnpc152.png			npc\schoolnpc\schoolfight_help_boss.lua	"sw_sl_0201,1,30;sw_sl_0202,1,30"	7		25	1	2	8	60	40	-1						lst_r_896			1																						1500	1	1000	0					50	1			1111	"1110,0"	1526	1	1				
																																																																				50							1					
																																																																				50							1					
	攻方大营BOSS																																																																			50							1					
AssistantBoss_jyw01	锦衣卫攻方大营BOSS(朱林)	BossNpc	3	96	42		3			1.25	5	blade2_1		npc\worldnpc790	0.93	icon\monster\monster382.png			npc\schoolnpc\schoolfight_att_assist_boss.lua	"sw_jyw_0101,1,30;sw_jyw_0102,1,30"	7		25	1	2	8	60	40	-1						b_r_npcitem309			1																						1500	1	1000	0					50	1			1110	"1111,0"	1526	1	1				
AssistantBoss_jyw02	锦衣卫攻方大营BOSS(轩辕狂浪)	BossNpc	3	96	42		3			1.25	5	blade2_1		npc\worldnpc789	0.93	icon\monster\monster382.png			npc\schoolnpc\schoolfight_att_assist_boss.lua	"sw_jyw_0101,1,30;sw_jyw_0102,1,30"	7		25	1	2	8	60	40	-1						b_r_npcitem309			1																						1500	1	1000	0					50	1			1110	"1111,0"	1526	1	1				
AssistantBoss_jyw03	锦衣卫攻方大营BOSS(缪樱)	BossNpc	3	96	42		3			1.25	5	blade1_2		npc\worldnpc788	0.93	icon\monster\monster382.png			npc\schoolnpc\schoolfight_att_assist_boss.lua	"sw_jyw_0101,1,30;sw_jyw_0102,1,30"	7		25	1	2	8	60	40	-1						b_r_npcitem309			1																						1500	1	1000	0					50	1			1110	"1111,0"	1526	1	1				
AssistantBoss_gb01	丐帮攻方大营BOSS(白松奚)	BossNpc	3	96	42		3			1.25	5	hand1_1		npc\fbboss00205	0.92	icon\funcnpc\worldnpc492.png			npc\schoolnpc\schoolfight_att_assist_boss.lua	"sw_gb_0101,1,30;sw_gb_0102,1,30"	7		25	1	2	8	60	40	-1									1																						1500	1	1000	0					50	1			1110	"1111,0"	1526	1	1				
AssistantBoss_gb02	丐帮攻方大营BOSS(鲁术方)	BossNpc	3	96	42		3			1.25	5	hand1_1		npc\fbfunnpc00221	0.92	icon\funcnpc\worldnpc492.png			npc\schoolnpc\schoolfight_att_assist_boss.lua	"sw_gb_0101,1,30;sw_gb_0102,1,30"	7		25	1	2	8	60	40	-1									1																						1500	1	1000	0					50	1			1110	"1111,0"	1526	1	1				
AssistantBoss_gb03	丐帮攻方大营BOSS(石净之)	BossNpc	3	96	42		3			1.25	5	hand1_1		npc\worldnpc059	0.92	icon\funcnpc\worldnpc492.png			npc\schoolnpc\schoolfight_att_assist_boss.lua	"sw_gb_0101,1,30;sw_gb_0102,1,30"	7		25	1	2	8	60	40	-1									1																						1500	1	1000	0					50	1			1110	"1111,0"	1526	1	1				
AssistantBoss_jzt01	君子堂攻方大营BOSS(燕长空)	BossNpc	3	96	42		3			1.25	5	sword3_1		npc\boss041	1.030654	icon\funcnpc\worldnpc520.png			npc\schoolnpc\schoolfight_att_assist_boss.lua	"sw_jz_0502,1,30;sw_jz_0503,1,30"	7		25	1	2	8	60	40	-1						s_r_264			1																						1500	1	1000	0					50	1			1110	"1111,0"	1526	1	1				
AssistantBoss_jzt02	君子堂攻方大营BOSS(东方凌少)	BossNpc	3	96	42		3			1.25	5	sword3_1		npc\worldnpc753	1.030654	icon\funcnpc\worldnpc520.png			npc\schoolnpc\schoolfight_att_assist_boss.lua	"sw_jz_0502,1,30;sw_jz_0503,1,30"	7		25	1	2	8	60	40	-1						s_r_264			1																						1500	1	1000	0					50	1			1110	"1111,0"	1526	1	1				
AssistantBoss_jzt03	君子堂攻方大营BOSS(南宫曦宸)	BossNpc	3	96	42		3			1.25	5	sword3_1		npc\worldnpc077	1.030654	icon\funcnpc\worldnpc520.png			npc\schoolnpc\schoolfight_att_assist_boss.lua	"sw_jz_0502,1,30;sw_jz_0503,1,30"	7		25	1	2	8	60	40	-1						s_r_264			1																						1500	1	1000	0					50	1			1110	"1111,0"	1526	1	1				
AssistantBoss_jlg01	极乐谷攻方大营BOSS(桀昂)	BossNpc	3	96	42		3			1.25	5	dsword1_1		npc\worldnpc779	0.939206	icon\monster\fbfunnpc00222.png			npc\schoolnpc\schoolfight_att_assist_boss.lua	"sw_jl_054,1,30;sw_jl_055,1,30"	7		25	1	2	8	60	40	-1						db_rl_npcitem201			1																						1500	1	1000	0					50	1			1110	"1111,0"	1526	1	1				
AssistantBoss_jlg02	极乐谷攻方大营BOSS(孙月玮)	BossNpc	3	96	42		3			1.25	5	dknife1_2		npc\worldnpc776	0.939206	icon\monster\fbfunnpc00222.png			npc\schoolnpc\schoolfight_att_assist_boss.lua	"sw_jl_034,1,30;sw_jl_035,1,30"	7		25	1	2	8	60	40	-1						dk_r_707			1																						1500	1	1000	0					50	1			1110	"1111,0"	1526	1	1				
AssistantBoss_jlg03	极乐谷攻方大营BOSS(雾狐)	BossNpc	3	96	42		3			1.25	5	dsword1_1		npc\fbfunnpc00222	0.939206	icon\monster\fbfunnpc00222.png			npc\schoolnpc\schoolfight_att_assist_boss.lua	"sw_jl_054,1,30;sw_jl_055,1,30"	7		25	1	2	8	60	40	-1						db_rl_npcitem201			1																						1500	1	1000	0					50	1			1110	"1111,0"	1526	1	1				
AssistantBoss_tm01	唐门攻方大营BOSS(唐洗)	BossNpc	3	96	42		3			1.25	5	hand1_1		npc\worldnpc733	0.922925	icon\funcnpc\worldnpc313.png			npc\schoolnpc\schoolfight_att_assist_boss.lua	"sw_tm_0105,30;sw_tm_0106,1,30"	7		25	1	2	8	60	40	-1									1																						1500	1	1000	0					50	1			1110	"1111,0"	1526	1	1				
AssistantBoss_tm02	唐门攻方大营BOSS(唐解语)	BossNpc	3	96	42		3			1.25	5	hand1_2		npc\worldnpc731	0.922925	icon\funcnpc\worldnpc313.png			npc\schoolnpc\schoolfight_att_assist_boss.lua	"sw_tm_0105,30;sw_tm_0106,1,30"	7		25	1	2	8	60	40	-1									1																						1500	1	1000	0					50	1			1110	"1111,0"	1526	1	1				
AssistantBoss_tm03	唐门攻方大营BOSS(唐少昂)	BossNpc	3	96	42		3			1.25	5	hand1_1		npc\worldnpc725	0.922925	icon\funcnpc\worldnpc313.png			npc\schoolnpc\schoolfight_att_assist_boss.lua	"sw_tm_0105,30;sw_tm_0106,1,30"	7		25	1	2	8	60	40	-1									1																						1500	1	1000	0					50	1			1110	"1111,0"	1526	1	1				
AssistantBoss_em01	峨眉攻方大营BOSS(衣若熏)	BossNpc	3	96	42		3			1.25	5	dknife1_2		npc\worldnpc055	0.955	icon\funcnpc\worldnpc529.png			npc\schoolnpc\schoolfight_att_assist_boss.lua	"sw_em_0401,1,30;sw_em_0402,1,30"	7		25	1	2	8	60	40	-1						dk_rl_npcitem300			1																						1500	1	1000	0					50	1			1110	"1111,0"	1526	1	1				
AssistantBoss_em02	峨眉攻方大营BOSS(木蝶音)	BossNpc	3	96	42		3			1.25	5	dknife1_2		npc\worldnpc745	0.955	icon\funcnpc\worldnpc529.png			npc\schoolnpc\schoolfight_att_assist_boss.lua	"sw_em_0401,1,30;sw_em_0402,1,30"	7		25	1	2	8	60	40	-1						dk_rl_npcitem300			1																						1500	1	1000	0					50	1			1110	"1111,0"	1526	1	1				
AssistantBoss_em03	峨眉攻方大营BOSS(崔益鸾)	BossNpc	3	96	42		3			1.25	5	dknife1_2		npc\worldnpc502	0.955	icon\funcnpc\worldnpc529.png			npc\schoolnpc\schoolfight_att_assist_boss.lua	"sw_em_0401,1,30;sw_em_0402,1,30"	7		25	1	2	8	60	40	-1						dk_rl_npcitem300			1																						1500	1	1000	0					50	1			1110	"1111,0"	1526	1	1				
AssistantBoss_wd01	武当攻方大营BOSS(霍天星)	BossNpc	3	96	42		3			1.25	5	sword1_1		npc\worldnpc288	0.911459	icon\funcnpc\worldnpc225.png			npc\schoolnpc\schoolfight_att_assist_boss.lua	"sw_wd_019,1,30;sw_wd_0110,1,30"	7		25	1	2	8	60	40	-1						s_r_230			1																						1500	1	1000	0					50	1			1110	"1111,0"	1526	1	1				
AssistantBoss_wd02	武当攻方大营BOSS(玉璇子)	BossNpc	3	96	42		3			1.25	5	sword1_1		npc\worldnpc052	0.911459	icon\funcnpc\worldnpc225.png			npc\schoolnpc\schoolfight_att_assist_boss.lua	"sw_wd_018,1,30;sw_wd_0510,1,30"	7		25	1	2	8	60	40	-1						s_r_230			1																						1500	1	1000	0					50	1			1110	"1111,0"	1526	1	1				
AssistantBoss_wd03	武当攻方大营BOSS(天玑子)	BossNpc	3	96	42		3			1.25	5	sword1_1		npc\worldnpc225	0.911459	icon\funcnpc\worldnpc225.png			npc\schoolnpc\schoolfight_att_assist_boss.lua	"sw_wd_018,1,30;sw_wd_0110,1,30"	7		25	1	2	8	60	40	-1						s_r_230			1																						1500	1	1000	0					50	1			1110	"1111,0"	1526	1	1				
AssistantBoss_sl01	少林攻方大营BOSS(了因上人)	BossNpc	3	96	42		3			1.25	5	lstuff1_1		npc\worldnpc047	0.866949	icon\funcnpc\worldnpc094.png			npc\schoolnpc\schoolfight_att_assist_boss.lua	"sw_sl_0201,1,30;sw_sl_0202,1,30"	7		25	1	2	8	60	40	-1						lst_r_896			1																						1500	1	1000	0					50	1			1110	"1111,0"	1526	1	1				
AssistantBoss_sl02	少林攻方大营BOSS(了尘上人)	BossNpc	3	96	42		3			1.25	5	lstuff1_1		npc\worldnpc151	0.866949	icon\funcnpc\worldnpc094.png			npc\schoolnpc\schoolfight_att_assist_boss.lua	"sw_sl_0201,1,30;sw_sl_0202,1,30"	7		25	1	2	8	60	40	-1						lst_r_896			1																						1500	1	1000	0					50	1			1110	"1111,0"	1526	1	1				
AssistantBoss_sl03	少林攻方大营BOSS(祖明禅师)	BossNpc	3	96	42		3			1.25	5	lstuff1_1		npc\worldnpc152	0.866949	icon\funcnpc\worldnpc094.png			npc\schoolnpc\schoolfight_att_assist_boss.lua	"sw_sl_0201,1,30;sw_sl_0202,1,30"	7		25	1	2	8	60	40	-1						lst_r_896			1																						1500	1	1000	0					50	1			1110	"1111,0"	1526	1	1				
																																																																				50												
	//跨服门派战据点BOSS																																																																			50												
	//攻方																																																																			50												
boss_crosssschoolfight_01	锦衣卫镇守大将	BossNpc	3	94	42		3			1.25	5	blade2_1		npc\monster290	0.93	icon\monster\monster382.png			npc\schoolnpc\schoolfight_help_boss.lua	"sw_jyw_0101,1,30;sw_jyw_0102,1,30"	7		25	1	2	8	60	40	-1						b_r_npcitem309			1																						1500	1	1000	0					50	1			1110	"1111,0"	3224	1	1				
boss_crosssschoolfight_02	丐帮镇守大将	BossNpc	3	94	42		3			1.25	5	hand1_1		npc\worldnpc565	0.92	icon\funcnpc\worldnpc492.png			npc\schoolnpc\schoolfight_help_boss.lua	"sw_gb_0101,1,30;sw_gb_0102,1,30"	7		25	1	2	8	60	40	-1									1																						1500	1	1000	0					50	1			1110	"1111,0"	3224	1	1				
boss_crosssschoolfight_03	君子堂镇守大将	BossNpc	3	94	42		3			1.25	5	sword3_1		npc\monster297	1.030654	icon\funcnpc\worldnpc065.png			npc\schoolnpc\schoolfight_help_boss.lua	"sw_jz_0502,1,30;sw_jz_0503,1,30"	7		25	1	2	8	60	40	-1						s_r_264			1																						1500	1	1000	0					50	1			1110	"1111,0"	3224	1	1				
boss_crosssschoolfight_04	极乐谷镇守大将	BossNpc	3	94	42		3			1.25	5	dknife5_1		npc\worldnpc544	0.887166	icon\funcnpc\worldnpc544.png			npc\schoolnpc\schoolfight_help_boss.lua	"sw_jl_054,1,30;sw_jl_055,1,30"	7		25	1	2	8	60	40	-1						db_rl_npcitem201			1																						1500	1	1000	0					50	1			1110	"1111,0"	3224	1	1				
boss_crosssschoolfight_05	唐门镇守大将	BossNpc	3	94	42		3			1.25	5	hand1_1		npc\worldnpc391	0.922925	icon\funcnpc\worldnpc313.png			npc\schoolnpc\schoolfight_help_boss.lua	"sw_tm_0105,1,30;sw_tm_0106,1,30"	7		25	1	2	8	60	40	-1									1																						1500	1	1000	0					50	1			1110	"1111,0"	3224	1	1				
boss_crosssschoolfight_06	峨眉镇守大将	BossNpc	3	94	42		3			1.25	5	dknife1_2		npc\worldnpc748	0.865	icon\funcnpc\worldnpc382.png			npc\schoolnpc\schoolfight_help_boss.lua	"sw_em_0401,1,30;sw_em_0402,1,30"	7		25	1	2	8	60	40	-1						dk_rl_npcitem300			1																						1500	1	1000	0					50	1			1110	"1111,0"	3224	1	1				
boss_crosssschoolfight_07	武当镇守大将	BossNpc	3	94	42		3			1.25	5	sword1_1		npc\monster563	0.896633	icon\funcnpc\worldnpc051.png			npc\schoolnpc\schoolfight_help_boss.lua	"sw_wd_019,1,30;sw_wd_0110,1,30"	7		25	1	2	8	1	40	-1						s_r_230			1																						1500	1	1000	0					50	1			1110	"1111,0"	3224	1	1				
boss_crosssschoolfight_08	少林镇守大将	BossNpc	3	94	42		3			1.25	5	lstuff1_1		npc\monster155	0.903609	icon\funcnpc\worldnpc152.png			npc\schoolnpc\schoolfight_help_boss.lua	"sw_sl_0201,1,30;sw_sl_0202,1,30"	7		25	1	2	8	60	40	-1						lst_r_896			1																						1500	1	1000	0					50	1			1110	"1111,0"	3224	1	1				
	//守方																																																																			50							1					
boss_crosssschoolfight_09	锦衣卫镇守大将	BossNpc	3	94	42		3			1.25	5	blade2_1		npc\monster290	0.93	icon\monster\monster382.png			npc\schoolnpc\schoolfight_help_boss.lua	"sw_jyw_0101,1,30;sw_jyw_0102,1,30"	7		25	1	2	8	60	40	-1						b_r_npcitem309			1																						1500	1	1000	0					50	1			1111	"1110,0"	3224	1	1				
boss_crosssschoolfight_10	丐帮镇守大将	BossNpc	3	94	42		3			1.25	5	hand1_1		npc\worldnpc565	0.92	icon\funcnpc\worldnpc492.png			npc\schoolnpc\schoolfight_help_boss.lua	"sw_gb_0101,1,30;sw_gb_0102,1,30"	7		25	1	2	8	60	40	-1									1																						1500	1	1000	0					50	1			1111	"1110,0"	3224	1	1				
boss_crosssschoolfight_11	君子堂镇守大将	BossNpc	3	94	42		3			1.25	5	sword3_1		npc\monster297	1.030654	icon\funcnpc\worldnpc065.png			npc\schoolnpc\schoolfight_help_boss.lua	"sw_jz_0502,1,30;sw_jz_0503,1,30"	7		25	1	2	8	60	40	-1						s_r_264			1																						1500	1	1000	0					50	1			1111	"1110,0"	3224	1	1				
