NPC编号	对象类型	ini注释名称	NPC乞讨信息	表现AI包编号	NPC类型	选择操作	鼠标形状	停留时间	是否转身	走路速度	跑步速度	武器持握方式	模型编号	模型半径	图片	出生状态	npc声音	组成材料	武器名称	NPC种类ID	脚本编号	触发特效	AI类型	巡逻模式	巡逻半径	路径ID	是否随机出现	响应范围	门派	称号	籍贯	阵营	名字表序号	生平表序号	身份参数00000000'01	身份参数2	身份参数3	对话规则	生平	能否切磋	随机对话	下棋玩家的最小等级	NPC身上挂的棋谱包	NPC事件包编号	进入切磋前对话	结束切磋后对话	空闲状态对话	碰撞时对话	AI条件执行编码表	实力包编号	级别	修为经验	怪物强度	掉落	武器类型	锁定位移攻击	拾取权限清空时间	无拾取物消失时间	最大消失时间	附加随机能力编号	普通攻击	技能表	主动被动	固定NPC重生时间	敌人NPC编号表	队友编号	能否攻击	能不能被攻击	不能被杀死	攻防比重	"战斗频率,毫秒"	"追击范围,米"	无法被硬直	锁定技能间隔	召唤ID	召唤半径	召唤类型	表演概率	表演时间	势力归属	势力关系表	战斗开始的召唤ID	商店ID	洗红名功能	仓库ID	职业ID	宝石游戏NPC ID	接任务表	交任务表	可以加入的门派表	可获得的身份表	复活点	落脚点	驿站	输入关系包编号	是否有公会功能	帮派地块购买	是否有门派战功能	运镖编号	是否有帮派仓库	所属帮会地块编号	AI编辑包	是否可见	缩放比例	刷新时间	直接触发	防御概率属性	是否预载入	缩放比例	据点属性
SchoolFightFuncNpc07	CommonNpc	师门战报名官		8	223	2	2		1	1	5	hand1_1	npc\worldnpc207		icon\funcnpc\worldnpc207.png					0			3	0	0			20																																																																																		
SchoolFightFuncNpc08	CommonNpc	师门战报名官		8	223	2	2		1	1	5	hand1_1	npc\worldnpc207		icon\funcnpc\worldnpc207.png					0			3	0	0			20																																																																																		
																																																																																																														
SchoolFightItemNpc01	CommonNpc	装饰武器架		8	172	2	2		1	1	5	#N/A	npc\fbmac00040		icon\monster\fbmac00040.png					0			3	0	0			20																																																																																		
SchoolFightNpc_wd001	CommonNpc	围观NPC		8	81	2	2		1	1	5	hand1_1	npc\worldnpc053		icon\funcnpc\worldnpc053.png					0			3	0	0			20																																																																																		
SchoolFightNpc_wd002	CommonNpc	围观NPC		8	81	2	2		1	1	5	hand1_2	npc\worldnpc054		icon\funcnpc\worldnpc054.png					0			3	0	0			20																																																																																		
SchoolFightNpc_wd003	CommonNpc	围观NPC		8	81	2	2		1	1	5	hand1_2	npc\worldnpc230		icon\funcnpc\worldnpc230.png					0			3	0	0			20																																																																																		
SchoolFightNpc_wd004	CommonNpc	围观NPC		8	81	2	2		1	1	5	hand1_1	npc\monster563		icon\monster\monster563.png					0			3	0	0			20																																																																																		
																																																																																																														
SchoolTreasureNPC	CommonNpc	门派至宝讲解员		8	81	2	2		1	1	5	hand1_1	npc\worldnpc125		icon\funcnpc\worldnpc125.png					0	npc\schoolnpc\SchoolTreasureNPC.lua		3	0	0			25																																																																																		
SchoolFightCloseNPC	CommonNpc	门派封山npc		8	223	2	2		1	1	5	hand1_1	npc\worldnpc207		icon\funcnpc\worldnpc207.png					0			3	0	0			20																																																																																		
																																																																																																														
																																																																																																														
SchoolFightDefendNpc01	CommonNpc	门派战保护范围NPC			172								npc\itemnpc041								npc\schoolnpc\SchoolFightDefendNpc.lua							15																																																																																		
SchoolFightDefendNpc02	CommonNpc	门派战保护范围NPC			172								npc\itemnpc041								npc\schoolnpc\SchoolFightDefendNpc.lua							15																																																																																		
SchoolFightDefendNpc03	CommonNpc	门派战保护范围NPC			172								npc\itemnpc041								npc\schoolnpc\SchoolFightDefendNpc.lua							15																																																																																		
SchoolFightDefendNpc04	CommonNpc	门派战保护范围NPC			172								npc\itemnpc041								npc\schoolnpc\SchoolFightDefendNpc.lua							15																																																																																		
																																																																																																														
																																																																																																														
																																																																																																														
SchoolWarItemNpc01	CommonNpc	院子			172								npc\jcunluo04																																																																																																	
SchoolWarItemNpc02	CommonNpc	战旗（损）			172								npc\Guildwar002_03																																																																																																	
SchoolWarItemNpc03	CommonNpc	篝火			172								npc\guildeffect009																																																																																																	
SchoolWarItemNpc04	CommonNpc	石板			172								npc\fbmac021022																																																																																																	
SchoolWarItemNpc05	CommonNpc	栅栏			172								npc\fbmac00246																																																																																																	
SchoolWarItemNpc06	CommonNpc	箱子			172								npc\itemnpc692																																																																																																	
SchoolWarItemNpc07	CommonNpc	车药杂物			172								npc\itemnpc657																																																																																																	
SchoolWarItemNpc08	CommonNpc	草席			172								npc\itemnpc617																																																																																																	
SchoolWarItemNpc09	CommonNpc	水缸			172								npc\itemnpc553																																																																																																	
SchoolWarItemNpc10	CommonNpc	酒缸			172								npc\itemnpc470																																																																																																	
SchoolWarItemNpc11	CommonNpc	草堆			172								npc\itemnpc032																																																																																																	
SchoolWarItemNpc12	CommonNpc	木桌			172								npc\itemnpc009																																																																																																	
SchoolWarItemNpc13	CommonNpc	长凳			172								npc\itemnpc007																																																																																																	
SchoolWarItemNpc14	CommonNpc	大鼓			172								npc\itemnpc537																																																																																																	
SchoolWarItemNpc15	CommonNpc	木桩			172								npc\itemnpc004																																																																																																	
																																																																																																														
																																																																																																														
																																																																																																														
	//门派战通用NPC																																																																																																													
schoolwar_attack_01	SchoolFightStrongPoint	攻方大营功能			225								npc\itemnpc057															20																																																																																		
schoolwar_attack_02	SchoolFightStrongPoint	攻方大营功能			225								npc\itemnpc057															20																																																																																		
schoolwar_attack_03	SchoolFightStrongPoint	攻方大营功能			225								npc\itemnpc057															20																																																																																		
schoolwar_attack_04	SchoolFightStrongPoint	攻方大营功能			225								npc\itemnpc057															20																																																																																		
schoolwar_attack_05	SchoolFightStrongPoint	攻方大营功能			225								npc\itemnpc057															20																																																																																		
schoolwar_attack_06	SchoolFightStrongPoint	攻方大营功能			225								npc\itemnpc057															20																																																																																		
schoolwar_defend_01	SchoolFightStrongPoint	守方大营功能			225								npc\itemnpc057															20																																																																																		
schoolwar_defend_02	SchoolFightStrongPoint	守方大营功能			225								npc\itemnpc057															20																																																																																		
schoolwar_defend_03	SchoolFightStrongPoint	守方大营功能			225								npc\itemnpc057															20																																																																																		
schoolwar_defend_04	SchoolFightStrongPoint	守方大营功能			225								npc\itemnpc057															20																																																																																		
schoolwar_defend_05	SchoolFightStrongPoint	守方大营功能			225								npc\itemnpc057															20																																																																																		
schoolwar_defend_06	SchoolFightStrongPoint	守方大营功能			225								npc\itemnpc057															20																																																																																		
schoolwar_neutral_01	SchoolFightStrongPoint	争夺点功能(金)			225								npc\itemnpc057															20																																																																																		
schoolwar_neutral_02	SchoolFightStrongPoint	争夺点功能(金)			225								npc\itemnpc057															20																																																																																		
schoolwar_neutral_03	SchoolFightStrongPoint	争夺点功能(木)			225								npc\itemnpc057															20																																																																																		
schoolwar_neutral_04	SchoolFightStrongPoint	争夺点功能(木)			225								npc\itemnpc057															20																																																																																		
schoolwar_neutral_05	SchoolFightStrongPoint	争夺点功能(水)			225								npc\itemnpc057															20																																																																																		
schoolwar_neutral_06	SchoolFightStrongPoint	争夺点功能(水)			225								npc\itemnpc057															20																																																																																		
schoolwar_neutral_07	SchoolFightStrongPoint	争夺点功能(火)			225								npc\itemnpc057															20																																																																																		
schoolwar_neutral_08	SchoolFightStrongPoint	争夺点功能(火)			225								npc\itemnpc057															20																																																																																		
schoolwar_neutral_09	SchoolFightStrongPoint	争夺点功能(土)			225								npc\itemnpc057															20																																																																																		
schoolwar_neutral_10	SchoolFightStrongPoint	争夺点功能(土)			225								npc\itemnpc057															20																																																																																		
																																																																																																														
																																																																																																														
	门派战复活点大旗																																																																																																													
schoolwar_flag_jyw	CommonNpc	锦衣卫大旗			172								npc\itemnpc639																																																																																																	
schoolwar_flag_gb	CommonNpc	丐帮大旗			172								npc\itemnpc634																																																																																																	
schoolwar_flag_jzt	CommonNpc	君子堂大旗			172								npc\itemnpc637																																																																																																	
schoolwar_flag_jlg	CommonNpc	极乐谷大旗			172								npc\itemnpc638																																																																																																	
schoolwar_flag_tm	CommonNpc	唐门大旗			172								npc\itemnpc636																																																																																																	
schoolwar_flag_em	CommonNpc	峨眉大旗			172								npc\itemnpc635																																																																																																	
schoolwar_flag_wd	CommonNpc	武当大旗			172								npc\itemnpc632																																																																																																	
schoolwar_flag_sl	CommonNpc	少林大旗			172								npc\itemnpc633																																																																																																	
schoolwar_flag_wuzhanling	CommonNpc	无占领			172								npc\itemnpc_schoolwar_017																																																																																																3.1	
																																																																																																														
	门派战据点特效																																																																																																													
schoolwar_eff_jd01	CommonNpc	据点特效（木）			202					0	0		npc\itemnpc057_swjd01											0	0			10																																																																																		
schoolwar_eff_jd02	CommonNpc	据点特效（火）			202					0	0		npc\itemnpc057_swjd02											0	0			10																																																																																		
schoolwar_eff_jd03	CommonNpc	据点特效（水）			202					0	0		npc\itemnpc057_swjd03											0	0			10																																																																																		
schoolwar_eff_jd04	CommonNpc	据点特效（土）			202					0	0		npc\itemnpc057_swjd04											0	0			10																																																																																		
schoolwar_eff_jd05	CommonNpc	据点特效（金）			202					0	0		npc\itemnpc057_swjd05											0	0			10																																																																																		
																																																																																																														
	五行阵指挥使																																																																																																													
schoolwar_command_jyw	CommonNpc	锦衣卫指挥使		8	81	2	2			1	5	hand1_1	npc\worldnpc_schoolwar_008							0			3	0	0			10																																																																																		
schoolwar_command_gb	CommonNpc	丐帮指挥使		8	81	2	2			1	5	hand1_1	npc\worldnpc_schoolwar_002							0			3	0	0			10																																																																																		
schoolwar_command_jzt	CommonNpc	君子堂指挥使		8	81	2	2			1	5	hand1_1	npc\worldnpc_schoolwar_003							0			3	0	0			10																																																																																		
schoolwar_command_jlg	CommonNpc	极乐谷指挥使		8	81	2	2			1	5	hand1_1	npc\worldnpc_schoolwar_007							0			3	0	0			10																																																																																		
schoolwar_command_tm	CommonNpc	唐门指挥使		8	81	2	2			1	5	hand1_1	npc\worldnpc_schoolwar_005							0			3	0	0			10																																																																																		
schoolwar_command_em	CommonNpc	峨眉指挥使		8	81	2	2			1	5	hand1_1	npc\worldnpc_schoolwar_006							0			3	0	0			10																																																																																		
schoolwar_command_wd	CommonNpc	武当指挥使		8	81	2	2			1	5	hand1_1	npc\worldnpc_schoolwar_004							0			3	0	0			10																																																																																		
schoolwar_command_sl	CommonNpc	少林指挥使		8	81	2	2			1	5	hand1_1	npc\worldnpc_schoolwar_001							0			3	0	0			10																																																																																		
																																																																																																														
	五行指挥台																																																																																																													
schoolwar_item_gold	CommonNpc	金			172								npc\itemnpc_schoolwar_001																																																																																																	
schoolwar_item_wood	CommonNpc	木			172								npc\itemnpc_schoolwar_002																																																																																																	
schoolwar_item_water	CommonNpc	水			172								npc\itemnpc_schoolwar_003																																																																																																	
schoolwar_item_fire	CommonNpc	火			172								npc\itemnpc_schoolwar_004																																																																																																	
schoolwar_item_soil	CommonNpc	土			172								npc\itemnpc_schoolwar_005																																																																																																	
schoolwar_item_wall	CommonNpc	围墙			172								npc\itemnpc_schoolwar_006																																																																																																	
schoolwar_item_platform	CommonNpc	插旗台			172								npc\itemnpc_schoolwar_018																																																																																																	
																																																																																																														
	五行旗																																																																																																													
schoolwar_flag_gold01	CommonNpc	金（大旗）			172								npc\itemnpc_schoolwar_007																																																																																																	
schoolwar_flag_gold02	CommonNpc	金（小旗）			172								npc\itemnpc_schoolwar_012																																																																																																	
schoolwar_flag_wood01	CommonNpc	木（大旗）			172								npc\itemnpc_schoolwar_008																																																																																																	
schoolwar_flag_wood02	CommonNpc	木（小旗）			172								npc\itemnpc_schoolwar_013																																																																																																	
schoolwar_flag_water01	CommonNpc	水（大旗）			172								npc\itemnpc_schoolwar_009																																																																																																	
schoolwar_flag_water02	CommonNpc	水（小旗）			172								npc\itemnpc_schoolwar_014																																																																																																	
schoolwar_flag_fire01	CommonNpc	火（大旗）			172								npc\itemnpc_schoolwar_010																																																																																																	
schoolwar_flag_fire02	CommonNpc	火（小旗）			172								npc\itemnpc_schoolwar_015																																																																																																	
schoolwar_flag_soil01	CommonNpc	土（大旗）			172								npc\itemnpc_schoolwar_011																																																																																																	
schoolwar_flag_soil02	CommonNpc	土（小旗）			172								npc\itemnpc_schoolwar_016																																																																																																	
	//幽云战场																																																																																																													
yyzcjd_npc001	SchoolFightStrongPoint	据点			225								npc\itemnpc057															20																																																																																		
yyzcjd_npc002	SchoolFightStrongPoint	据点			225								npc\itemnpc057															20																																																																																		
yyzcjd_npc003	SchoolFightStrongPoint	据点			225								npc\itemnpc057															20																																																																																		
yyzcjd_npc004	SchoolFightStrongPoint	据点			225								npc\itemnpc057															20																																																																																		
yyzcjd_npc005	SchoolFightStrongPoint	据点			225								npc\itemnpc057															20																																																																																		
yyzcjd_npc006	SchoolFightStrongPoint	据点			225								npc\itemnpc057															20																																																																																		
yyzcjf_npc001	CommonNpc	力量第1裆积分			202								npc\itemnpc057_yyzq01								 npc\clone\worldwar01\yyzcjf_npc.lua							1																																																																												"0.6,0.6,0.6"						
yyzcjf_npc002	CommonNpc	力量第2裆积分			202								npc\itemnpc057_yyzq01								 npc\clone\worldwar01\yyzcjf_npc.lua							1.2																																																																												"0.7,0.7,0.7"						
yyzcjf_npc003	CommonNpc	力量第3裆积分			202								npc\itemnpc057_yyzq01								 npc\clone\worldwar01\yyzcjf_npc.lua							1.5																																																																												"0.8,0.8,0.8"						
yyzcjf_npc004	CommonNpc	力量第4裆积分			202								npc\itemnpc057_yyzq01								 npc\clone\worldwar01\yyzcjf_npc.lua							2																																																																												"0.9,0.9,0.9"						
yyzcjf_npc005	CommonNpc	力量第5裆积分			202								npc\itemnpc057_yyzq01								 npc\clone\worldwar01\yyzcjf_npc.lua							2.2																																																																																		
yyzcjf_npc006	CommonNpc	身法第1裆积分			202								npc\itemnpc057_yyzq02								 npc\clone\worldwar01\yyzcjf_npc.lua							1																																																																												"0.6,0.6,0.6"						
yyzcjf_npc007	CommonNpc	身法第2裆积分			202								npc\itemnpc057_yyzq02								 npc\clone\worldwar01\yyzcjf_npc.lua							1.2																																																																												"0.7,0.7,0.7"						
yyzcjf_npc008	CommonNpc	身法第3裆积分			202								npc\itemnpc057_yyzq02								 npc\clone\worldwar01\yyzcjf_npc.lua							1.5																																																																												"0.8,0.8,0.8"						
yyzcjf_npc009	CommonNpc	身法第4裆积分			202								npc\itemnpc057_yyzq02								 npc\clone\worldwar01\yyzcjf_npc.lua							2																																																																												"0.9,0.9,0.9"						
yyzcjf_npc010	CommonNpc	身法第5裆积分			202								npc\itemnpc057_yyzq02								 npc\clone\worldwar01\yyzcjf_npc.lua							2.2																																																																																		
yyzcjf_npc011	CommonNpc	内息第1裆积分			202								npc\itemnpc057_yyzq03								 npc\clone\worldwar01\yyzcjf_npc.lua							1																																																																												"0.6,0.6,0.6"						
yyzcjf_npc012	CommonNpc	内息第2裆积分			202								npc\itemnpc057_yyzq03								 npc\clone\worldwar01\yyzcjf_npc.lua							1.2																																																																												"0.7,0.7,0.7"						
yyzcjf_npc013	CommonNpc	内息第3裆积分			202								npc\itemnpc057_yyzq03								 npc\clone\worldwar01\yyzcjf_npc.lua							1.5																																																																												"0.8,0.8,0.8"						
yyzcjf_npc014	CommonNpc	内息第4裆积分			202								npc\itemnpc057_yyzq03								 npc\clone\worldwar01\yyzcjf_npc.lua							2																																																																												"0.9,0.9,0.9"						
yyzcjf_npc015	CommonNpc	内息第5裆积分			202								npc\itemnpc057_yyzq03								 npc\clone\worldwar01\yyzcjf_npc.lua							2.2																																																																																		
yyzcjf_npc016	CommonNpc	体魄第1裆积分			202								npc\itemnpc057_yyzq05								 npc\clone\worldwar01\yyzcjf_npc.lua							1																																																																												"0.6,0.6,0.6"						
yyzcjf_npc017	CommonNpc	体魄第2裆积分			202								npc\itemnpc057_yyzq05								 npc\clone\worldwar01\yyzcjf_npc.lua							1.2																																																																												"0.7,0.7,0.7"						
yyzcjf_npc018	CommonNpc	体魄第3裆积分			202								npc\itemnpc057_yyzq05								 npc\clone\worldwar01\yyzcjf_npc.lua							1.5																																																																												"0.8,0.8,0.8"						
yyzcjf_npc019	CommonNpc	体魄第4裆积分			202								npc\itemnpc057_yyzq05								 npc\clone\worldwar01\yyzcjf_npc.lua							2																																																																												"0.9,0.9,0.9"						
yyzcjf_npc020	CommonNpc	体魄第5裆积分			202								npc\itemnpc057_yyzq05								 npc\clone\worldwar01\yyzcjf_npc.lua							2.2																																																																																		
yyzcjf_npc021	CommonNpc	罡气第1裆积分			202								npc\itemnpc057_yyzq04								 npc\clone\worldwar01\yyzcjf_npc.lua							1																																																																												"0.6,0.6,0.6"						
yyzcjf_npc022	CommonNpc	罡气第2裆积分			202								npc\itemnpc057_yyzq04								 npc\clone\worldwar01\yyzcjf_npc.lua							1.2																																																																												"0.7,0.7,0.7"						
yyzcjf_npc023	CommonNpc	罡气第3裆积分			202								npc\itemnpc057_yyzq04								 npc\clone\worldwar01\yyzcjf_npc.lua							1.5																																																																												"0.8,0.8,0.8"						
yyzcjf_npc024	CommonNpc	罡气第4裆积分			202								npc\itemnpc057_yyzq04								 npc\clone\worldwar01\yyzcjf_npc.lua							2																																																																												"0.9,0.9,0.9"						
yyzcjf_npc025	CommonNpc	罡气第5裆积分			202								npc\itemnpc057_yyzq04								 npc\clone\worldwar01\yyzcjf_npc.lua							2.2																																																																																		
yyzc_qz_npc001	CommonNpc	空白旗帜			172								npc\itemnpc423a															25																																																																																		
yyzc_qz_npc002	CommonNpc	明军旗帜			172								npc\itemnpc719															25																																																																										1532		0.5						
yyzc_qz_npc003	CommonNpc	蒙军旗帜			172								npc\itemnpc720															25																																																																										1531		0.5						
yyzc_mjyl_01	CommonNpc	明军运粮官1		8	81	2	2		1	1	5	hand1_1	npc\worldnpc217		icon\funcnpc\worldnpc207.png					0			3	0	0			20																						6	40							120					1				0	0	0			0								1300																						1247			-1					
yyzc_mgyl_01	CommonNpc	蒙古运粮官1		8	81	2	2		1	1	5	hand1_1	npc\monster443		icon\funcnpc\worldnpc207.png					0			3	0	0			20																						6	40							120					1				0	0	0			0								1301																						1247			-1					
yyzc_mjyl_02	CommonNpc	明军运粮官2		8	81	2	2		1	1	5	hand1_1	npc\worldnpc217		icon\funcnpc\worldnpc207.png					0			3	0	0			20																						6	40							120					1				0	0	0			0								1300																						1247			-1					
yyzc_mgyl_02	CommonNpc	蒙古运粮官2		8	81	2	2		1	1	5	hand1_1	npc\monster443		icon\funcnpc\worldnpc207.png					0			3	0	0			20																						6	40							120					1				0	0	0			0								1301																						1247			-1					
yyzc_mjyl_03	CommonNpc	明军运粮官3		8	81	2	2		1	1	5	hand1_1	npc\worldnpc217		icon\funcnpc\worldnpc207.png					0			3	0	0			20																						6	40							120					1				0	0	0			0								1300																						1247			-1					
yyzc_mgyl_03	CommonNpc	蒙古运粮官3		8	81	2	2		1	1	5	hand1_1	npc\monster443		icon\funcnpc\worldnpc207.png					0			3	0	0			20																						6	40							120					1				0	0	0			0								1301																						1247			-1					
yyzc_mjyl_04	CommonNpc	明军运粮官4		8	81	2	2		1	1	5	hand1_1	npc\worldnpc217		icon\funcnpc\worldnpc207.png					0			3	0	0			20																						6	40							120					1				0	0	0			0								1300																						1247			-1					
yyzc_mgyl_04	CommonNpc	蒙古运粮官4		8	81	2	2		1	1	5	hand1_1	npc\monster443		icon\funcnpc\worldnpc207.png					0			3	0	0			20																						6	40							120					1				0	0	0			0								1301																						1247			-1					
yyzc_mjyl_05	CommonNpc	明军运粮官5		8	81	2	2		1	1	5	hand1_1	npc\worldnpc217		icon\funcnpc\worldnpc207.png					0			3	0	0			20																						6	40							120					1				0	0	0			0								1300																						1247			-1					
yyzc_mgyl_05	CommonNpc	蒙古运粮官5		8	81	2	2		1	1	5	hand1_1	npc\monster443		icon\funcnpc\worldnpc207.png					0			3	0	0			20																						6	40							120					1				0	0	0			0								1301																						1247			-1					
school_yznpc_001	CommonNpc	约战场景特效			202								npc\huashanleitai																																																																																									2011								
																																																																																																														
																																																																																																														
lxc_xbnpc_001	CommonNpc	普通地宝_地灵紫芝		8	202	2	6		1	1	5	hand1_1	npc\npcitem678_a		icon\funcnpc\worldnpc207.png					0	npc\clone\worldwar02\worldwardignpc.lua		3	0	0			2																						6	40							1	1				1				0	0	0			0																																	300000					
lxc_xbnpc_002	CommonNpc	普通地宝_玉露枇杷		8	202	2	6		1	1	5	hand1_1	npc\itemnpc166_a		icon\funcnpc\worldnpc207.png					0	npc\clone\worldwar02\worldwardignpc.lua		3	0	0			2																						6	40							1	1				1				0	0	0			0																																	300000					
lxc_xbnpc_003	CommonNpc	普通地宝_玄冰虫草		8	202	2	6		1	1	5	hand1_1	npc\npcitem669_a		icon\funcnpc\worldnpc207.png					0	npc\clone\worldwar02\worldwardignpc.lua		3	0	0			2																						6	40							1	1				1				0	0	0			0																																	300000					
lxc_xbnpc_004	CommonNpc	普通地宝_玄天冰魄		8	202	2	6		1	1	5	hand1_1	npc\cj020140_a		icon\funcnpc\worldnpc207.png					0	npc\clone\worldwar02\worldwardignpc.lua		3	0	0			2																						6	40							1	1				1				0	0	0			0																																	300000					
lxc_xbnpc_005	CommonNpc	大型地宝_千年铁木		8	202	2	6		1	1	5	hand1_1	npc\itemnpc447_a		icon\funcnpc\worldnpc207.png					0	npc\clone\worldwar02\worldwardignpc.lua		3	0	0			2																						6	40							1	1				1				0	0	0			0																																	300000					
lxc_xbnpc_006	CommonNpc	大型地宝_天蜈珠		8	202	2	6		1	1	5	hand1_1	npc\itemnpc057_yhrw		icon\funcnpc\worldnpc207.png					0	npc\clone\worldwar02\worldwardignpc.lua		3	0	0			2																						6	40							1	1				1				0	0	0			0																																	300000					
lxc_xbnpc_007	CommonNpc	稀有地宝_地心石钟乳		8	202	2	6		1	1	5	hand1_1	npc\npcitem671_a		icon\funcnpc\worldnpc207.png					0	npc\clone\worldwar02\worldwardignpc.lua		3	0	0			2																						6	40							1	1				1				0	0	0			0																																	300000					
lxc_xbnpc_008	CommonNpc	普通水宝_碧水青茗		8	202	2	6		1	1	5	hand1_1	npc\npcitem672_a		icon\funcnpc\worldnpc207.png					0	npc\clone\worldwar02\worldwardignpc.lua		3	0	0			2																						6	40							1	1				1				0	0	0			0																																	300000					
lxc_xbnpc_009	CommonNpc	普通水宝_水元珠		8	202	2	6		1	1	5	hand1_1	npc\npcitem676_a		icon\funcnpc\worldnpc207.png					0	npc\clone\worldwar02\worldwardignpc.lua		3	0	0			2																						6	40							1	1				1				0	0	0			0																																	300000					
lxc_xbnpc_010	CommonNpc	普通水宝_十二天香果		8	202	2	6		1	1	5	hand1_1	npc\cj_150100		icon\funcnpc\worldnpc207.png					0	npc\clone\worldwar02\worldwardignpc.lua		3	0	0			2																						6	40							1	1				1				0	0	0			0																																	300000					
lxc_xbnpc_011	CommonNpc	普通水宝_清心冰晶		8	202	2	6		1	1	5	hand1_1	npc\npcitem674_a		icon\funcnpc\worldnpc207.png					0	npc\clone\worldwar02\worldwardignpc.lua		3	0	0			2																						6	40							1	1				1				0	0	0			0																																	300000					
lxc_xbnpc_012	CommonNpc	大型水宝_通窍雪藕		8	202	2	6		1	1	5	hand1_1	npc\cj_041060b_1		icon\funcnpc\worldnpc207.png					0	npc\clone\worldwar02\worldwardignpc.lua		3	0	0			2																						6	40							1	1				1				0	0	0			0																																	300000					
lxc_xbnpc_013	CommonNpc	大型水宝_水月之花		8	202	2	6		1	1	5	hand1_1	npc\cj_160200		icon\funcnpc\worldnpc207.png					0	npc\clone\worldwar02\worldwardignpc.lua		3	0	0			2																						6	40							1	1				1				0	0	0			0																																	300000					
lxc_xbnpc_014	CommonNpc	稀有水宝_水魔莲		8	202	2	6		1	1	5	hand1_1	npc\itemnpc200		icon\funcnpc\worldnpc207.png					0	npc\clone\worldwar02\worldwardignpc.lua		3	0	0			2																						6	40							1	1				1				0	0	0			0																																	300000					
BoxNpc_lxc_yb_01	CommonNpc	异宝_人参果		8	202	2	6		1	1	5	hand1_1	npc\itemnpc776_a		icon\funcnpc\worldnpc207.png					0	npc\clone\worldwar02\worldwardignpc.lua		3	0	0			2																						6	40							1	1				1				0	0	0			0																																	300000					
																																																																																																														
lxc_huodui	CommonNpc	火堆		8	202	2							npc\itemnpc552_1															2																																																																																		
																																																																																																														
	//移花宫无缺公子																																																																																																													
yhg_xiuqiu001	CommonNpc	第一阶段绣球			202								npc\itemnpc057_wqxq01															1																																																																												"0.6,0.6,0.6"						
																																																																																																														
	//镇派兵器领取																																																																																																													
	//攻方																																																																																																													
funcnpc_schoolwar001a	CommonNpc	锦衣卫	镇派兵器管理员		81	2	2					hand1_1	npc\monster179		icon\funcnpc\monster179.png					0								5				1																																																																														
funcnpc_schoolwar002a	CommonNpc	丐帮	镇派兵器管理员		81	2	2					hand1_1	npc\worldnpc061		icon\funcnpc\worldnpc061.png					0								5				1																																																																														
funcnpc_schoolwar003a	CommonNpc	君子堂	镇派兵器管理员		81	2	2					hand1_1	npc\worldnpc204		icon\funcnpc\worldnpc204.png					0								5				1																																																																														
funcnpc_schoolwar004a	CommonNpc	极乐谷	镇派兵器管理员		81	2	2					hand1_1	npc\monster156		icon\funcnpc\monster156.png					0								5				1																																																																														
funcnpc_schoolwar005a	CommonNpc	唐门	镇派兵器管理员		81	2	2					hand1_1	npc\worldnpc388		icon\funcnpc\worldnpc388.png					0								5				1																																																																														
funcnpc_schoolwar006a	CommonNpc	峨眉	镇派兵器管理员		81	2	2					hand1_1	npc\monster208		icon\funcnpc\monster208.png					0								5				1																																																																														
funcnpc_schoolwar007a	CommonNpc	武当	镇派兵器管理员		81	2	2					hand1_1	npc\monster159		icon\funcnpc\monster159.png					0								5				1																																																																														
funcnpc_schoolwar008a	CommonNpc	少林	镇派兵器管理员		81	2	2					hand1_1	npc\monster155		icon\funcnpc\monster155.png					0								5				1																																																																														
	//守方																																																																																																													
funcnpc_schoolwar001b	CommonNpc	锦衣卫	镇派兵器管理员		81	2	2					hand1_1	npc\monster179		icon\funcnpc\monster179.png					0								5				1																																																																														
funcnpc_schoolwar002b	CommonNpc	丐帮	镇派兵器管理员		81	2	2					hand1_1	npc\worldnpc061		icon\funcnpc\worldnpc061.png					0								5				1																																																																														
funcnpc_schoolwar003b	CommonNpc	君子堂	镇派兵器管理员		81	2	2					hand1_1	npc\worldnpc204		icon\funcnpc\worldnpc204.png					0								5				1																																																																														
funcnpc_schoolwar004b	CommonNpc	极乐谷	镇派兵器管理员		81	2	2					hand1_1	npc\monster156		icon\funcnpc\monster156.png					0								5				1																																																																														
funcnpc_schoolwar005b	CommonNpc	唐门	镇派兵器管理员		81	2	2					hand1_1	npc\worldnpc388		icon\funcnpc\worldnpc388.png					0								5				1																																																																														
funcnpc_schoolwar006b	CommonNpc	峨眉	镇派兵器管理员		81	2	2					hand1_1	npc\monster208		icon\funcnpc\monster208.png					0								5				1																																																																														
funcnpc_schoolwar007b	CommonNpc	武当	镇派兵器管理员		81	2	2					hand1_1	npc\monster159		icon\funcnpc\monster159.png					0								5				1																																																																														
funcnpc_schoolwar008b	CommonNpc	少林	镇派兵器管理员		81	2	2					hand1_1	npc\monster155		icon\funcnpc\monster155.png					0								5				1																																																																														
																																																																																																														
	//天山派门派战																																																																																																													
schoolwar_flag_tsp	CommonNpc	天山大旗			172								npc\itemnpc1651																																																																																																	
schoolwar_command_tsp	CommonNpc	天山指挥使		8	81	2	2			1	5	hand1_1	npc\worldnpc1692							0			3	0	0			10																																																																																		
funcnpc_schoolwar010a	CommonNpc	天山	镇派兵器管理员		81	2	2					hand1_1	npc\worldnpc1692		icon\funcnpc\monster208.png					0								5				1																																																																														
funcnpc_schoolwar010b	CommonNpc	天山	镇派兵器管理员		81	2	2					hand1_1	npc\worldnpc1692		icon\funcnpc\monster208.png					0								5				1																																																																														
																																																																																																														
	//明教师门大会																																																																																																													
