NPC编号	对象类型	ini注释名称	NPC乞讨信息	表现AI包编号	NPC类型	NPC对话类型	选择操作	鼠标形状	停留时间	是否转身	走路速度	跑步速度	武器持握方式	模型编号	模型半径	图片	出生状态	组成材料	武器名称	NPC种类ID	脚本编号	触发特效	AI类型	巡逻模式	巡逻半径	路径ID	是否随机出现	响应范围	门派	称号	籍贯	阵营	名字表序号	生平表序号	生平	能否切磋	随机对话	下棋玩家的最小等级	NPC身上挂的棋谱包	NPC事件包编号	恩怨响应包编号			建筑耐久	商店ID	洗红名功能	仓库ID	职业ID	宝石游戏NPC ID	接任务表	交任务表	可以加入的门派表	可获得的身份表	复活点	驿站	对话规则	输入关系包编号	是否有公会功能	帮派地块购买	是否有门派战功能	是否有帮派仓库	AI条件执行编码表	实力包编号	级别	修为经验	怪物强度	掉落	武器类型	锁定位移攻击	拾取权限清空时间	无拾取物消失时间	最大消失时间	附加随机能力编号	普通攻击	技能表	主动被动	固定NPC重生时间	敌人NPC编号表	队友编号	能否攻击	能不能被攻击	不能被杀死	攻防比重	"战斗频率,毫秒"	"追击范围,米"	无法被硬直	锁定技能间隔	召唤ID	召唤半径	召唤类型	表演概率	表演时间	势力归属	势力关系表	战斗开始的召唤ID	主功能类型	主功能类型	是否是门牌	公会功能类型	相关属性包	对应等级	所属帮会地块编号	AI编辑包	直接触发	npc功能分类	NPC优先显示	随机商店ID
GuildBuildingNPC1325	GuildBuildingNpc	大门门牌		8	72		2	2			1.25	5		npc\worldnpc239		icon\funcnpc\worldnpc239.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				8	0	1				801					
GuildBuildingNPC1326	GuildBuildingNpc	聚宝房门牌		8	72		2	2			1.25	5		npc\worldnpc451		icon\funcnpc\worldnpc451.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				9	0	1				801					
GuildBuildingNPC1327	GuildBuildingNpc	藏书院2门牌		8	72		2	2			1.25	5		npc\worldnpc447		icon\funcnpc\worldnpc447.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				1	8	1				801					
GuildBuildingNPC1328	GuildBuildingNpc	藏书院2建筑		8	76		0	0			0	0		npc\itemnpc057									0	0	0			100																5000																																																				1	8	0				801					
GuildBuildingNPC1329	GuildBuildingNpc	金库门牌		8	72		2	2			1.25	5		npc\funcnpc001		icon\funcnpc\funcnpc001.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				11	0	1				801					
GuildBuildingNPC1330	GuildBuildingNpc	金库建筑		8	76		0	0			0	0		npc\itemnpc057									0	0	0			100																5000																																																				11	0	0				801					
GuildBuildingNPC1331	GuildBuildingNpc	演武堂门牌		8	72		2	2			1.25	5		npc\funcnpc010		icon\funcnpc\funcnpc010.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				10	0	1				801					
GuildBuildingNPC1332	GuildBuildingNpc	演武堂建筑		8	76		0	0			0	0		npc\1701_yanwutang									0	0	0			100																5000																																																				10	0	0				801					
GuildBuildingNPC1333	GuildBuildingNpc	旗帜大		8	76		0	0			0	0		npc\itemnpc057									0	0	0			100																5000																																																															
GuildBuildingNPC1334	GuildBuildingNpc	旗帜中		8	76		0	0			0	0		npc\itemnpc057									0	0	0			100																5000																																																															
GuildBuildingNPC1335	GuildBuildingNpc	旗帜小		8	76		0	0			0	0		npc\itemnpc057									0	0	0			100																5000																																																															
GuildBuildingNPC1336	GuildFuncNpc	帮派护卫		8	89		2	2			1.25	5	hand1_1	npc\monster114		icon\monster\monster114.png				0	npc\guild_npc_with_fire.lua 		3	0	0			10				1								"25,26,156"																							42	40	1	1					60						600000							2000	30		2000						1621											1			
GuildBuildingNPC1337	GuildFuncNpc	帮派丫鬟		8	89		2	2			1.25	5	hand1_2	npc\worldnpc370		icon\funcnpc\worldnpc370.png				0	npc\guild_npc_with_fire.lua 		3	0	0			4				1								"25,26,156"																							42	40	1	1					60						600000							2000	30		2000						1621											1			
GuildBuildingNPC1338	GuildFuncNpc	帮派见习弟子		8	89		2	2			1.25	5	hand1_1	npc\worldnpc292		icon\funcnpc\worldnpc522.png				0	npc\guild_npc_with_fire.lua 		3	0	0			4				1								"25,26,156"																							42	40	1	1					60						600000							2000	30		2000						1621											1			
GuildBuildingNPC1339	GuildFuncNpc	帮派客卿		8	89		2	2			1.25	5	hand1_1	npc\worldnpc536		icon\funcnpc\worldnpc292.png				0	npc\guild_npc_with_fire.lua 		3	0	0			4				1								"25,26,156"																							42	40	1	1					60						600000							2000	30		2000						1621											1			
GuildBuildingNPC1340	GuildFuncNpc	帮派长老		8	89		2	2			1.25	5	hand1_1	npc\worldnpc564		icon\funcnpc\worldnpc564.png				0	npc\guild_npc_with_fire.lua 		3	0	0			4				1								"25,26,156"																							42	40	1	1					60						600000							2000	30		2000						1621											1			
GuildBuildingNPC1341	GuildFuncNpc	马		8	89		2	2			0	0	#N/A	npc\ride_horse_0404		icon\monster\monster550.png				0			3	0	0			4				1								"25,26,156"																																																																			
GuildBuildingNPC1342	GuildFuncNpc	马		8	89		2	2			0	0	#N/A	npc\ride_horse_0301		icon\monster\monster550.png				0			3	0	0			4				1								"25,26,156"																																																																			
GuildBuildingNPC1343	GuildFuncNpc	马		8	89		2	2			0	0	#N/A	npc\ride_horse_0302		icon\monster\monster550.png				0			3	0	0			4				1								"25,26,156"																																																																			
GuildBuildingNPC1344	GuildFuncNpc	马		8	89		2	2			0	0	#N/A	npc\ride_horse_0202		icon\monster\monster550.png				0			3	0	0			4				1								"25,26,156"																																																																			
																																																																																																											
																																																																																																											
GuildBuildingNPC1351	GuildBuildingNpc	练功台门牌		8	72		2	2			1.25	5		npc\worldnpc564		icon\funcnpc\worldnpc564.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				1	2	1				803					
GuildBuildingNPC1352	GuildBuildingNpc	练功台建筑		8	76		0	0			0	0		npc\1701_liangongtai						0			0	0	0			100																5000																																																				1	2	0				803					
GuildBuildingNPC1353	GuildBuildingNpc	聚义堂门牌		8	72		2	2			1.25	5		npc\worldnpc536		icon\funcnpc\worldnpc536.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				2	0	1				803					
GuildBuildingNPC1354	GuildBuildingNpc	聚义堂建筑		8	76		0	0			0	0		npc\1701_juyitang						0			0	0	0			100																5000																																																				2	0	0				803					
GuildBuildingNPC1355	GuildBuildingNpc	帮会议事厅门牌		8	72		2	2			1.25	5		npc\worldnpc312		icon\funcnpc\worldnpc312.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				3	0	1				803					
GuildBuildingNPC1356	GuildBuildingNpc	帮会议事厅建筑		8	76		0	0			0	0		npc\1701_yishiting						0			0	0	0			100																5000																																																				3	0	0				803					
GuildBuildingNPC1357	GuildBuildingNpc	机关房门牌		8	72		2	2			1.25	5		npc\fbfunnpc00121		icon\funcnpc\fbfunnpc00121.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				4	0	1				803					
GuildBuildingNPC1358	GuildBuildingNpc	机关房建筑		8	76		0	0			0	0		npc\1701_jiguanfang						0			0	0	0			100																5000																																																				4	0	0				803					
GuildBuildingNPC1359	GuildBuildingNpc	藏书远门牌		8	72		2	2			1.25	5		npc\worldnpc447		icon\funcnpc\worldnpc447.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				1	5	1				803					
GuildBuildingNPC1360	GuildBuildingNpc	藏书远建筑		8	76		0	0			0	0		npc\1701_cangshuyuan						0			0	0	0			100																5000																																																				1	5	0				803					
GuildBuildingNPC1361	GuildBuildingNpc	梅花桩门牌		8	72		2	2			1.25	5		npc\worldnpc050		icon\funcnpc\worldnpc050.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				1	4	1				803					
GuildBuildingNPC1362	GuildBuildingNpc	梅花桩建筑		8	76		0	0			0	0		npc\1701_meihuazhuang						0			0	0	0			100																5000																																																				1	4	0				803					
GuildBuildingNPC1363	GuildBuildingNpc	木人桩门牌		8	72		2	2			1.25	5		npc\worldnpc292		icon\funcnpc\worldnpc292.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				1	1	1				803					
GuildBuildingNPC1364	GuildBuildingNpc	木人桩建筑		8	76		0	0			0	0		npc\1701_murenzhuang						0			0	0	0			100																5000																																																				1	1	0				803					
GuildBuildingNPC1365	GuildBuildingNpc	静思室门牌		8	72		2	2			1.25	5		npc\fbboss00127		icon\funcnpc\fbboss00127.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				1	3	1				803					
GuildBuildingNPC1366	GuildBuildingNpc	静思室建筑		8	76		0	0			0	0		npc\1701_jingsishi						0			0	0	0			100																5000																																																				1	3	0				803					
GuildBuildingNPC1367	GuildBuildingNpc	正厅门牌		8	72		2	2			1.25	5		npc\worldnpc234		icon\funcnpc\worldnpc234.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				5	0	1				803					
GuildBuildingNPC1368	GuildBuildingNpc	正厅建筑		8	76		0	0			0	0		npc\1701_zhengti						0			0	0	0			100																5000																																																				5	0	0				803					
GuildBuildingNPC1369	GuildBuildingNpc	仓库门牌		8	72		2	2			1.25	5		npc\worldnpc214		icon\funcnpc\worldnpc214.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				6	0	1				803					
GuildBuildingNPC1370	GuildBuildingNpc	仓库建筑		8	76		0	0			0	0		npc\1701_cangku						0			0	0	0			100																5000																																																				6	0	0				803					
GuildBuildingNPC1371	GuildBuildingNpc	牌匾		8	76		0	0			0	0		npc\1701_paibian1						0			0	0	0			100																5000																																																				13	0	0				803					
GuildBuildingNPC1372	GuildBuildingNpc	牌坊		8	76		0	0			0	0		npc\1701_paibian2						0			0	0	0			100																5000																																																				7	0	0				803					
GuildBuildingNPC1373	GuildBuildingNpc	聚宝房		8	76		0	0			0	0		npc\1701_jubaoafang						0			0	0	0			100																5000																																																				9	0	0				803					
GuildBuildingNPC1374	GuildBuildingNpc	大门		8	76		0	0			0	0		npc\1701_damen						0			0	0	0			100																5000																																																				8	0	0				803					
GuildBuildingNPC1375	GuildBuildingNpc	大门门牌		8	72		2	2			1.25	5		npc\worldnpc239		icon\funcnpc\worldnpc239.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				8	0	1				803					
GuildBuildingNPC1376	GuildBuildingNpc	聚宝房门牌		8	72		2	2			1.25	5		npc\worldnpc451		icon\funcnpc\worldnpc451.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				9	0	1				803					
GuildBuildingNPC1377	GuildBuildingNpc	藏书院2门牌		8	72		2	2			1.25	5		npc\worldnpc447		icon\funcnpc\worldnpc447.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				1	8	1				803					
GuildBuildingNPC1378	GuildBuildingNpc	藏书院2建筑		8	76		0	0			0	0		npc\1701_cangshuyuan2									0	0	0			100																5000																																																				1	8	0				803					
GuildBuildingNPC1379	GuildBuildingNpc	金库门牌		8	72		2	2			1.25	5		npc\funcnpc001		icon\funcnpc\funcnpc001.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				11	0	1				803					
GuildBuildingNPC1380	GuildBuildingNpc	金库建筑		8	76		0	0			0	0		npc\1701_jinku									0	0	0			100																5000																																																				11	0	0				803					
GuildBuildingNPC1381	GuildBuildingNpc	演武堂门牌		8	72		2	2			1.25	5		npc\funcnpc010		icon\funcnpc\funcnpc010.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				10	0	1				803					
GuildBuildingNPC1382	GuildBuildingNpc	演武堂建筑		8	76		0	0			0	0		npc\1701_yanwutang									0	0	0			100																5000																																																				10	0	0				803					
GuildBuildingNPC1383	GuildBuildingNpc	旗帜大		8	76		0	0			0	0		npc\1701_qizhi_da									0	0	0			100																5000																																																															
GuildBuildingNPC1384	GuildBuildingNpc	旗帜中		8	76		0	0			0	0		npc\1701_qizhi_zhong									0	0	0			100																5000																																																															
GuildBuildingNPC1385	GuildBuildingNpc	旗帜小		8	76		0	0			0	0		npc\1701_qizhi_xiao									0	0	0			100																5000																																																															
GuildBuildingNPC1386	GuildFuncNpc	帮派护卫		8	89		2	2			1.25	5	hand1_1	npc\monster114		icon\monster\monster114.png				0	npc\guild_npc_with_fire.lua 		3	0	0			10				1								"25,26,156"																							42	40	1	1					60						600000							2000	30		2000						1621											1			
GuildBuildingNPC1387	GuildFuncNpc	帮派丫鬟		8	89		2	2			1.25	5	hand1_2	npc\worldnpc370		icon\funcnpc\worldnpc370.png				0	npc\guild_npc_with_fire.lua 		3	0	0			4				1								"25,26,156"																							42	40	1	1					60						600000							2000	30		2000						1621											1			
GuildBuildingNPC1388	GuildFuncNpc	帮派见习弟子		8	89		2	2			1.25	5	hand1_1	npc\worldnpc292		icon\funcnpc\worldnpc522.png				0	npc\guild_npc_with_fire.lua 		3	0	0			4				1								"25,26,156"																							42	40	1	1					60						600000							2000	30		2000						1621											1			
GuildBuildingNPC1389	GuildFuncNpc	帮派客卿		8	89		2	2			1.25	5	hand1_1	npc\worldnpc536		icon\funcnpc\worldnpc292.png				0	npc\guild_npc_with_fire.lua 		3	0	0			4				1								"25,26,156"																							42	40	1	1					60						600000							2000	30		2000						1621											1			
GuildBuildingNPC1390	GuildFuncNpc	帮派长老		8	89		2	2			1.25	5	hand1_1	npc\worldnpc564		icon\funcnpc\worldnpc564.png				0	npc\guild_npc_with_fire.lua 		3	0	0			4				1								"25,26,156"																							42	40	1	1					60						600000							2000	30		2000						1621											1			
GuildBuildingNPC1391	GuildFuncNpc	马		8	89		2	2			0	0	#N/A	npc\ride_horse_0404		icon\monster\monster550.png				0			3	0	0			4				1								"25,26,156"																																																																			
GuildBuildingNPC1392	GuildFuncNpc	马		8	89		2	2			0	0	#N/A	npc\ride_horse_0301		icon\monster\monster550.png				0			3	0	0			4				1								"25,26,156"																																																																			
GuildBuildingNPC1393	GuildFuncNpc	马		8	89		2	2			0	0	#N/A	npc\ride_horse_0302		icon\monster\monster550.png				0			3	0	0			4				1								"25,26,156"																																																																			
GuildBuildingNPC1394	GuildFuncNpc	马		8	89		2	2			0	0	#N/A	npc\ride_horse_0202		icon\monster\monster550.png				0			3	0	0			4				1								"25,26,156"																																																																			
																																																																																																											
																																																																																																											
GuildBuildingNPC1401	GuildBuildingNpc	练功台门牌		8	72		2	2			1.25	5		npc\worldnpc564		icon\funcnpc\worldnpc564.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				1	2	1				902					
GuildBuildingNPC1402	GuildBuildingNpc	练功台建筑		8	76		0	0			0	0		npc\itemnpc057						0			0	0	0			100																5000																																																				1	2	0				902					
GuildBuildingNPC1403	GuildBuildingNpc	聚义堂门牌		8	72		2	2			1.25	5		npc\worldnpc536		icon\funcnpc\worldnpc536.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				2	0	1				902					
GuildBuildingNPC1404	GuildBuildingNpc	聚义堂建筑		8	76		0	0			0	0		npc\1701_juyitang						0			0	0	0			100																5000																																																				2	0	0				902					
GuildBuildingNPC1405	GuildBuildingNpc	帮会议事厅门牌		8	72		2	2			1.25	5		npc\worldnpc312		icon\funcnpc\worldnpc312.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				3	0	1				902					
GuildBuildingNPC1406	GuildBuildingNpc	帮会议事厅建筑		8	76		0	0			0	0		npc\itemnpc057						0			0	0	0			100																5000																																																				3	0	0				902					
GuildBuildingNPC1407	GuildBuildingNpc	机关房门牌		8	72		2	2			1.25	5		npc\fbfunnpc00121		icon\funcnpc\fbfunnpc00121.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				4	0	1				902					
GuildBuildingNPC1408	GuildBuildingNpc	机关房建筑		8	76		0	0			0	0		npc\1701_jiguanfang						0			0	0	0			100																5000																																																				4	0	0				902					
GuildBuildingNPC1409	GuildBuildingNpc	藏书远门牌		8	72		2	2			1.25	5		npc\worldnpc447		icon\funcnpc\worldnpc447.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				1	5	1				902					
GuildBuildingNPC1410	GuildBuildingNpc	藏书远建筑		8	76		0	0			0	0		npc\itemnpc057						0			0	0	0			100																5000																																																				1	5	0				902					
GuildBuildingNPC1411	GuildBuildingNpc	梅花桩门牌		8	72		2	2			1.25	5		npc\worldnpc050		icon\funcnpc\worldnpc050.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				1	4	1				902					
GuildBuildingNPC1412	GuildBuildingNpc	梅花桩建筑		8	76		0	0			0	0		npc\1701_meihuazhuang						0			0	0	0			100																5000																																																				1	4	0				902					
GuildBuildingNPC1413	GuildBuildingNpc	木人桩门牌		8	72		2	2			1.25	5		npc\worldnpc292		icon\funcnpc\worldnpc292.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				1	1	1				902					
GuildBuildingNPC1414	GuildBuildingNpc	木人桩建筑		8	76		0	0			0	0		npc\1701_murenzhuang						0			0	0	0			100																5000																																																				1	1	0				902					
GuildBuildingNPC1415	GuildBuildingNpc	静思室门牌		8	72		2	2			1.25	5		npc\fbboss00127		icon\funcnpc\fbboss00127.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				1	3	1				902					
GuildBuildingNPC1416	GuildBuildingNpc	静思室建筑		8	76		0	0			0	0		npc\1701_jingsishi						0			0	0	0			100																5000																																																				1	3	0				902					
GuildBuildingNPC1417	GuildBuildingNpc	正厅门牌		8	72		2	2			1.25	5		npc\worldnpc234		icon\funcnpc\worldnpc234.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				5	0	1				902					
GuildBuildingNPC1418	GuildBuildingNpc	正厅建筑		8	76		0	0			0	0		npc\itemnpc057						0			0	0	0			100																5000																																																				5	0	0				902					
GuildBuildingNPC1419	GuildBuildingNpc	仓库门牌		8	72		2	2			1.25	5		npc\worldnpc214		icon\funcnpc\worldnpc214.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				6	0	1				902					
GuildBuildingNPC1420	GuildBuildingNpc	仓库建筑		8	76		0	0			0	0		npc\itemnpc057						0			0	0	0			100																5000																																																				6	0	0				902					
GuildBuildingNPC1421	GuildBuildingNpc	牌匾		8	76		0	0			0	0		npc\1701_paibian1						0			0	0	0			100																5000																																																				13	0	0				902					
GuildBuildingNPC1422	GuildBuildingNpc	牌坊		8	76		0	0			0	0		npc\1701_paibian2						0			0	0	0			100																5000																																																				7	0	0				902					
GuildBuildingNPC1423	GuildBuildingNpc	聚宝房		8	76		0	0			0	0		npc\1701_jubaoafang						0			0	0	0			100																5000																																																				9	0	0				902					
GuildBuildingNPC1424	GuildBuildingNpc	大门		8	76		0	0			0	0		npc\itemnpc057						0			0	0	0			100																5000																																																				8	0	0				902					
GuildBuildingNPC1425	GuildBuildingNpc	大门门牌		8	72		2	2			1.25	5		npc\worldnpc239		icon\funcnpc\worldnpc239.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				8	0	1				902					
GuildBuildingNPC1426	GuildBuildingNpc	聚宝房门牌		8	72		2	2			1.25	5		npc\worldnpc451		icon\funcnpc\worldnpc451.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				9	0	1				902					
GuildBuildingNPC1427	GuildBuildingNpc	藏书院2门牌		8	72		2	2			1.25	5		npc\worldnpc447		icon\funcnpc\worldnpc447.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				1	8	1				902					
GuildBuildingNPC1428	GuildBuildingNpc	藏书院2建筑		8	76		0	0			0	0		npc\itemnpc057									0	0	0			100																5000																																																				1	8	0				902					
GuildBuildingNPC1429	GuildBuildingNpc	金库门牌		8	72		2	2			1.25	5		npc\funcnpc001		icon\funcnpc\funcnpc001.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				11	0	1				902					
GuildBuildingNPC1430	GuildBuildingNpc	金库建筑		8	76		0	0			0	0		npc\itemnpc057									0	0	0			100																5000																																																				11	0	0				902					
GuildBuildingNPC1431	GuildBuildingNpc	演武堂门牌		8	72		2	2			1.25	5		npc\funcnpc010		icon\funcnpc\funcnpc010.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				10	0	1				902					
GuildBuildingNPC1432	GuildBuildingNpc	演武堂建筑		8	76		0	0			0	0		npc\1701_yanwutang									0	0	0			100																5000																																																				10	0	0				902					
GuildBuildingNPC1433	GuildBuildingNpc	旗帜大		8	76		0	0			0	0		npc\itemnpc057									0	0	0			100																5000																																																															
GuildBuildingNPC1434	GuildBuildingNpc	旗帜中		8	76		0	0			0	0		npc\itemnpc057									0	0	0			100																5000																																																															
GuildBuildingNPC1435	GuildBuildingNpc	旗帜小		8	76		0	0			0	0		npc\itemnpc057									0	0	0			100																5000																																																															
GuildBuildingNPC1436	GuildFuncNpc	帮派护卫		8	90		2	2			1.25	5	hand1_1	npc\monster114		icon\monster\monster114.png				0	npc\guild_npc_with_fire.lua 		3	0	0			10				1								"25,26,156"																							42	40	1	1					60						600000							2000	30		2000						1621											1			
GuildBuildingNPC1437	GuildFuncNpc	帮派丫鬟		8	90		2	2			1.25	5	hand1_2	npc\worldnpc370		icon\funcnpc\worldnpc370.png				0	npc\guild_npc_with_fire.lua 		3	0	0			4				1								"25,26,156"																							42	40	1	1					60						600000							2000	30		2000						1621											1			
GuildBuildingNPC1438	GuildFuncNpc	帮派见习弟子		8	90		2	2			1.25	5	hand1_1	npc\worldnpc292		icon\funcnpc\worldnpc522.png				0	npc\guild_npc_with_fire.lua 		3	0	0			4				1								"25,26,156"																							42	40	1	1					60						600000							2000	30		2000						1621											1			
GuildBuildingNPC1439	GuildFuncNpc	帮派客卿		8	90		2	2			1.25	5	hand1_1	npc\worldnpc536		icon\funcnpc\worldnpc292.png				0	npc\guild_npc_with_fire.lua 		3	0	0			4				1								"25,26,156"																							42	40	1	1					60						600000							2000	30		2000						1621											1			
GuildBuildingNPC1440	GuildFuncNpc	帮派长老		8	90		2	2			1.25	5	hand1_1	npc\worldnpc564		icon\funcnpc\worldnpc564.png				0	npc\guild_npc_with_fire.lua 		3	0	0			4				1								"25,26,156"																							42	40	1	1					60						600000							2000	30		2000						1621											1			
GuildBuildingNPC1441	GuildFuncNpc	马		8	90		2	2			0	0	#N/A	npc\ride_horse_0404		icon\monster\monster550.png				0			3	0	0			4				1								"25,26,156"																																																																			
GuildBuildingNPC1442	GuildFuncNpc	马		8	90		2	2			0	0	#N/A	npc\ride_horse_0301		icon\monster\monster550.png				0			3	0	0			4				1								"25,26,156"																																																																			
GuildBuildingNPC1443	GuildFuncNpc	马		8	90		2	2			0	0	#N/A	npc\ride_horse_0302		icon\monster\monster550.png				0			3	0	0			4				1								"25,26,156"																																																																			
GuildBuildingNPC1444	GuildFuncNpc	马		8	90		2	2			0	0	#N/A	npc\ride_horse_0202		icon\monster\monster550.png				0			3	0	0			4				1								"25,26,156"																																																																			
																																																																																																											
																																																																																																											
GuildBuildingNPC1451	GuildBuildingNpc	练功台门牌		8	72		2	2			1.25	5		npc\worldnpc564		icon\funcnpc\worldnpc564.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				1	2	1				903					
GuildBuildingNPC1452	GuildBuildingNpc	练功台建筑		8	76		0	0			0	0		npc\1701_liangongtai						0			0	0	0			100																5000																																																				1	2	0				903					
GuildBuildingNPC1453	GuildBuildingNpc	聚义堂门牌		8	72		2	2			1.25	5		npc\worldnpc536		icon\funcnpc\worldnpc536.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				2	0	1				903					
GuildBuildingNPC1454	GuildBuildingNpc	聚义堂建筑		8	76		0	0			0	0		npc\1701_juyitang						0			0	0	0			100																5000																																																				2	0	0				903					
GuildBuildingNPC1455	GuildBuildingNpc	帮会议事厅门牌		8	72		2	2			1.25	5		npc\worldnpc312		icon\funcnpc\worldnpc312.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				3	0	1				903					
GuildBuildingNPC1456	GuildBuildingNpc	帮会议事厅建筑		8	76		0	0			0	0		npc\1701_yishiting						0			0	0	0			100																5000																																																				3	0	0				903					
GuildBuildingNPC1457	GuildBuildingNpc	机关房门牌		8	72		2	2			1.25	5		npc\fbfunnpc00121		icon\funcnpc\fbfunnpc00121.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				4	0	1				903					
GuildBuildingNPC1458	GuildBuildingNpc	机关房建筑		8	76		0	0			0	0		npc\1701_jiguanfang						0			0	0	0			100																5000																																																				4	0	0				903					
GuildBuildingNPC1459	GuildBuildingNpc	藏书远门牌		8	72		2	2			1.25	5		npc\worldnpc447		icon\funcnpc\worldnpc447.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				1	5	1				903					
GuildBuildingNPC1460	GuildBuildingNpc	藏书远建筑		8	76		0	0			0	0		npc\1701_cangshuyuan						0			0	0	0			100																5000																																																				1	5	0				903					
GuildBuildingNPC1461	GuildBuildingNpc	梅花桩门牌		8	72		2	2			1.25	5		npc\worldnpc050		icon\funcnpc\worldnpc050.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				1	4	1				903					
GuildBuildingNPC1462	GuildBuildingNpc	梅花桩建筑		8	76		0	0			0	0		npc\1701_meihuazhuang						0			0	0	0			100																5000																																																				1	4	0				903					
GuildBuildingNPC1463	GuildBuildingNpc	木人桩门牌		8	72		2	2			1.25	5		npc\worldnpc292		icon\funcnpc\worldnpc292.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				1	1	1				903					
GuildBuildingNPC1464	GuildBuildingNpc	木人桩建筑		8	76		0	0			0	0		npc\1701_murenzhuang						0			0	0	0			100																5000																																																				1	1	0				903					
GuildBuildingNPC1465	GuildBuildingNpc	静思室门牌		8	72		2	2			1.25	5		npc\fbboss00127		icon\funcnpc\fbboss00127.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				1	3	1				903					
GuildBuildingNPC1466	GuildBuildingNpc	静思室建筑		8	76		0	0			0	0		npc\1701_jingsishi						0			0	0	0			100																5000																																																				1	3	0				903					
GuildBuildingNPC1467	GuildBuildingNpc	正厅门牌		8	72		2	2			1.25	5		npc\worldnpc234		icon\funcnpc\worldnpc234.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				5	0	1				903					
GuildBuildingNPC1468	GuildBuildingNpc	正厅建筑		8	76		0	0			0	0		npc\1701_zhengti						0			0	0	0			100																5000																																																				5	0	0				903					
GuildBuildingNPC1469	GuildBuildingNpc	仓库门牌		8	72		2	2			1.25	5		npc\worldnpc214		icon\funcnpc\worldnpc214.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				6	0	1				903					
GuildBuildingNPC1470	GuildBuildingNpc	仓库建筑		8	76		0	0			0	0		npc\1701_cangku						0			0	0	0			100																5000																																																				6	0	0				903					
GuildBuildingNPC1471	GuildBuildingNpc	牌匾		8	76		0	0			0	0		npc\1701_paibian1						0			0	0	0			100																5000																																																				13	0	0				903					
GuildBuildingNPC1472	GuildBuildingNpc	牌坊		8	76		0	0			0	0		npc\1701_paibian2						0			0	0	0			100																5000																																																				7	0	0				903					
GuildBuildingNPC1473	GuildBuildingNpc	聚宝房		8	76		0	0			0	0		npc\1701_jubaoafang						0			0	0	0			100																5000																																																				9	0	0				903					
GuildBuildingNPC1474	GuildBuildingNpc	大门		8	76		0	0			0	0		npc\1701_damen						0			0	0	0			100																5000																																																				8	0	0				903					
GuildBuildingNPC1475	GuildBuildingNpc	大门门牌		8	72		2	2			1.25	5		npc\worldnpc239		icon\funcnpc\worldnpc239.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				8	0	1				903					
