NPC编号	ini注释名称	对象类型	Npc类型	级别	实力包编号	修为经验	怪物强度	掉落	走路速度	跑步速度	武器持握方式	是否转身	模型编号	性别	模型半径	图片	npc声音	材质类型	脚本编号	技能表	连招表	AI类型	主动被动	响应范围	锁定位移攻击	禁播受击动作	选择操作	拾取权限清空时间	无拾取物消失时间	最大消失时间	触发特效	巡逻模式	巡逻半径	路径ID	是否随机出现	武器名称	武器类型	出生状态	刷新时间	表现AI包编号	NPC种类ID	门派	称号	籍贯	阵营	名字表序号	生平表序号	生平	势力归属	势力关系表	剥皮范围	剥皮动作	读条时间	技能编号	技能等级	最大剥皮次数	剩余剥皮次数	是否在剥皮中	生活工具限制包ID	消耗体力	消耗工具耐久	排行榜积分	显示掉落	生活掉落包ID	生活心得	敌人NPC编号表	队友编号	不能被杀死	攻击防御比重	"战斗频率,毫秒"	无法被硬直	锁定技能间隔	召唤ID	召唤半径	召唤类型	表演概率	表演时间	"追击范围,米"	附加随机能力编号	普通攻击	AI编辑包	直接触发	使用轻功	格挡模式	破防几率	破防技能	动作集	生存时间	进入战斗对话	超过距离就脱战	脱战回血	无视玩家	仇恨
monf071301	毒蛛	AttackNpc	7	14	36		1	AnimalMon00103	0.6	4	hand_0		npc\monster006		0.143695	icon\monster\monster006.png						1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30						-1									
monf071302	毒蛇	AttackNpc	7	14	36		1	AnimalMon00112	1	3	hand_0		npc\monster117		0.989951	icon\monster\monster117.png						1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30						-1									
monf071400	沼林猎人	AttackNpc	1	15	36		1	NormalMon01501	1.25	4	hand1_1		npc\worldnpc164		0.915734	icon\funcnpc\worldnpc164.png						1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
monf071401	沼林樵夫	AttackNpc	1	15	36		1	NormalMon01501	1.25	4	hand1_1		npc\worldnpc132		0.911791	icon\funcnpc\worldnpc132.png						1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
monf071500	沼林盗贼	AttackNpc	1	16	37		1	NormalMon01601	1.25	4	hand1_1		npc\worldnpc551		0.895	icon\funcnpc\worldnpc551.png						1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
monf071501	沼林盗贼头目	AttackNpc	1	16	37		1	NormalMon01601	1.25	4	hand1_1		npc\worldnpc292		0.900314	icon\funcnpc\worldnpc292.png						1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
monf071600	神秘过路客	AttackNpc	1	17	37		1	NormalMon01701	1.25	4	hand1_1		npc\worldnpc112		0.911107	icon\funcnpc\worldnpc112.png						1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
monf071601	古怪老者	AttackNpc	1	17	37		1	NormalMon01701	1.25	4	hand1_1		npc\worldnpc313		0.922925	icon\funcnpc\worldnpc313.png						1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
monf071700	黑店打手	AttackNpc	1	18	37		1	NormalMon01801	1.25	4	hand1_1		npc\worldnpc190		0.919566	icon\funcnpc\worldnpc190.png						1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
monf071701	黑店小二	AttackNpc	1	18	37		1	NormalMon01801	1.25	4	hand1_1		npc\worldnpc541		0.98	icon\funcnpc\worldnpc541.png						1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
monf071702	黑店厨子	AttackNpc	1	18	37		1	NormalMon01801	1.25	4	hand1_1		npc\worldnpc231		0.895501	icon\funcnpc\worldnpc231.png						1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
monf071800	逍遥观道士	AttackNpc	1	18	37		1	NormalMon01813	1.25	4	hand1_1		npc\worldnpc197		0.939206	icon\funcnpc\worldnpc197.png						1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
monf071801	逍遥观道长	AttackNpc	1	18	37		1	NormalMon01813	1.25	4	hand1_1		npc\worldnpc197		0.939206	icon\funcnpc\worldnpc197.png						1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
monf071802	逍遥观童子	AttackNpc	1	18	37		1	NormalMon01801	1.25	4	hand1_1		npc\monster568		0.905	icon\monster\monster568.png						1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
	"//2,万梅山庄"																																																																																												
monf072100	快刀客	AttackNpc	1	25	38		1	NormalMon02501	1.25	4	hand1_1		npc\worldnpc572		0.91	icon\funcnpc\worldnpc572.png						1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
monf072101	蛮横快刀客	AttackNpc	1	25	38		1	NormalMon02501	1.25	4	hand1_1		npc\worldnpc574		0.915	icon\funcnpc\worldnpc574.png						1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
monf072102	私盐贩子	AttackNpc	1	25	38		1	NormalMon02501	1.25	4	hand1_1		npc\worldnpc155		0.951261	icon\funcnpc\worldnpc155.png						1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
monf072200	紫筠阁守卫	AttackNpc	1	26	39		1	NormalMon02601	1.25	4	hand1_1		npc\worldnpc207		0.89833	icon\funcnpc\worldnpc207.png						1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
monf072201	紫筠阁侍女	AttackNpc	1	26	39		1	NormalMon02601	1.3	4.8	hand1_2		npc\worldnpc524		0.86	icon\funcnpc\worldnpc524.png						1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
monf072202	万梅山庄高手	AttackNpc	1	26	39		1	NormalMon02601	1.25	4	hand1_1		npc\worldnpc520		0.97	icon\funcnpc\worldnpc520.png						1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
monf072300	黑衣游侠	AttackNpc	1	27	39		1	NormalMon02701	1.25	4	hand1_1		npc\worldnpc574		0.915	icon\funcnpc\worldnpc574.png						1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
monf072301	醉酒的黑衣游侠	AttackNpc	1	27	39		1	NormalMon02701	1.25	4	hand1_1		npc\worldnpc574		0.915	icon\funcnpc\worldnpc574.png						1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
monf072400	胡匪	AttackNpc	1	28	39		1	NormalMon02801	1.25	4	hand1_1		npc\worldnpc552		0.91	icon\funcnpc\worldnpc552.png						1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
monf072401	胡匪头目	AttackNpc	1	28	39		1	NormalMon02801	1.25	4	hand1_1		npc\worldnpc561		0.925	icon\funcnpc\worldnpc561.png						1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
monf072402	胡匪淫贼	AttackNpc	1	28	39		1	NormalMon02801	1.25	4	hand1_1		npc\worldnpc563		0.905	icon\funcnpc\worldnpc563.png						1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
monf072500	黑水祠护院	AttackNpc	1	29	39		1	NormalMon02901	1.25	4	hand1_1		npc\worldnpc559		0.935	icon\funcnpc\worldnpc559.png						1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
monf072501	万梅山庄家丁	AttackNpc	1	29	39		1	NormalMon02901	1.25	4	hand1_1		npc\worldnpc560		0.9	icon\funcnpc\worldnpc560.png						1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
monf072502	黑水祠祭司	AttackNpc	1	29	39		1	NormalMon02901	1.25	4	hand1_1		npc\worldnpc162		0.944309	icon\funcnpc\worldnpc162.png						1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
monf072503	黑水祠侍女	AttackNpc	1	29	39		1	NormalMon02901	1.3	4.8	hand1_2		npc\worldnpc111		0.866585	icon\funcnpc\worldnpc111.png						1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
monf072600	折梅恶棍	AttackNpc	1	30	39		1	NormalMon03001	1.25	4	hand1_1		npc\worldnpc165		0.920994	icon\funcnpc\worldnpc165.png						1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
monf072601	喧哗酒鬼	AttackNpc	1	30	39		1	NormalMon03001	1.25	4	hand1_1		npc\worldnpc511		0.885	icon\funcnpc\worldnpc511.png						1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
monf072700	偷懒家丁	AttackNpc	1	31	40		1	NormalMon03101	1.25	4	hand1_1		npc\worldnpc202		0.919509	icon\funcnpc\worldnpc202.png						1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
monf072701	巡林家丁	AttackNpc	1	31	40		1	NormalMon03101	1.25	4	hand1_1		npc\worldnpc384		0.922367	icon\funcnpc\worldnpc384.png						1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
monf072800	懒散民兵	AttackNpc	1	31	40		1	NormalMon03101	1.25	4	hand1_1		npc\worldnpc157		0.920429	icon\funcnpc\worldnpc157.png						1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
monf072801	懒散民兵队长	AttackNpc	1	31	40		1	NormalMon03101	1.25	4	hand1_1		npc\worldnpc562		0.895	icon\funcnpc\worldnpc562.png						1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
monf072802	贪财的军队教头	AttackNpc	1	31	40		1	NormalMon03101	1.25	4	hand1_1		npc\worldnpc495		0.935	icon\funcnpc\worldnpc495.png						1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
	"//f08,塞外大漠Y新疆"																																																																																												
	"//0,边关小镇(连坊)"																																																																																												
monf080100	边境巡逻兵	AttackNpc	14	48	43		1	NormalMon04806	1.25	4	hand1_1		npc\monster482		0.99	icon\monster\monster482.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			980												
monf080101	边关哨兵	AttackNpc	14	48	43		1	NormalMon04806	1.25	4	lstuff1_1		npc\monster483		0.99	icon\monster\monster483.png						1					2	30	10	60	npc_foundplayer					lsp_r_npcitem356			-1	1	0																													2000		2000						30			980												
monf080102	边关守军	AttackNpc	1	48	43		1	NormalMon04806	1.25	4	lstuff1_1		npc\monster105		0.99	icon\monster\monster105.png						1					2	30	10	60	npc_foundplayer					lsp_r_npcitem356			-1	1	0																													2000		2000						30															
monf080200	护城卫兵	AttackNpc	14	49	43		1	NormalMon04903	1.25	4	lstuff1_1		npc\monster483		0.99	icon\monster\monster483.png						1					2	30	10	60	npc_foundplayer					lsp_r_npcitem356			-1	1	0																													2000		2000						30			982												
monf080201	统领护卫	AttackNpc	14	49	43		1	NormalMon04903	1.25	4	hand1_1		npc\monster483		0.99	icon\monster\monster483.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			984												
monf080202	守军统领	AttackNpc	14	49	43		1	NormalMon04903	1.25	4	hand1_1		npc\monster105		0.99	icon\monster\monster105.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			984												
monf080300	修城劳工	AttackNpc	14	50	43		1	NormalMon05001	1.25	4	hand1_1		npc\monster313		0.905	icon\monster\monster313.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			984												
monf080301	修城监工	AttackNpc	14	50	43		1	NormalMon05001	1.25	4	hand1_1		npc\monster458		0.925	icon\monster\monster458.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			984												
monf080400	懒散士兵	AttackNpc	14	51	44		1	NormalMon05101	1.25	4	hand1_1		npc\monster483		0.99	icon\monster\monster483.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			982												
monf080401	逃跑的士兵	AttackNpc	14	51	44		1	NormalMon05101	1.25	4	hand1_1		npc\monster482		0.99	icon\monster\monster482.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			984												
monf080500	魔鬼城探子	AttackNpc	14	52	44		1	NormalMon05201	1.25	4	hand1_1		npc\monster040		0.92	icon\monster\monster040.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			983												
monf080501	大漠强盗	AttackNpc	14	52	44		1	NormalMon05201	1.25	4	hand1_1		npc\monster190		0.925	icon\monster\monster190.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			981												
monf080502	大漠劫匪	AttackNpc	14	52	44		1	NormalMon05201	1.25	4	hand1_1		npc\monster190		0.925	icon\monster\monster190.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			981												
monf080600	补给站卫兵	AttackNpc	14	53	44		1	NormalMon05303	1.25	4	hand1_1		npc\monster482		0.99	icon\monster\monster482.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			980												
monf080601	押货枪兵	AttackNpc	14	53	44		1	NormalMon05301	1.25	4	hand1_1		npc\worldnpc217		0.913145	icon\funcnpc\worldnpc217.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			984												
monf080700	流浪旅人	AttackNpc	14	54	44		1	NormalMon05401	1.25	4	hand1_1		npc\monster459		0.935	icon\monster\monster459.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			985												
monf080701	猖狂马匪	AttackNpc	14	54	44		1	NormalMon05401	1.25	4	hand1_1		npc\monster066		0.985	icon\monster\monster066.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			985												
monf080702	蛮横恶霸	AttackNpc	14	54	44		1	NormalMon05401	1.25	4	hand1_1		npc\monster492		0.91	icon\monster\monster492.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			985												
monf080703	外域地痞	AttackNpc	14	54	44		1	NormalMon05401	1.25	4	hand1_1		npc\monster115		0.915409	icon\monster\monster115.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			985												
monf080704	战败逃兵	AttackNpc	14	54	44		1	NormalMon05401	1.25	4	hand1_1		npc\monster483		0.99	icon\monster\monster483.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			985												
	"//1,敦煌(万马堂)"																																																																																												
monf081100	大漠熊怪	AttackNpc	7	51	44		1	AnimalMon00102	1.5	4.5	hand_0		npc\monster002		1.582473	icon\monster\monster002.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30						-1									
monf081101	沙漠灰貂	AttackNpc	7	51	44		1		1.5	4.5	hand_0		npc\monster001		0.625163	icon\monster\monster001.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30						-1									
monf081200	吐蕃族番僧	AttackNpc	14	52	44		1	NormalMon05201	1.25	4	hand1_1		npc\monster509		0.94	icon\monster\monster509.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			973												
monf081201	大漠狂刀	AttackNpc	14	52	44		1	NormalMon05201	1.25	4	hand1_1		npc\monster447		0.97	icon\monster\monster447.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			970												
monf081300	阳关长枪兵	AttackNpc	14	53	44		1	NormalMon05303	1.25	4	hand1_1		npc\monster482		0.99	icon\monster\monster482.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			968												
monf081301	阳关守卫	AttackNpc	14	53	44		1	NormalMon05303	1.25	4	hand1_1		npc\worldnpc217		0.913145	icon\funcnpc\worldnpc217.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			968												
monf081400	波斯护卫	AttackNpc	14	54	44		1	NormalMon05401	1.25	4	hand1_1		npc\monster231		0.955	icon\monster\monster231.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			967												
monf081401	波斯商人	AttackNpc	14	54	44		1	NormalMon05401	1.25	4	hand1_1		npc\monster123		0.915	icon\monster\monster123.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			967												
monf081500	凶残兵痞	AttackNpc	14	55	44		1	NormalMon05501	1.25	4	hand1_1		npc\worldnpc217		0.913145	icon\funcnpc\worldnpc217.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			974												
monf081501	游云和尚	AttackNpc	14	55	44		1	NormalMon05501	1.25	4	hand1_1		npc\monster124		0.9506	icon\monster\monster124.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			976												
monf081600	圣境卫兵	AttackNpc	14	56	45		1	NormalMon05601	1.25	4	hand1_1		npc\monster105		0.99	icon\monster\monster105.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			978												
monf081601	圣境护法	AttackNpc	14	56	45		1	NormalMon05601	1.25	4	hand1_1		npc\monster483		0.99	icon\monster\monster483.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			978												
monf081602	圣境明王	AttackNpc	14	56	45		1	NormalMon05601	1.25	4	hand1_1		npc\monster189		0.938074	icon\monster\monster189.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			978												
monf081603	圣境使者	AttackNpc	14	56	45		1	NormalMon05601	1.25	4	hand1_1		npc\monster103		0.901124	icon\monster\monster103.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			978												
monf081604	驱邪圣使	AttackNpc	14	56	45		1	NormalMon05601	1.25	4	hand1_1		npc\monster074		0.905	icon\monster\monster074.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			973												
monf081700	天罗妖僧	AttackNpc	14	57	45		1	NormalMon05702	1.25	4	hand1_1		npc\monster052		0.905824	icon\monster\monster052.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			973												
																																																																																													
	"//2,楼兰遗址(魔鬼城)"																																																																																												
monf082100	漠北侠客	AttackNpc	14	54	44		1	NormalMon05401	1.25	4	hand1_1		npc\monster518		0.905	icon\monster\monster518.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			961												
monf082101	塞外游侠	AttackNpc	14	54	44		1	NormalMon05401	1.25	4	hand1_1		npc\monster519		0.93	icon\monster\monster519.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			963												
monf082200	寻宝商人	AttackNpc	14	55	44		1	NormalMon05501	1.25	4	hand1_1		npc\monster252		0.93417	icon\monster\monster252.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			965												
monf082201	连坊保镖	AttackNpc	14	55	44		1	NormalMon05501	1.25	4	hand1_1		npc\monster261		0.912081	icon\monster\monster261.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			959												
monf082202	魔鬼城信使	AttackNpc	14	55	44		1	NormalMon05502	1.25	4	hand1_1		npc\monster190		0.925	icon\monster\monster190.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			962												
monf082203	魔鬼城使者	AttackNpc	14	55	44		1	NormalMon05502	1.25	4	hand1_1		npc\monster312		0.86698	icon\monster\monster312.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			962												
monf082300	沙漠巨尾狼	AttackNpc	7	56	45		1	AnimalMon00108	1.2	5	hand_0		npc\petm_c_1500		1.5							1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30						-1									
monf082301	沙漠巨蟒	AttackNpc	7	56	45		1	AnimalMon00112	1	3	hand_0		npc\monster117		0.989951	icon\monster\monster117.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30						-1									
monf082302	沙漠毒蝎	AttackNpc	7	56	45		1	AnimalMon00119	0.6	4	hand_0		npc\monster013		0.143695	icon\monster\monster006.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30						-1									
monf082400	异族蒙面人	AttackNpc	14	57	45		1	NormalMon05701	1.25	4	hand1_1		npc\monster246		0.72	icon\monster\monster246.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			964												
monf082401	楼兰后裔	AttackNpc	14	57	45		1	task_yrxsbox_2	1.25	4	hand1_1		npc\monster311		0.849352	icon\monster\monster311.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			966												
monf082402	楼兰信徒	AttackNpc	14	57	45		1	task_yrxsbox_2	1.25	4	hand1_1		npc\monster052		0.905824	icon\monster\monster052.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			960												
monf082403	楼兰守护者	AttackNpc	14	57	45		1	NormalMon05701	1.25	4	hand1_1		npc\monster145		0.965	icon\monster\monster145.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			960												
monf082500	盗墓贼兵	AttackNpc	14	58	45		1	NormalMon05801	1.25	4	hand1_1		npc\monster446		0.975	icon\monster\monster446.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			958												
monf082501	盗墓土贼	AttackNpc	14	58	45		1	NormalMon05801	1.25	4	hand1_1		npc\monster413		0.905	icon\monster\monster413.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			958												
monf082600	大漠鬼兵	AttackNpc	14	59	45		1	NormalMon05901	1.25	4	hand1_1		npc\monster445		0.975	icon\monster\monster445.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			957												
monf082601	沙漠巨斧手	AttackNpc	14	59	45		1	NormalMon05901	1.25	4	dax1_1		npc\monster458		0.925	icon\monster\monster458.png						1					2	30	10	60	npc_foundplayer					da_rl_npcitem303			-1	1	0																													2000		2000						30			964												
monf082700	魔鬼城毒女	AttackNpc	14	60	45		1	NormalMon06003	1.3	4.8	hand1_2		npc\monster450		0.86	icon\monster\monster450.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			962												
monf082701	魔鬼城卫士	AttackNpc	14	60	45		1	NormalMon06003	1.25	4	hand1_1		npc\monster264		0.93	icon\monster\monster264.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			962												
monf082702	魔鬼城杀手	AttackNpc	14	60	45		1	NormalMon06003	1.25	4	hand1_1		npc\monster262		0.92	icon\monster\monster262.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			962												
monf082703	魔鬼城悍将	AttackNpc	14	60	45		1	NormalMon06003	1.25	4	hand1_1		npc\monster074		0.905	icon\monster\monster074.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			962												
monf082704	魔鬼城护法	AttackNpc	14	60	45		1	NormalMon06003	1.25	4	hand1_1		npc\monster519		0.93	icon\monster\monster519.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			962												
monf082705	魔鬼城长老	AttackNpc	14	60	45		1	NormalMon06003	1.25	4	hand1_1		npc\monster378		0.93	icon\monster\monster378.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			962												
montg24001	大漠鬼兵	AttackNpc	8	60	113		1	NormalMon05801	1.25	4	hand1_1		npc\monster445		0.975	icon\monster\monster445.png				"mon_tg24_05,1,15;mon_tg24_06,1,15"		1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30				1		2									
montg24002	沙漠巨斧手	AttackNpc	8	55	113		1	NormalMon05801	0.67	4	blade7_1		npc\monster458		0.925	icon\monster\monster458.png				"mon_tg24_02,1,15;mon_tg24_03,1,15"		1					2	30	10	60	npc_foundplayer					a_r_npcitem467			-1	1	0																													2000		2000						30				1		2									
montg24003	魔鬼城毒女	AttackNpc	8	55	114		1	NormalMon06305	1.3	4.8	hand1_2		npc\monster450		0.86	icon\monster\monster450.png				"mon_tg24_01,1,30"		1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30				1		2									
montg24004	魔鬼城卫士	AttackNpc	8	55	114		1	NormalMon06305	1.25	4	hand1_1		npc\monster264		0.93	icon\monster\monster264.png				"mon_tg24_05,1,15;mon_tg24_06,1,15"		1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30				1		2									
montg24005	魔鬼城杀手	AttackNpc	8	55	114		1	NormalMon06305	1.25	4	hand1_1		npc\monster262		0.92	icon\monster\monster262.png				"mon_tg24_05,1,15;mon_tg24_06,1,15"		1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30				1		2									
montg24006	魔鬼城悍将	AttackNpc	8	55	115		1	NormalMon06305	1.25	4	hand1_1		npc\monster074		0.905	icon\monster\monster074.png				"mon_tg24_05,1,15;mon_tg24_06,1,15"		1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30				1		2									
montg24007	魔鬼城护法	AttackNpc	8	55	115		1	NormalMon06305	1.25	4	hand1_1		npc\monster519		0.93	icon\monster\monster519.png				"mon_tg24_05,1,15;mon_tg24_06,1,15"		1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30				1		2									
montg24008	魔鬼城长老	AttackNpc	8	55	112		1	NormalMon06305	1.25	4	hand1_1		npc\monster378		0.93	icon\monster\monster378.png				"mon_tg24_05,1,15;mon_tg24_06,1,15"		1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30				1		2									
montg24009	偃月阵阵眼	AttackNpc	8	55	113		1		0	0	hand_0		npc\itemnpc422a		0.5				npc\tiguan\24\montg24009.lua			0	1		1		2	3	3										-1	1																																						30				1		-1									
montg24010	云垂阵阵眼	AttackNpc	8	55	113		1		0	0	hand_0		npc\itemnpc423a		0.5				npc\tiguan\24\montg24010.lua			0	1		1		2	3	3										-1	1																																						30				1		-1									
montg24011	机关人	AttackNpc	8	55	113		1		1.5	5	hand_0		npc\fbnpc00184		1				npc\tiguan\24\montg24011.lua			1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30				1		-1									
	"//3,千佛洞(天罗教)"																																																																																												
monf083300	拦路悍匪	AttackNpc	14	56	45		1	NormalMon05601	1.25	4	hand1_1		npc\monster115		0.915409	icon\monster\monster115.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			972												
monf083301	马贼帮众	AttackNpc	14	56	45		1	NormalMon05601	1.25	4	hand1_1		npc\monster036		1.030654	icon\monster\monster036.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			972												
monf083302	异域女剑客	AttackNpc	14	56	45		1	NormalMon05601	1.3	4.8	hand1_2		npc\monster134		0.879219	icon\monster\monster134.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			975												
monf083400	苦行妖僧	AttackNpc	14	57	45		1	NormalMon05701	1.25	4	hand1_1		npc\monster052		0.905824	icon\monster\monster052.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			977												
monf083401	千佛武僧	AttackNpc	14	57	45		1	NormalMon05701	1.25	4	hand1_1		npc\monster145		0.965	icon\monster\monster145.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			973												
monf083402	鬼影婆	AttackNpc	14	57	45		1	NormalMon05701	1.3	4.8	hand1_2		npc\monster099		0.832568	icon\monster\monster099.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			977												
monf083403	金沙泥菩萨	AttackNpc	14	57	45		1	NormalMon05701	1.3	4.8	hand1_2		npc\monster099		0.832568	icon\monster\monster099.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			977												
monf083500	鹰眼杀手	AttackNpc	14	58	45		1	NormalMon05801	1.25	4	hand1_1		npc\monster246		0.72	icon\monster\monster246.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			977												
monf083501	鹰爪邪神	AttackNpc	14	58	45		1	NormalMon05801	1.25	4	hand1_1		npc\monster243		0.91	icon\monster\monster243.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30			977												
