NPC±àºÅ	¶ÔÏóÀàÐÍ	ini×¢ÊÍÃû³Æ	NPCÆòÌÖÐÅÏ¢	±íÏÖAI°ü±àºÅ	NPCÀàÐÍ	Ñ¡Ôñ²Ù×÷	Êó±êÐÎ×´	ÊÇ·ñ×ªÉí	×ßÂ·ËÙ¶È	ÅÜ²½ËÙ¶È	ÎäÆ÷³ÖÎÕ·½Ê½	Ä£ÐÍ±àºÅ	ÐÔ±ð	Ä£ÐÍ°ë¾¶	Í¼Æ¬	³öÉú×´Ì¬	npcÉùÒô	×é³É²ÄÁÏ	ÎäÆ÷Ãû³Æ	NPCÖÖÀàID	½Å±¾±àºÅ	ÊÇ·ñÄÜ½ÓïÚ	´¥·¢ÌØÐ§	AIÀàÐÍ	Ñ²ÂßÄ£Ê½	Ñ²Âß°ë¾¶	Â·¾¶ID	ÊÇ·ñËæ»ú³öÏÖ	ÏìÓ¦·¶Î§	ÃÅÅÉ	³ÆºÅ	¼®¹á	ÕóÓª	Ãû×Ö±íÐòºÅ	ÉúÆ½±íÐòºÅ	Éí·Ý²ÎÊý01	Éí·Ý²ÎÊý2	Éí·Ý²ÎÊý3	¶Ô»°¹æÔò	Ìß¹Ý×¨ÓÃ¹ØÁªNPC	ÉúÆ½	ÄÜ·ñÇÐ´è	Ëæ»ú¶Ô»°	ÏÂÆåÍæ¼ÒµÄ×îÐ¡µÈ¼¶	NPCÉíÉÏ¹ÒµÄÆåÆ×°ü	NPCÊÂ¼þ°ü±àºÅ	½øÈëÇÐ´èÇ°¶Ô»°	½áÊøÇÐ´èºó¶Ô»°	¿ÕÏÐ×´Ì¬¶Ô»°	Åö×²Ê±¶Ô»°	ÊµÁ¦°ü±àºÅ	¼¶±ð	ÐÞÎª¾­Ñé	¹ÖÎïÇ¿¶È	µôÂä	ÎäÆ÷ÀàÐÍ	Ëø¶¨Î»ÒÆ¹¥»÷	½û²¥ÊÜ»÷¶¯×÷	Ê°È¡È¨ÏÞÇå¿ÕÊ±¼ä	ÎÞÊ°È¡ÎïÏûÊ§Ê±¼ä	×î´óÏûÊ§Ê±¼ä	¸½¼ÓËæ»úÄÜÁ¦±àºÅ	ÆÕÍ¨¹¥»÷	¼¼ÄÜ±í	±»¶¯	¹Ì¶¨NPCÖØÉúÊ±¼ä	µÐÈËNPC±àºÅ±í	¶ÓÓÑ±àºÅ	ÄÜ·ñ¹¥»÷	ÄÜ²»ÄÜ±»¹¥»÷	²»ÄÜ±»É±ËÀ	¹¥·À±ÈÖØ	·ÀÓù¸ÅÂÊ	"Õ½¶·ÆµÂÊ,ºÁÃë"	"×·»÷·¶Î§,Ã×"	ÎÞ·¨±»Ó²Ö±	Ëø¶¨¼¼ÄÜ¼ä¸ô	ÕÙ»½ID	ÕÙ»½°ë¾¶	ÕÙ»½ÀàÐÍ	±íÑÝ¸ÅÂÊ	±íÑÝÊ±¼ä	ÊÆÁ¦¹éÊô	ÊÆÁ¦¹ØÏµ±í	Õ½¶·¿ªÊ¼µÄÕÙ»½ID	NPC½»»¥Í£ÁôÊ±¼ä	È¨ÖØ	³õÊ¼¶¯×÷¹Ì¶¨Ö¡²¥·Å	Åö×²¶Ô»°¹æÔò	ÉÌµêID	Ï´ºìÃû¹¦ÄÜ	²Ö¿âID	Ö°ÒµID	±¦Ê¯ÓÎÏ·NPC ID	½ÓÈÎÎñ±í	½»ÈÎÎñ±í	¿ÉÒÔ¼ÓÈëµÄÃÅÅÉ±í	¿É»ñµÃµÄÉí·Ý±í	¸´»îµã	Âä½Åµã	æäÕ¾	ÊäÈë¹ØÏµ°ü±àºÅ	ÊÇ·ñÓÐ¹«»á¹¦ÄÜ	°ïÅÉµØ¿é¹ºÂò	ÊÇ·ñÓÐÃÅÅÉÕ½¹¦ÄÜ	ÔËïÚ±àºÅ	ÊÇ·ñÓÐ°ïÅÉ²Ö¿â	ËùÊô°ï»áµØ¿é±àºÅ	AI±à¼­°ü	ÉÆ¶ñ²ÎÊý	Ö±½Ó´¥·¢	´æÔÚÊ±¼ä	µØÎ»ÆÀ·Ö	ÊÀ½çÊÂ¼þÏà¹Ø	±¨¸´µÈ¼¶	±¨¸´ÊÖ¶Î	ÊÇ·ñ¿É½á»é	ÍË³ö·¢Éù¶Ô»°	ÌìÆø°ü	NPCÓÅÏÈÏÔÊ¾	Ê¹ÓÃÇá¹¦	Ê±¼äÖá	Ëõ·Å	²»ÄÜÒÆ¶¯	²»ÄÜ·´»÷
WorldNpc08650	CommonNpc	Îâ°ÙÇ¿		8	94	2	2		1.25	4	hand1_1	npc\worldnpc357			icon\funcnpc\worldnpc357.png					0				3	0	0			20				1			7	2	5	talkrule070205							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								1			2												
WorldNpc08651	CommonNpc	Ñ¦»Ô		8	94	2	2		1.25	4	hand1_1	npc\worldnpc356			icon\funcnpc\worldnpc356.png					0				3	0	0			20				1			7	2	5	talkrule070205							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								1			2						20						
WorldNpc08652	CommonNpc	¿×ÏÈÈÃ		8	94	2	2		1.25	4	hand1_1	npc\worldnpc454			icon\funcnpc\worldnpc253.png					0				3	0	0			20				1			7	2	5	talkrule070205							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								1			2						3						
WorldNpc08653	CommonNpc	Ïô½£±ó		8	94	2	2		1.25	4	hand1_1	npc\worldnpc207			icon\funcnpc\worldnpc207.png					0				3	0	0			20				1			7	7	8	talkrule070708							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								1			5												
WorldNpc08654	CommonNpc	·ë×ÓÐù		8	94	2	2		1.25	4	hand1_1	npc\worldnpc214			icon\funcnpc\worldnpc214.png					0				3	0	0			20				1			7	2	3	talkrule070203							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								1			2												
WorldNpc08655	CommonNpc	Ë¾Í½ÎÞºÞ		8	94	2	2		1.25	4	hand1_1	npc\worldnpc200			icon\funcnpc\worldnpc200.png					0				3	0	0			20				1			7	7	8	talkrule070708							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								1			5												
WorldNpc08656	CommonNpc	³Â¼ÎÃú		8	94	2	2		1.25	4	hand1_1	npc\worldnpc190			icon\funcnpc\worldnpc190.png					0				3	0	0			20				1			7	2	3	talkrule070203							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								1			2						19						
WorldNpc08657	CommonNpc	ºéÈª		8	94	2	2		1.25	4	hand1_1	npc\worldnpc194			icon\funcnpc\worldnpc194.png					0				3	0	0			20				1			7	2	9	talkrule070209							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								1			4												
WorldNpc08658	CommonNpc	Îº¾»		8	94	2	2		1.2	4	hand1_1	npc\worldnpc211			icon\funcnpc\worldnpc211.png					0				3	0	0			20				1			8	5	2	talkrule080502							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								1			3												
WorldNpc08659	CommonNpc	½ª°Ùèº		8	94	2	2		1.2	4	hand1_1	npc\worldnpc211			icon\funcnpc\worldnpc211.png					0				3	0	0			20				1			8	5	2	talkrule080502							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								1			3												
WorldNpc08660	CommonNpc	»ªÌì		8	94	2	2		1.25	4	hand1_1	npc\worldnpc458			icon\funcnpc\worldnpc458.png					0				3	0	0			20				1			6	2	3	talkrule060203							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								1			4												
WorldNpc08661	CommonNpc	ÊØ³Ç±øÊ¿		8	94	2	2		1.25	4	hand1_1	npc\monster105			icon\monster\monster105.png					0				3	0	0			20				1			8	4	2	talkrule080402							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								1			3												
WorldNpc08662	CommonNpc	³ÇÃÅÎÀ±ø		8	94	2	2		1.25	4	hand1_1	npc\worldnpc217			icon\funcnpc\worldnpc217.png					0				3	0	0			20				1			8	4	2	talkrule080402							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								1			3												
WorldNpc08663	CommonNpc	Âí		8	112	2	2		1.25	4	hand_0	npc\mount001			icon\monster\mount001.png					0	npc\npc_fire.lua			3	0	0			20				1																																																					10																											0												
WorldNpc08664	CommonNpc	É¨µØÀÏÕß		8	94	2	2		1.25	4	hand1_1	npc\monster339			icon\funcnpc\worldnpc136.png					0				3	0	0			20				1			7	5	3	talkrule070503							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								1			1												
WorldNpc08665	CommonNpc	ÑàÍõ¸®ÄÚÎÀ		8	94	2	2		1.25	6	lspear1_1	npc\monster105			icon\monster\monster105.png					0				3	0	0			20							8	5	2	talkrule080502							296;297;298;299;300					98	45		4									rn_b_lspear_01		0				0	0	0			1200	120		1200						999		0	10																								1			3												
WorldNpc08666	CommonNpc	ÑàÍõ¸®Ñ²ÂßÊØÎÀ		8	94	2	2		1.25	6	blade1_1	npc\monster482			icon\monster\monster482.png					0				3	0	0			20							8	5	2	talkrule080502							296;297;298;299;300					98	45		4									rn_b_blade_01		0				0	0	0			1200	120		1200						999		0	10																								1			3												
WorldNpc08667	CommonNpc	Ðì¸®ÊØÎÀ		8	94	2	2		1.25	4	hand1_1	npc\worldnpc207			icon\funcnpc\worldnpc207.png					0				3	0	0			20				1			7	7	7	talkrule070707							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								1			3												
WorldNpc08668	CommonNpc	Á·ÎäµÜ×Ó		8	94	2	2		1.25	4	hand1_1	npc\worldnpc517			icon\funcnpc\worldnpc517.png					0				3	0	0			20				1			7	2	18	talkrule070218							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								1			4												
WorldNpc08669	CommonNpc	Á·ÎäµÜ×Ó		8	94	2	2		1.25	4	hand1_1	npc\worldnpc160			icon\monster\monster133.png					0				3	0	0			20				1			7	2	18	talkrule070218							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								1			4												
WorldNpc08670	CommonNpc	Ñ¾÷ß		8	94	2	2		1.3	4.8	hand1_2	npc\worldnpc370			icon\funcnpc\worldnpc370.png					0				3	0	0			20				1			7	5	4	talkrule070504							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								1			2												
WorldNpc08671	CommonNpc	Ê§³èµÄåú×Ó		8	94	2	2		1.3	4.8	hand1_2	npc\worldnpc109			icon\funcnpc\worldnpc109.png					0				3	0	0			20				1			8	1	1	talkrule080101							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								1			7												
WorldNpc08672	CommonNpc	¶«·½Óð		8	94	2	2		1.25	4	hand1_1	npc\worldnpc256			icon\funcnpc\worldnpc256.png					0				3	0	0			20				1			2	1	52	tg020152	"18,bosstg18003"	zhuanyong_104	1				296;297;298;299;300					1	20		1											1						1			2000	15		2000								0	10									81057;28067;28068;28069;28073;	81057;28066;28067;28069;28072;														1			6												
WorldNpc08673	CommonNpc	ÆëÕÑ		8	94	2	2		1.25	4	hand1_1	npc\worldnpc534			icon\funcnpc\worldnpc534.png					0				3	0	0			20				1			2	1	54	tg020154		zhuanyong_106					296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								1			5												
WorldNpc08674	CommonNpc	¶«·½ÈÊ		8	94	2	2		1.25	4	hand1_1	npc\fbfunnpc004009								0				3	0	0			20				1			2	1	53	tg020153	"18,bosstg18004"	zhuanyong_105					296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								2			7												
WorldNpc08675	CommonNpc	¶«·½°ÁÑ©		8	94	2	2		1.3	4.8	hand1_2	npc\worldnpc410			icon\funcnpc\worldnpc410.png					0				3	0	0			20				1			2	1	55	tg020155	"18,bosstg18006"	zhuanyong_107					296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								4			6												
WorldNpc08676	CommonNpc	¶«·½Ò£		8	94	2	2		1.25	4	hand1_1	npc\worldnpc361			icon\funcnpc\worldnpc361.png					0				3	0	0			20				1			2	1	59	tg020159		zhuanyong_111					296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								1			6												
WorldNpc08677	CommonNpc	ÄÏ¹¬Á¯		8	94	2	2		1	4.8	hand1_2	npc\worldnpc235			icon\funcnpc\worldnpc235.png					0				3	0	0			20				1			2	1	60	tg020160		zhuanyong_112					296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								4			6												
WorldNpc08678	CommonNpc	¶«·½Ñã		8	94	2	2		0.9	4	hand1_1	npc\worldnpc192			icon\funcnpc\worldnpc192.png					0				3	0	0			20				1			2	1	61	tg020161		zhuanyong_113					296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								4			6												
WorldNpc08679	CommonNpc	¶«·½Ê¿Í¢		8	94	2	2		1.25	4	hand1_1	npc\worldnpc239			icon\funcnpc\worldnpc239.png					0				3	0	0			20				1			2	1	62	tg020162	"18,bosstg18013"	zhuanyong_114					296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								2			6												
WorldNpc08680	CommonNpc	¶«·½ÑÔÉÙ		8	94	2	2		1.25	4	hand1_1	npc\worldnpc362			icon\funcnpc\worldnpc362.png					0				3	0	0			20				1			2	1	63	tg020163	"18,bosstg18014"	zhuanyong_115					296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								4			6												
WorldNpc08681	CommonNpc	¼§Ôá»¨		8	94	2	2		1.25	4	hand1_1	npc\worldnpc536			icon\funcnpc\worldnpc536.png					0				3	0	0			20				1			5	17	50	tg051750	"23,bosstg23001"	zhuanyong_116					296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								2			6												
WorldNpc08682	CommonNpc	¼§¿àÇé		8	94	2	2		1.25	4	hand1_1	npc\worldnpc312			icon\funcnpc\worldnpc312.png					0				3	0	0			20				1			5	17	51	tg051751	"23,bosstg23002"	zhuanyong_117					296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								2			6												
WorldNpc08683	CommonNpc	¼§±¯Çé		8	94	2	2		1.3	4.8	hand1_2	npc\worldnpc009			icon\funcnpc\worldnpc009.png					0				3	0	0			20				1			5	17	52	tg051752	"23,bosstg23003"	zhuanyong_118					296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								2			6												
WorldNpc08684	CommonNpc	¼§·òÈË		8	94	2	2		1.3	4.8	hand1_2	npc\worldnpc183			icon\funcnpc\worldnpc183.png					0				3	0	0			20				1			5	17	53	tg051753	"23,bosstg23004"	zhuanyong_119					296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								2			5												
WorldNpc08685	CommonNpc	¼§Áè·ç		8	94	2	2		1.3	4.8	hand1_2	npc\worldnpc411			icon\funcnpc\worldnpc411.png					0				3	0	0			20				1			5	17	54	tg051754	"23,bosstg23005"	zhuanyong_120					296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								2			5												
WorldNpc08686	CommonNpc	¼§ÁèÑà		8	94	2	2		1.3	4.8	hand1_2	npc\worldnpc412			icon\funcnpc\worldnpc412.png					0				3	0	0			20				1			5	17	55	tg051755		zhuanyong_121					296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								2			5												
WorldNpc08687	CommonNpc	¶«¹ù¸ß		8	94	2	2		1.25	4	hand1_1	npc\worldnpc419			icon\funcnpc\worldnpc419.png					0				3	0	0			20				1			5	17	56	tg051756	"23,bosstg23007"	zhuanyong_122					296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								2			6												
WorldNpc08688	CommonNpc	É±ÈË×¯ÊØÎÀ		8	94	2	2		1.25	4	hand1_1	npc\worldnpc553			icon\funcnpc\worldnpc553.png					0				3	0	0			20				1			5	17	2	talkrule051702							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								2			2												
WorldNpc08689	CommonNpc	¼§ÎÞð¯		8	94	2	2		1.25	4	hand1_1	npc\worldnpc563			icon\funcnpc\worldnpc563.png					0				3	0	0			20				1			5	17	1	talkrule051701							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								2			3												
WorldNpc08690	CommonNpc	Ñ²Âß×¯¿Í		8	94	2	2		1.25	4	hand1_1	npc\worldnpc572			icon\funcnpc\worldnpc572.png					0				3	0	0			20				1			6	1	4	talkrule060104							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								1			5												
WorldNpc08691	CommonNpc	Ðì¼ÌÊ±		8	94	2	2		1.25	4	hand1_1	npc\worldnpc496			icon\funcnpc\worldnpc496.png					0				3	0	0			20				1			7	7	8	talkrule070708							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								1			5												
WorldNpc08692	CommonNpc	Ñ¦¶¡		8	94	2	2		1.25	4	hand1_1	npc\worldnpc200			icon\funcnpc\worldnpc200.png					0				3	0	0			20				1			1	4	2	talkrule010402							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								1			5												
WorldNpc08693	CommonNpc	×¯ÄÚÆÍ´Ó		8	94	2	2		1.25	4	hand1_1	npc\worldnpc499			icon\funcnpc\worldnpc499.png					0				3	0	0			20				1			5	17	2	talkrule051702							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								2			2												
WorldNpc08694	CommonNpc	Ñ¾÷ß		8	94	2	2		1.3	4.8	hand1_2	npc\worldnpc195			icon\funcnpc\worldnpc195.png					0				3	0	0			20				1			5	17	2	talkrule051702							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								2			2												
WorldNpc08695	CommonNpc	³ÇÃÅÊØÎÀ		8	94	2	2		1.25	6	lspear1_1	npc\monster105			icon\monster\monster105.png					0				3	0	0			20							8	4	2	talkrule080402							296;297;298;299;300					98	100		4									rn_b_lspear_01		0				0	0	0			1200	120		2000						999		0	10																								1			3												
WorldNpc_QIUCHE	CommonNpc	Çô³µ		8	94	2	2		1.25	1.5	hand_0	npc\itemnpc658			icon\monster\monster482.png					0				3	0	0	RN_youjie01		20																						98	100		4							9999999				1						1			1200	120		1200								0																									1			0												
																																																																																						10																																							
																								3	0	0			20																																																									10																																							
																								3	0	0			20																																																									10																																							
WorldNpc08701	CommonNpc	ÀÖÉÙÑÔ		8	94	2	2		1.25	4	hand1_1	npc\worldnpc205			icon\funcnpc\worldnpc205.png					0				3	0	0			20				1			1	4	3	talkrule010403							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								4			4												
WorldNpc08702	CommonNpc	ÇØÆ®Æ®		8	94	2	2		1.3	4.8	hand1_2	npc\worldnpc203			icon\funcnpc\worldnpc203.png					0				3	0	0			20				1			1	4	3	talkrule010403							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								4			4												
																								3	0	0			20																																																									10																																							
WorldNpc08703	CommonNpc	Êæ¸ê¼á		8	94	2	2		1.25	4	hand1_1	npc\worldnpc205			icon\funcnpc\worldnpc205.png					0				3	0	0			20				1			1	3	3	talkrule010303							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								1			4												
																								3	0	0			20																																																									10																																							
																								3	0	0			20																																																									10																																							
WorldNpc08706	CommonNpc	Ö£Î÷É­		8	94	2	2		1.25	4	hand1_1	npc\monster105			icon\monster\monster105.png					0				3	0	0			20				1			8	4	1	talkrule080401							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								1			6												
WorldNpc08707	CommonNpc	ãåÇ§Ä¾		8	94	2	2		1.25	4	hand1_1	npc\monster105			icon\monster\monster105.png					0				3	0	0			20				1			8	4	1	talkrule080401							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								1			6												
WorldNpc08708	CommonNpc	±øÊ¿		8	94	2	2		1.25	4	hand1_1	npc\worldnpc217			icon\funcnpc\worldnpc217.png					0				3	0	0			20				1			8	4	2	talkrule080402							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								1			3												
WorldNpc08709	CommonNpc	±øÊ¿		8	94	2	2		1.25	4	hand1_1	npc\worldnpc217			icon\funcnpc\worldnpc217.png					0				3	0	0			20				1			8	4	2	talkrule080402							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								1			3												
WorldNpc08710	CommonNpc	±øÊ¿		8	94	2	2		1.25	4	hand1_1	npc\worldnpc217			icon\funcnpc\worldnpc217.png					0				3	0	0			20				1			8	4	2	talkrule080402							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								1			3												
WorldNpc08711	CommonNpc	±øÊ¿		8	94	2	2		1.25	4	hand1_1	npc\worldnpc217			icon\funcnpc\worldnpc217.png					0				3	0	0			20				1			8	4	2	talkrule080402							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								1			3												
WorldNpc08712	CommonNpc	±øÊ¿		8	94	2	2		1.25	4	hand1_1	npc\worldnpc217			icon\funcnpc\worldnpc217.png					0				3	0	0			20				1			8	4	2	talkrule080402							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								1			3												
WorldNpc08713	CommonNpc	±øÊ¿		8	94	2	2		1.25	4	hand1_1	npc\worldnpc217			icon\funcnpc\worldnpc217.png					0				3	0	0			20				1			8	4	2	talkrule080402							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								1			3												
WorldNpc08714	CommonNpc	±øÊ¿		8	94	2	2		1.25	4	hand1_1	npc\worldnpc217			icon\funcnpc\worldnpc217.png					0				3	0	0			20				1			8	4	2	talkrule080402							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								1			3												
WorldNpc08715	CommonNpc	±øÊ¿		8	94	2	2		1.25	4	hand1_1	npc\worldnpc217			icon\funcnpc\worldnpc217.png					0				3	0	0			20				1			8	4	2	talkrule080402							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								1			3												
WorldNpc08716	CommonNpc	±øÊ¿		8	94	2	2		1.25	4	hand1_1	npc\worldnpc217			icon\funcnpc\worldnpc217.png					0				3	0	0			20				1			8	4	2	talkrule080402							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								1			3												
WorldNpc08717	CommonNpc	±øÊ¿		8	94	2	2		1.25	4	hand1_1	npc\worldnpc217			icon\funcnpc\worldnpc217.png					0				3	0	0			20				1			8	4	2	talkrule080402							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								1			3												
																																																																																						10																																							
																																																																																						10																																							
WorldNpc08718	CommonNpc	Ö£ÌìÈÃ		8	94	2	2		1.25	4	hand1_1	npc\worldnpc217			icon\funcnpc\worldnpc217.png					0				3	0	0			20				1			8	3	2	talkrule080302							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10									24352;24353;24366;24367;24371;24372;	24351;24352;24365;24366;24370;24371;														1			8												
WorldNpc08719	CommonNpc	Ë¾Í½»¢		8	94	2	2		1.25	4	hand1_1	npc\worldnpc217			icon\funcnpc\worldnpc217.png					0				3	0	0			20				1			8	4	1	talkrule080401							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								1			6												
WorldNpc08720	CommonNpc	Ë¾Í½±ª		8	94	2	2		1.25	4	hand1_1	npc\worldnpc217			icon\funcnpc\worldnpc217.png					0				3	0	0			20				1			8	4	1	talkrule080401							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								1			6												
WorldNpc08721	CommonNpc	Ç×Ëæ		8	94	2	2		1.25	6	hand1_1	npc\worldnpc077			icon\funcnpc\worldnpc077.png					0				3	0	0			20							8	4	2	talkrule080402							296;297;298;299;300					98	100		4									rn_b_hand_01		0				0	0	0			1200	120		1200						999		0	10																								1			3												
WorldNpc08722	CommonNpc	Ç×Ëæ		8	94	2	2		1.25	6	hand1_1	npc\worldnpc077			icon\funcnpc\worldnpc077.png					0				3	0	0			20							8	4	2	talkrule080402							296;297;298;299;300					98	100		4									rn_b_hand_01		0				0	0	0			1200	120		1200						999		0	10																								1			3												
WorldNpc08723	CommonNpc	Ç×Ëæ		8	94	2	2		1.25	6	hand1_1	npc\worldnpc077			icon\funcnpc\worldnpc077.png					0				3	0	0			20							8	4	2	talkrule080402							296;297;298;299;300					98	100		4									rn_b_hand_01		0				0	0	0			1200	120		1200						999		0	10																								1			3												
WorldNpc08724	CommonNpc	Ç×Ëæ		8	94	2	2		1.25	6	hand1_1	npc\worldnpc077			icon\funcnpc\worldnpc077.png					0				3	0	0			20							8	4	2	talkrule080402							296;297;298;299;300					98	100		4									rn_b_hand_01		0				0	0	0			1200	120		1200						999		0	10																								1			3												
WorldNpc08725	CommonNpc	Ç×Ëæ		8	94	2	2		1.25	6	hand1_1	npc\worldnpc077			icon\funcnpc\worldnpc077.png					0				3	0	0			20							8	4	2	talkrule080402							296;297;298;299;300					98	100		4									rn_b_hand_01		0				0	0	0			1200	120		1200						999		0	10																								1			3												
WorldNpc08726	CommonNpc	ÆÕÍ¨Ê¿±ø		8	94	2	2		1.25	6	hand1_1	npc\worldnpc217			icon\funcnpc\worldnpc217.png					0				3	0	0			20							8	4	2	talkrule080402							296;297;298;299;300					98	100		4									rn_b_hand_01		0				0	0	0			1200	120		1200						999		0	10																								1			3												
WorldNpc08727	CommonNpc	ÆÕÍ¨Ê¿±ø		8	94	2	2		1.25	6	hand1_1	npc\worldnpc217			icon\funcnpc\worldnpc217.png					0				3	0	0			20							8	4	2	talkrule080402							296;297;298;299;300					98	100		4									rn_b_hand_01		0				0	0	0			1200	120		1200						999		0	10																								1			3												
WorldNpc08728	CommonNpc	ÆÕÍ¨Ê¿±ø		8	94	2	2		1.25	6	hand1_1	npc\worldnpc217			icon\funcnpc\worldnpc217.png					0				3	0	0			20							8	4	2	talkrule080402							296;297;298;299;300					98	100		4									rn_b_hand_01		0				0	0	0			1200	120		1200						999		0	10																								1			3												
WorldNpc08729	CommonNpc	ÆÕÍ¨Ê¿±ø		8	94	2	2		1.25	6	hand1_1	npc\worldnpc217			icon\funcnpc\worldnpc217.png					0				3	0	0			20							8	4	2	talkrule080402							296;297;298;299;300					98	100		4									rn_b_hand_01		0				0	0	0			1200	120		1200						999		0	10																								1			3												
WorldNpc08730	CommonNpc	ÆÕÍ¨Ê¿±ø		8	94	2	2		1.25	6	hand1_1	npc\worldnpc217			icon\funcnpc\worldnpc217.png					0				3	0	0			20							8	4	2	talkrule080402							296;297;298;299;300					98	100		4									rn_b_hand_01		0				0	0	0			1200	120		1200						999		0	10																								1			3												
WorldNpc08731	CommonNpc	ÆÕÍ¨Ê¿±ø		8	94	2	2		1.25	6	hand1_1	npc\worldnpc217			icon\funcnpc\worldnpc217.png					0				3	0	0			20							8	4	2	talkrule080402							296;297;298;299;300					98	100		4									rn_b_hand_01		0				0	0	0			1200	120		1200						999		0	10																								1			3												
WorldNpc08732	CommonNpc	ÆÕÍ¨Ê¿±ø		8	94	2	2		1.25	6	hand1_1	npc\worldnpc217			icon\funcnpc\worldnpc217.png					0				3	0	0			20							8	4	2	talkrule080402							296;297;298;299;300					98	100		4									rn_b_hand_01		0				0	0	0			1200	120		1200						999		0	10																								1			3												
WorldNpc08733	CommonNpc	ÆÕÍ¨Ê¿±ø		8	94	2	2		1.25	6	hand1_1	npc\worldnpc217			icon\funcnpc\worldnpc217.png					0				3	0	0			20							8	4	2	talkrule080402							296;297;298;299;300					98	100		4									rn_b_hand_01		0				0	0	0			1200	120		1200						999		0	10																								1			3												
WorldNpc08734	CommonNpc	ÆÕÍ¨Ê¿±ø		8	94	2	2		1.25	6	hand1_1	npc\worldnpc217			icon\funcnpc\worldnpc217.png					0				3	0	0			20							8	4	2	talkrule080402							296;297;298;299;300					98	100		4									rn_b_hand_01		0				0	0	0			1200	120		1200						999		0	10																								1			3												
