NPC编号	对象类型	特殊建筑类型	ini注释名称	NPC乞讨信息	表现AI包编号	NPC类型	家园子npc类型	选择操作	鼠标形状	是否转身	走路速度	跑步速度	武器持握方式	武器名称	模型编号	性别	模型半径	图片	出生状态	npc声音	组成材料	武器名称	NPC种类ID	脚本编号	是否能接镖	触发特效	AI类型	巡逻模式	巡逻半径	路径ID	是否随机出现	响应范围	缩放	称号	籍贯	阵营	名字表序号	生平表序号	身份参数01	身份参数2	身份参数3	对话规则	踢馆专用关联NPC	生平	能否切磋	下棋玩家的最小等级	NPC身上挂的棋谱包	NPC事件包编号	进入切磋前对话	结束切磋后对话	空闲状态对话	实力包编号	级别	修为经验	怪物强度	掉落	武器类型	锁定位移攻击	拾取权限清空时间	无拾取物消失时间	最大消失时间	附加随机能力编号	普通攻击	技能表	主动被动	固定NPC重生时间	敌人NPC编号表	队友编号	能否攻击	能不能被攻击	不能被杀死	攻防比重	防御概率	"战斗频率,毫秒"	"追击范围,米"	无法被硬直	锁定技能间隔	召唤ID	召唤半径	召唤类型	表演概率	表演时间	势力归属	势力关系表	战斗开始的召唤ID	NPC交互停留时间	权重	碰撞对话规则	初始动作固定帧播放	商店ID	洗红名功能	仓库ID	职业ID	钓鱼活动	宝石游戏NPC ID	接任务表	交任务表	可以加入的门派表	可获得的身份表	复活点	落脚点	驿站	输入关系包编号	是否有公会功能	帮派地块购买	是否有门派战功能	运镖编号	是否有帮派仓库	是否有帮派驻地	AI编辑包	善恶参数	直接触发	表演时间（ms）	使用次数	婚宴npc类型	格挡方式(-1表示不格挡)	脱战回血	存在时间(毫秒)	退出发声对话	天气包	护卫跟随点X	护卫跟随点Z	捐献类型	是否可见	优先显示
JunZTqishiNpc017	CommonNpc		骆苍		8	181		2	2	1	0.5	2	hand1_1		npc\fbnpc00499			icon\monster\fbnpc00499.png					0				3	0	0			20														1	qpcj_10036																																																																														
JunZTqishiNpc018	CommonNpc		干纯		8	181		2	2	1	0.5	2	hand1_1		npc\fbnpc021005			icon\monster\fbnpc021005.png					0				3	0	0			20														1	qpcj_10037																																																																														
JunZTqishiNpc019	CommonNpc		杭启		8	181		2	2	1	0.5	2	hand1_1		npc\fbboss015003	1		icon\monster\fbboss015003.png					0				3	0	0			20														1	qpcj_10038																																																																														
																																																																																																																													
																																																																																																																													
	//峨眉																																																																																																																												
EMqishiNpc001	CommonNpc		腾山		8	181		2	2	1	0.5	2	hand1_1		npc\fbboss003005	1		icon\monster\fbboss003005.png					0				3	0	0			20														1	qpcj_10022																																																																														
EMqishiNpc002	CommonNpc		俞一杉		8	181		2	2	1	0.5	2	hand1_1		npc\fbfunnpc00031			icon\monster\fbfunnpc00031.png					0				3	0	0			20														1	qpcj_10025																																																																														
EMqishiNpc003	CommonNpc		轩期		8	181		2	2	1	0.5	2	hand1_1		npc\fbfunnpc00241			icon\monster\fbfunnpc00241.png					0				3	0	0			20														1	qpcj_10029																																																																														
EMqishiNpc004	CommonNpc		赵蕊		8	181		2	2	1	0.5	2	hand1_2		npc\worldnpc258	2		icon\funcnpc\worldnpc258.png					0				3	0	0			20														1	qpcj_10033																																																																														
EMqishiNpc005	CommonNpc		姚青蓝		8	181		2	2	1	0.5	2	hand1_2		npc\worldnpc299	2		icon\funcnpc\worldnpc299.png					0				3	0	0			20														1	qpcj_10037																																																																														
																																																																																																																													
																																																																																																																													
	//极乐谷																																																																																																																												
JiLGqishiNpc013	CommonNpc		谭崇		8	181		2	2	1	0.5	2	hand1_1		npc\fbfunnpc00030			icon\monster\fbfunnpc00030.png					0				3	0	0			20														1	qpcj_10023																																																																														
JiLGqishiNpc014	CommonNpc		欧灿		8	181		2	2	1	0.5	2	hand1_1		npc\worldnpc219	1		icon\funcnpc\worldnpc219.png					0				3	0	0			20														1	qpcj_10026																																																																														
JiLGqishiNpc015	CommonNpc		冷秦		8	181		2	2	1	0.5	2	hand_0		npc\worldnpc604	1		icon\funcnpc\worldnpc604.png					0				3	0	0			20														1	qpcj_10030																																																																														
JiLGqishiNpc016	CommonNpc		包哲		8	181		2	2	1	0.5	2	hand1_1		npc\boss039	1		icon\funcnpc\boss039.png					0				3	0	0			20														1	qpcj_10034																																																																														
JiLGqishiNpc017	CommonNpc		汤佳		8	181		2	2	1	0.5	2	hand1_2		npc\worldnpc597	2		icon\funcnpc\worldnpc597.png					0				3	0	0			20														1	qpcj_10038																																																																														
																																																																																																																													
																																																																																																																													
	//丐帮																																																																																																																												
GaiBqishiNpc002	CommonNpc		耿执		8	181		2	2	1	0.5	2	hand1_1		npc\worldnpc245	1		icon\funcnpc\worldnpc245.png					0				3	0	0			20														1	qpcj_10021																																																																														
GaiBqishiNpc003	CommonNpc		段澜		8	181		2	2	1	0.5	2	hand1_1		npc\worldnpc493	1		icon\funcnpc\worldnpc493.png					0				3	0	0			20														1	qpcj_10024																																																																														
GaiBqishiNpc004	CommonNpc		德安		8	181		2	2	1	0.5	2	hand1_1		npc\worldnpc492	1		icon\funcnpc\worldnpc492.png					0				3	0	0			20														1	qpcj_10028																																																																														
GaiBqishiNpc005	CommonNpc		苑俊飞		8	181		2	2	1	0.5	2	hand1_1		npc\worldnpc491	1		icon\funcnpc\worldnpc491.png					0				3	0	0			20														1	qpcj_10032																																																																														
GaiBqishiNpc006	CommonNpc		万泰		8	181		2	2	1	0.5	2	hand1_1		npc\fbboss00169	1		icon\monster\fbboss00169.png					0				3	0	0			20														1	qpcj_10036																																																																														
																																																																																																																													
																																																																																																																													
	//梅花岭																																																																																																																												
MeiHLqishiNpc017	CommonNpc		赵孤凡		8	181		2	2	1	0.5	2	hand1_1		npc\monster440	1		icon\monster\monster440.png					0				3	0	0			20														1	qpcj_10039																																																																														
MeiHLqishiNpc018	CommonNpc		西来		8	181		2	2	1	0.5	2	hand1_1		npc\monster517	1		icon\monster\monster517.png					0				3	0	0			20														1	qpcj_10043																																																																														
MeiHLqishiNpc019	CommonNpc		席长尽		8	181		2	2	1	0.5	2	hand1_1		npc\monster518	1		icon\monster\monster518.png					0				3	0	0			20														1	qpcj_10047																																																																														
MeiHLqishiNpc020	CommonNpc		吴悲		8	181		2	2	1	0.5	2	hand1_1		npc\monster519	1		icon\monster\monster519.png					0				3	0	0			20														1	qpcj_10051																																																																														
MeiHLqishiNpc021	CommonNpc		元寻		8	181		2	2	1	0.5	2	hand1_1		npc\monster521	1		icon\monster\monster521.png					0				3	0	0			20														1	qpcj_10055																																																																														
																																																																																																																													
																																																																																																																													
	//念罗坝																																																																																																																												
NianLBqishiNpc001	CommonNpc		宗包如		8	181		2	2	1	0.5	2	hand1_1		npc\monster342	1		icon\monster\monster342.png					0				3	0	0			20														1	qpcj_10040																																																																														
NianLBqishiNpc002	CommonNpc		庄媛媛		8	181		2	2	1	0.5	2	hand1_2		npc\worldnpc508	2		icon\funcnpc\worldnpc508.png					0				3	0	0			20														1	qpcj_10044																																																																														
NianLBqishiNpc003	CommonNpc		谢娟		8	181		2	2	1	0.5	2	hand1_2		npc\worldnpc509	2		icon\funcnpc\worldnpc509.png					0				3	0	0			20														1	qpcj_10048																																																																														
NianLBqishiNpc004	CommonNpc		容薇		8	181		2	2	1	0.5	2	hand1_2		npc\worldnpc510	2		icon\funcnpc\worldnpc510.png					0				3	0	0			20														1	qpcj_10052																																																																														
NianLBqishiNpc005	CommonNpc		单雯		8	181		2	2	1	0.5	2	hand1_2		npc\worldnpc597	2		icon\funcnpc\worldnpc597.png					0				3	0	0			20														1	qpcj_10056																																																																														
																																																																																																																													
																																																																																																																													
	//燕京																																																																																																																												
YanJqishiNpc002	CommonNpc		姜乐苦		8	181		2	2		0	-1	hand1_1		npc\boss035_01	1		icon\funcnpc\boss035_01.png					0				3	0	0			20														1	qpcj_10041	296;297;298;299;300																																																																													
YanJqishiNpc003	CommonNpc		房恒		8	181		2	2		0	-1	hand1_1		npc\fbfunnpc00035			icon\monster\fbfunnpc00035.png					0				3	0	0			20														1	qpcj_10045	296;297;298;299;300																																																																													
YanJqishiNpc004	CommonNpc		江贺之		8	181		2	2		0	-1	hand1_1		npc\monster390	1		icon\monster\monster390.png					0				3	0	0			20														1	qpcj_10049	296;297;298;299;300																																																																													
YanJqishiNpc005	CommonNpc		叶君安		8	181		2	2		0	-1	hand1_1		npc\boss041_02	1		icon\funcnpc\boss041_02.png					0				3	0	0			20														1	qpcj_10053	296;297;298;299;300																																																																													
YanJqishiNpc006	CommonNpc		陈芝		8	181		2	2		0	-1	hand1_1		npc\worldnpc556	1		icon\funcnpc\worldnpc556.png					0				3	0	0			20														1	qpcj_10057	296;297;298;299;300																																																																													
																																																																																																																													
																																																																																																																													
	//苏州																																																																																																																												
SuZqishiNpc002	CommonNpc		班庆		8	181		2	2		0	-1	hand1_1		npc\monster500	1		icon\monster\monster500.png					0				3	0	0			20														1	qpcj_10040	296;297;298;299;300																																																																													
SuZqishiNpc003	CommonNpc		车文庄		8	181		2	2		0	-1	hand1_1		npc\worldnpc042	1		icon\funcnpc\worldnpc042.png					0				3	0	0			20														1	qpcj_10042	296;297;298;299;300																																																																													
SuZqishiNpc004	CommonNpc		牧嘉		8	181		2	2		0	-1	hand1_1		npc\passenger10			icon\funcnpc\passenger10.png					0				3	0	0			20														1	qpcj_10044	296;297;298;299;300																																																																													
SuZqishiNpc005	CommonNpc		仲夏		8	181		2	2		0	-1	hand1_2		npc\monster584	2		icon\monster\monster584.png					0				3	0	0			20														1	qpcj_10046	296;297;298;299;300																																																																													
SuZqishiNpc006	CommonNpc		侯青棉		8	181		2	2		0	-1	hand1_2		npc\monster538	2		icon\monster\monster538.png					0				3	0	0			20														1	qpcj_10048	296;297;298;299;300																																																																								8					
SuZqishiNpc007	CommonNpc		焦黛		8	181		2	2		0	-1	hand1_2		npc\monster533	2		icon\monster\monster533.png					0				3	0	0			20														1	qpcj_10050	296;297;298;299;300																																																																								8					
SuZqishiNpc008	CommonNpc		黎倩		8	181		2	2		0	-1	hand_0		npc\passenger11			icon\funcnpc\passenger11.png					0				3	0	0			20														1	qpcj_10052	296;297;298;299;300																																																																								8					
SuZqishiNpc009	CommonNpc		苏云		8	181		2	2		0	-1	hand1_1		npc\boss041	1		icon\funcnpc\boss041.png					0				3	0	0			20														1	qpcj_10054	296;297;298;299;300																																																																													
SuZqishiNpc010	CommonNpc		景昊		8	181		2	2		0	-1	hand1_1		npc\worldnpc460	1		icon\funcnpc\worldnpc460.png					0				3	0	0			20														1	qpcj_10056	296;297;298;299;300																																																																													
																																																																																																																													
																																																																																																																													
	//向阳坡																																																																																																																												
XiangYPqishiNpc001	CommonNpc		沈湘君		8	181		2	2	1	0.5	2	hand1_2		npc\worldnpc508	2		icon\funcnpc\worldnpc508.png					0				3	0	0			20														1	qpcj_10059																																																																														
XiangYPqishiNpc002	CommonNpc		束负		8	181		2	2	1	0.5	2	hand1_1		npc\fbboss015004	1		icon\monster\fbboss015004.png					0				3	0	0			20														1	qpcj_10064																																																																														
XiangYPqishiNpc003	CommonNpc		司空净		8	181		2	2	1	0.5	2	hand1_1		npc\fbboss00121b	1		icon\monster\fbboss00121b.png					0				3	0	0			20														1	qpcj_10071																																																																														
																																																																																																																													
																																																																																																																													
	//泛黄平原																																																																																																																												
FanHPYqishiNpc001	CommonNpc		汤严		8	181		2	2	1	0.5	2	hand1_1		npc\worldnpc522	1		icon\funcnpc\worldnpc522.png					0				3	0	0			20														1	qpcj_10061																																																																														
FanHPYqishiNpc002	CommonNpc		唐叶璇		8	181		2	2	1	0.5	2	hand1_2		npc\monster584	2		icon\monster\monster584.png					0				3	0	0			20														1	qpcj_10068																																																																														
FanHPYqishiNpc003	CommonNpc		钟娄		8	181		2	2	1	0.5	2	hand1_2		npc\worldnpc204	2		icon\funcnpc\worldnpc204.png					0				3	0	0			20														1	qpcj_10074																																																																														
																																																																																																																													
																																																																																																																													
	//金陵																																																																																																																												
JinLqishiNpc001	CommonNpc		徐淼		8	181		2	2		0	-1	hand1_1		npc\monster071	1		icon\monster\monster071.png					0				3	0	0			20														1	qpcj_10058	296;297;298;299;300																																																																													
JinLqishiNpc002	CommonNpc		徐炎		8	181		2	2		0	-1	hand1_1		npc\monster071	1		icon\monster\monster071.png					0				3	0	0			20														1	qpcj_10059	296;297;298;299;300																																																																													
JinLqishiNpc003	CommonNpc		徐垚		8	181		2	2		0	-1	hand1_1		npc\monster071	1		icon\monster\monster071.png					0				3	0	0			20														1	qpcj_10060	296;297;298;299;300																																																																													
JinLqishiNpc004	CommonNpc		赵金银		8	181		2	2		0	-1	hand1_1		npc\fbnpc021016			icon\monster\fbnpc021016.png					0				3	0	0			20														1	qpcj_10061	296;297;298;299;300																																																																													
JinLqishiNpc005	CommonNpc		呼延博		8	181		2	2		0	-1	hand1_1		npc\fbnpc021009			icon\monster\fbnpc021009.png					0				3	0	0			20														1	qpcj_10062	296;297;298;299;300																																																																													
JinLqishiNpc006	CommonNpc		刘自来		8	181		2	2		0	-1	hand1_1		npc\fbboss00131	1		icon\monster\fbboss00131.png					0				3	0	0			20														1	qpcj_10063	296;297;298;299;300																																																																													
JinLqishiNpc007	CommonNpc		高锦		8	181		2	2		0	-1	hand1_1		npc\fbboss015003	1		icon\monster\fbboss015003.png					0				3	0	0			20														1	qpcj_10064	296;297;298;299;300																																																																													
JinLqishiNpc008	CommonNpc		肖璇		8	181		2	2		0	-1	hand1_2		npc\fbboss015006	2		icon\monster\fbboss015006.png					0				3	0	0			20														1	qpcj_10065	296;297;298;299;300																																																																													
JinLqishiNpc009	CommonNpc		谢琴		8	181		2	2		0	-1	hand1_2		npc\fbboss021003	2		icon\monster\fbboss021003.png					0				3	0	0			20														1	qpcj_10066	296;297;298;299;300																																																																													
JinLqishiNpc010	CommonNpc		唐梦佳		8	181		2	2		0	-1	hand1_2		npc\fbfunnpc00021			icon\monster\fbfunnpc00021.png					0				3	0	0			20														1	qpcj_10067	296;297;298;299;300																																																																													
JinLqishiNpc011	CommonNpc		雨晴		8	181		2	2		0	-1	hand1_2		npc\worldnpc410	2		icon\funcnpc\worldnpc410.png					0				3	0	0			20														1	qpcj_10068	296;297;298;299;300																																																																													
JinLqishiNpc012	CommonNpc		清心		8	181		2	2		0	-1	hand1_1		npc\worldnpc091	1		icon\funcnpc\worldnpc091.png					0				3	0	0			20														1	qpcj_10069	296;297;298;299;300																																																																													
JinLqishiNpc013	CommonNpc		赵峰		8	181		2	2		0	-1	hand1_1		npc\fbfunnpc00121			icon\monster\fbfunnpc00121.png					0				3	0	0			20														1	qpcj_10070	296;297;298;299;300																																																																													
JinLqishiNpc014	CommonNpc		李复		8	181		2	2		0	-1	hand1_1		npc\fbboss015008	1		icon\monster\fbboss015008.png					0				3	0	0			20														1	qpcj_10071	296;297;298;299;300																																																																													
JinLqishiNpc015	CommonNpc		齐大友		8	181		2	2		0	-1	hand1_1		npc\fbfunnpc00023			icon\monster\fbfunnpc00023.png					0				3	0	0			20														1	qpcj_10072	296;297;298;299;300																																																																													
JinLqishiNpc016	CommonNpc		郝运来		8	181		2	2		0	-1	hand1_1		npc\fbfunnpc004009			icon\monster\fbfunnpc004009.png					0				3	0	0			20														1	qpcj_10073	296;297;298;299;300																																																																													
JinLqishiNpc017	CommonNpc		贺磊		8	181		2	2		0	-1	hand1_1		npc\fbfunnpc015001			icon\monster\fbfunnpc015001.png					0				3	0	0			20														1	qpcj_10074	296;297;298;299;300																																																																													
JinLqishiNpc018	CommonNpc		许忠		8	181		2	2		0	-1	hand1_1		npc\fbfunnpc019001			icon\monster\fbfunnpc019001.png					0				3	0	0			20														1	qpcj_10075	296;297;298;299;300																																																																													
																																																																																																																													
																																																																																																																													
	//幽云十六州																																																																																																																												
YouYSLZqishiNpc005	CommonNpc		殷虹		8	181		2	2	1	0.5	2	hand1_2		npc\worldnpc509	2		icon\funcnpc\worldnpc509.png					0				3	0	0			20														1	qpcj_10076																																																																														
YouYSLZqishiNpc006	CommonNpc		姜世离		8	181		2	2	1	0.5	2	hand1_1		npc\worldnpc192	1		icon\funcnpc\worldnpc192.png					0				3	0	0			20														1	qpcj_10081																																																																														
YouYSLZqishiNpc007	CommonNpc		林绝顶		8	181		2	2	1	0.5	2	hand1_1		npc\worldnpc191	1		icon\funcnpc\worldnpc191.png					0				3	0	0			20														1	qpcj_10086																																																																														
YouYSLZqishiNpc008	CommonNpc		宫盛		8	181		2	2	1	0.5	2	hand1_2		npc\worldnpc080	2		icon\funcnpc\worldnpc080.png					0				3	0	0			20														1	qpcj_10091																																																																														
																																																																																																																													
																																																																																																																													
	//塞北草原																																																																																																																												
SaiBCYqishiNpc005	CommonNpc		钱幻千		8	181		2	2	1	0.5	2	hand1_1		npc\worldnpc253	1		icon\funcnpc\worldnpc253.png					0				3	0	0			20														1	qpcj_10077																																																																														
SaiBCYqishiNpc006	CommonNpc		戎威		8	181		2	2	1	0.5	2	hand1_1		npc\worldnpc276	1		icon\funcnpc\worldnpc276.png					0				3	0	0			20														1	qpcj_10082																																																																														
SaiBCYqishiNpc007	CommonNpc		茹云		8	181		2	2	1	0.5	2	hand1_2		npc\worldnpc507	2		icon\funcnpc\worldnpc507.png					0				3	0	0			20														1	qpcj_10087																																																																														
																																																																																																																													
																																																																																																																													
	//蓬莱仙境																																																																																																																												
PengLXJqishiNpc005	CommonNpc		童基俊		8	181		2	2	1	0.5	2	hand_0		npc\worldnpc114	1		icon\funcnpc\worldnpc114.png					0				3	0	0			20														1	qpcj_10078																																																																														
PengLXJqishiNpc006	CommonNpc		童石恒		8	181		2	2	1	0.5	2	hand1_1		npc\worldnpc459	1		icon\funcnpc\worldnpc459.png					0				3	0	0			20														1	qpcj_10083																																																																														
PengLXJqishiNpc007	CommonNpc		魏潇		8	181		2	2	1	0.5	2	hand1_2		npc\monster048	2		icon\monster\monster048.png					0				3	0	0			20														1	qpcj_10088																																																																														
PengLXJqishiNpc008	CommonNpc		夏岩		8	181		2	2	1	0.5	2	hand1_1		npc\monster270	1		icon\monster\monster270.png					0				3	0	0			20														1	qpcj_10092																																																																														
																																																																																																																													
																																																																																																																													
	//塞外大漠																																																																																																																												
SaiWDMqishiNpc001	CommonNpc		吴越淳		8	181		2	2	1	0.5	2	hand1_1		npc\worldnpc302	1		icon\funcnpc\worldnpc302.png					0				3	0	0			20														1	qpcj_10079																																																																														
SaiWDMqishiNpc002	CommonNpc		武端		8	181		2	2	1	0.5	2	hand_0		npc\worldnpc108	1		icon\funcnpc\worldnpc108.png					0				3	0	0			20														1	qpcj_10084																																																																														
SaiWDMqishiNpc003	CommonNpc		俞雨		8	181		2	2	1	0.5	2	hand1_2		npc\worldnpc235	2		icon\funcnpc\worldnpc235.png					0				3	0	0			20														1	qpcj_10089																																																																														
																																																																																																																													
																																																																																																																													
	//凌霄城																																																																																																																												
LingXCqishiNpc001	CommonNpc		薛志强		8	181		2	2	1	0.5	2	hand1_1		npc\boss031	1		icon\funcnpc\boss031.png					0				3	0	0			20														1	qpcj_10080																																																																														
LingXCqishiNpc002	CommonNpc		荀敛		8	181		2	2	1	0.5	2	hand1_1		npc\monster123	1		icon\monster\monster123.png					0				3	0	0			20														1	qpcj_10085																																																																														
LingXCqishiNpc003	CommonNpc		燕雪佳		8	181		2	2	1	0.5	2	hand1_2		npc\worldnpc226a	2		icon\funcnpc\worldnpc226a.png					0				3	0	0			20														1	qpcj_10090																																																																														
LingXCqishiNpc004	CommonNpc		柳思海		8	181		2	2	1	0.5	2	hand1_1		npc\monster273	1		icon\monster\monster273.png					0				3	0	0			20														1	qpcj_10093																																																																														
																																																																																																																													
	//新手																																																																																																																												
WeiqiNpc001_13	CommonNpc		陆梓桥		8	181		2	2	1	0.5	0	hand1_1		npc\worldnpc399	1		icon\funcnpc\worldnpc399.png					0				3	0	0			20														1	qpcj_10001	296;297;298;299;300	"296,297,298,299,300"																																																																												
WeiqiNpc001_14	CommonNpc		尤为知		8	181		2	2	1	0.5	0	hand1_1		npc\worldnpc399	1		icon\funcnpc\worldnpc399.png					0				3	0	0			20														1	qpcj_10041	296;297;298;299;300	"296,297,298,299,300"																																																																												
WeiqiNpc001_15	CommonNpc		薛智		8	181		2	2	1	0.5	0	hand1_1		npc\worldnpc399	1		icon\funcnpc\worldnpc399.png					0				3	0	0			20														1	qpcj_10042	296;297;298;299;300	"296,297,298,299,300"																																																																												
WeiqiNpc001_16	CommonNpc		刘鸿铭		8	181		2	2	1	0.5	0	hand1_1		npc\worldnpc399	1		icon\funcnpc\worldnpc399.png					0				3	0	0			20														1	qpcj_10093	296;297;298;299;300	"296,297,298,299,300"																																																																												
WeiqiNpc001_17	CommonNpc		沈奕䜣		8	181		2	2	1	0.5	0	hand1_1		npc\worldnpc399	1		icon\funcnpc\worldnpc399.png					0				3	0	0			20														1	qpcj_10093	296;297;298;299;300	"296,297,298,299,300"																																																																												
WeiqiNpc001_18	CommonNpc		沈叶祥		8	181		2	2	1	0.5	0	hand1_1		npc\worldnpc399	1		icon\funcnpc\worldnpc399.png					0				3	0	0			20														1	qpcj_10093	296;297;298;299;300	"296,297,298,299,300"																																																																												
																																																																																																																													
	//宝物																																																																																																																												
Treasure001	CommonNpc		刘颖鹏	1	8	158		2	2	1	1.3	4.8	hand1_2		npc\funcnpc006			icon\funcnpc\funcnpc006.png					0				3	0	0			20			Home_131	1																																																						Shop_baowuhecheng_01			treasure																											3					
Treasure002	CommonNpc		秦福	1	8	159		2	2	1	1.3	4.8	hand1_2		npc\funcnpc007			icon\funcnpc\funcnpc007.png					0				3	0	0			20			Home_131	1																																																									treasuresplit																											19					
																																																																																																																	1												
	//娃娃																																																																																																																												
Newtreasure001	CommonNpc		许泊	1	8	263		2	2	1	1.3	4.8	hand1_2		npc\worldnpc1483								0				3	0	0			20				1																																																									new_tersure			1836;	1836;																							19					
Newtreasure002	CommonNpc		许泱	1	8	82		2	2	1	1.3	4.8	hand1_2		npc\worldnpc1482								0				3	0	0			20				1																																																						shop_newtreasure_fc			new_tersure																											19					
																																																																																																																													
npc_szwe01301	CommonNpc		医生	1	8	92		2	2	1	1.3	4.8	hand1_2		npc\worldnpc105			icon\funcnpc\funcnpc006.png					0	npc\clone\CJ\npc_talk_minigame.lua			3	0	0			20			Home_131	1																																																																																									
npc_szwe01302	CommonNpc		医生	1	8	92		2	2	1	1.3	4.8	hand1_2		npc\funcnpc004			icon\funcnpc\funcnpc006.png					0	npc\clone\CJ\npc_talk_minigame.lua			3	0	0			20			Home_131	1																																																																																									
npc_szwe01303	CommonNpc		医生	1	8	92		2	2	1	1.3	4.8	hand1_2		npc\worldnpc162			icon\funcnpc\funcnpc006.png					0				3	0	0			20			Home_131	1																																																																																									
npc_szwe01304	CommonNpc		医生	1	8	92		2	2	1	1.3	4.8	hand1_2		npc\funcnpc004			icon\funcnpc\funcnpc006.png					0				3	0	0			20			Home_131	1																																																																																									
anqiyindao002	CommonNpc		陈怒	2	8	82		2	2	1	1.25	4	hand1_1		npc\worldnpc164			icon\funcnpc\worldnpc164.png					0				3	0	0			20			Home_133	1																																																													1033;1043;1053;																												
																																																																																																																													
																																																																																																																													
jiuzhuo001	MarryFeastNpc		酒桌档次1		8	301		2	2	0	0	0	hand1_1		npc\itemnpc710								0				0	0	0			5																				1	1							7200	7800					-1																	721																														10000	4	1	-1	5								
jiuzhuo002	MarryFeastNpc		酒桌档次2		8	301		2	2	0	0	0	hand1_1		npc\itemnpc713								0				0	0	0			5																				1	1							7200	7800					-1																	721																														10000	4	1	-1	5								
jiuzhuo003	MarryFeastNpc		酒桌档次3		8	301		2	2	0	0	0	hand1_1		npc\itemnpc716								0				0	0	0			5																				1	1							7200	7800					-1																	721																														10000	4	1	-1	5								
																																																																																																																													
thd_zengyi_001	FightGainNpc		逍遥游仙		8	338		2	2	0	0	0			npc\itemnpc872_b								0				0	0	0			5																				1	1							6000	6000					-1																	81																															99999		-1									
thd_zengyi_002	FightGainNpc		浴血长生		8	338		2	2	0	0	0			npc\itemnpc870_a								0				0	0	0			5																				1	1							6000	6000					-1																	81																															99999		-1									
thd_zengyi_003	FightGainNpc		霸王别姬		8	338		2	2	0	0	0			npc\itemnpc872_a								0				0	0	0			5																				1	1							6000	6000					-1																	81																															99999		-1									
thd_zengyi_004	FightGainNpc		金刚不坏		8	338		2	2	0	0	0			npc\itemnpc871_a								0				0	0	0			5																				1	1							6000	6000					-1																	81																															99999		-1									
zachang001	MarryFeastNpc		砸场者档次1		8	14		2	2		1.25	4	hand1_1		npc\worldnpc550								0				1	1	0			20																				1	3		1					3	10				0	-1				1				1000	30		2000						722	"721,0;723,1"																															2	-1	5								
kanchang001	MarryFeastNpc		看场者档次1		8	14		2	2		1.25	7	hand1_1		npc\worldnpc211								0				1	1	0			20																				1	140		1					3	10				0	-1				1				1000	30		2000						723	"722,0"																															3	-1	5								
zachang002	MarryFeastNpc		砸场者档次2		8	14		2	2		1.25	4	stuff3_1	lst_r_npcitem160	npc\worldnpc165								0				1	1	0			20																				1	3		1					3	10				0	-1				1				1000	30		2000						722	"721,0;723,1"																															2	-1	5								
kanchang002	MarryFeastNpc		看场者档次2		8	14		2	2		1.25	7	hand1_1		npc\worldnpc624								0				1	1	0			20																				1	140		1					3	10		Npc_jh_dldm05		0	-1				1				1000	30		2000						723	"722,0"																															3	-1	5								
zachang003	MarryFeastNpc		砸场者档次3		8	14		2	2		1.25	4	gblade1_1	b_r_npcitem061	npc\worldnpc574								0				1	1	0			20																				1	3		1					3	10				0	-1				1				1000	30		2000						722	"721,0;723,1"																															2	-1	5								
kanchang003	MarryFeastNpc		看场者档次3		8	14		2	2		1.25	7	sword2_1	s_r_npcitem417	npc\worldnpc790								0				1	1	0			20																				1	140		1					3	10		Npc_wd_tjj07		0	-1				1				1000	30		2000						723	"722,0"																															3	-1	5								
																																																																																																																													
																																																																																																																													
																																																																																																																													
//结婚任务NPC																																																																																																																													
fqrwnpc_1001	CommonNpc		任远航			88		2	2	1	0.5	2	ty_shusheng_stand		npc\worldnpc751	1		icon\funcnpc\worldnpc751.png					0				3	0	0			20																																																																																													
fqrwnpc_1002	CommonNpc		尤雨姬			88		2	2	1	0.5	2	hand1_2		npc\worldnpc204	2		icon\funcnpc\worldnpc204.png					0				3	0	0			20																																																																																													
fqrwnpc_1003	CommonNpc		黎倩			88		2	2	1	0.5	2	hand1_2		npc\worldnpc080	2		icon\funcnpc\worldnpc080.png					0				3	0	0			20																																																																921;922	921;922																												
fqrwnpc_1004	CommonNpc		顾杏仙			82		2	2	1	0.5	2	hand1_2		npc\worldnpc240	2		icon\funcnpc\worldnpc240.png					0				3	0	0			20																																																																923;924	923;924																												
fqrwnpc_1005	CommonNpc		姜烈			88		2	2	1	0.5	4	hand1_1		npc\worldnpc164	1		icon\funcnpc\worldnpc164.png					0				3	0	0			20																																																																920;	920;																												
fqrwnpc_1006	CommonNpc		桃树			88		2	2	1	0.5	2			npc\box001			icon\funcnpc\cj_030050.png					0				3	0	0			20																																																																																													
fqrwnpc_1007	CommonNpc		清泉			88		2	2	1	0.5	2			npc\box001								0				3	0	0			20																																																																																													
fqrwnpc_1008	CommonNpc		姜藤浩			88		2	2	1	0.5	2	hand1_1		npc\worldnpc192	1		icon\funcnpc\worldnpc192.png					0				3	0	0			20																																																																925;	925;																												
fqrwnpc_1009	CommonNpc		原馨怡			88		2	2	1	0.5	2	hand1_2		npc\worldnpc240_01	2		icon\funcnpc\worldnpc240.png					0				3	0	0			20																																																																926;	926;																												
fqrwnpc_1010	CommonNpc		笙晓莫			82		2	2	1	0.5	2	hand1_2		npc\worldnpc240	2		icon\funcnpc\worldnpc240.png					0				3	0	0			20																																																																931;960;961;962;963;	931;960;961;962;963;																												
