NPC编号	对象类型	名称	模型编号	触发范围	NPC类型	走路速度	跑步速度	相对位置	子怪物	巡逻模式	AI类型	追击范围	路径编号	能否死亡	脚本编号	AI编辑包	刷新时间
Leader_clone005_034	TeamLeaderNpc	木人巷解禅迷宫7	npc\itemnpc057	10	11	2.5	6	"0,0;-1,-1"	NpcClone005026;NpcClone005025	1	6	0	clone005_034	1			
Leader_clone005_035	TeamLeaderNpc	木人巷解禅迷宫8	npc\itemnpc057	10	11	2.5	6	"0,0;-1,-1"	NpcClone005026;NpcClone005025	1	6	0	clone005_035	1			
Leader_clone005_036	TeamLeaderNpc	木人巷解禅迷宫9	npc\itemnpc057	10	11	2.5	6	"0,0;-1,-1"	NpcClone005026;NpcClone005025	1	6	0	clone005_036	1			
Leader_clone005_037	TeamLeaderNpc	木人巷木人区1	npc\itemnpc057	10	11	2.5	6	"0,0;-1,-1"	NpcClone005028;NpcClone005029	1	6	0	clone005_037	1			
Leader_clone005_038	TeamLeaderNpc	木人巷木人区2	npc\itemnpc057	10	11	2.5	6	"0,0;-1,-1"	NpcClone005028;NpcClone005029	1	6	0	clone005_038	1			
Leader_clone005_039	TeamLeaderNpc	木人巷木人区3	npc\itemnpc057	10	11	2.5	6	"0,0;-1,-1"	NpcClone005029;NpcClone005029	1	6	0	clone005_039	1			
Leader_clone005_040	TeamLeaderNpc	木人巷木人区4	npc\itemnpc057	10	11	2.5	6	"0,0;-1,-1"	NpcClone005029;NpcClone005028	1	6	0	clone005_040	1			
Leader_clone005_041	TeamLeaderNpc	木人巷木人区5	npc\itemnpc057	10	11	2.5	6	"0,0;-1,-1"	NpcClone005029;NpcClone005028	1	6	0	clone005_041	1			
Leader_clone005_042	TeamLeaderNpc	木人巷木人区6	npc\itemnpc057	10	11	2.5	6	"0,0;-1,-1"	NpcClone005028;NpcClone005028	1	6	0	clone005_042	1			
Leader_clone005_043	TeamLeaderNpc	木人巷铜人区1	npc\itemnpc057	10	11	2.5	6	"0,0;-1,-1"	NpcClone005030;NpcClone005031	1	6	0	clone005_043	1			
Leader_clone005_044	TeamLeaderNpc	木人巷铜人区2	npc\itemnpc057	10	11	2.5	6	"0,0;-1,-1"	NpcClone005030;NpcClone005031	1	6	0	clone005_044	1			
Leader_clone005_045	TeamLeaderNpc	木人巷金人区1	npc\itemnpc057	10	11	2.5	6	"0,0;-1,-1;1,-1"	NpcClone005032;NpcClone005033;NpcClone005033	1	6	0	clone005_045	1			
Leader_clone005_046	TeamLeaderNpc	木人巷金人区2	npc\itemnpc057	10	11	2.5	6	"0,0;-1,-1;1,-1"	NpcClone005032;NpcClone005033;NpcClone005033	1	6	0	clone005_046	1			
Leader_clone005_047	TeamLeaderNpc	木人巷罗汉区1	npc\itemnpc057	10	11	2.5	6	"0,0;-1,-1;1,-1"	NpcClone005036;NpcClone005037;NpcClone005037	1	6	0	clone005_047	1			
Leader_clone005_048	TeamLeaderNpc	木人巷罗汉区2	npc\itemnpc057	10	11	2.5	6	"0,0;-1,-1;1,-1"	NpcClone005036;NpcClone005037;NpcClone005037	1	6	0	clone005_048	1			
Leader_clone005_049	TeamLeaderNpc	木人巷罗汉区3	npc\itemnpc057	10	11	2.5	6	"0,0;-1,-1;1,-1"	NpcClone005036;NpcClone005037;NpcClone005037	1	6	0	clone005_049	1			
Leader_clone005_050	TeamLeaderNpc	木人巷罗汉区4	npc\itemnpc057	10	11	2.5	6	"0,0;-1,-1;1,-1"	NpcClone005036;NpcClone005037;NpcClone005037	1	6	0	clone005_050	1			
																	
																	
																	
Leader_clone019_001p	TeamLeaderNpc	蛊使召唤仪式巡逻	npc\itemnpc057e	25	11	6	6	"0,0;-1,-1;1,-1"	NpcClone019014p;NpcClone019014p;NpcClone019016p	1	6	0	clone019_002	1			
Leader_clone019_002p	TeamLeaderNpc	蛊使召唤仪式巡逻	npc\itemnpc057e	25	11	6	6	"0,0;-1,-1;1,-1"	NpcClone019014p;NpcClone019014p;NpcClone019016p	1	6	0	clone019_003	1			
Leader_clone019_003p	TeamLeaderNpc	蛊使召唤仪式巡逻	npc\itemnpc057e	25	11	6	6	"0,0;-1,-1;1,-1"	NpcClone019014p;NpcClone019016p;NpcClone019016p	1	6	0	clone019_004	1			
Leader_clone019_004p	TeamLeaderNpc	蛊使召唤仪式巡逻	npc\itemnpc057e	25	11	6	6	"0,0;-1,-1;1,-1"	NpcClone019014p;NpcClone019016p;NpcClone019016p	1	6	0	clone019_005	1			
Leader_clone019_001k	TeamLeaderNpc	蛊使召唤仪式巡逻	npc\itemnpc057e	25	11	6	6	"0,0;-1,-1;1,-1"	NpcClone019014k;NpcClone019014k;NpcClone019016k	1	6	0	clone019_002	1			
Leader_clone019_002k	TeamLeaderNpc	蛊使召唤仪式巡逻	npc\itemnpc057e	25	11	6	6	"0,0;-1,-1;1,-1"	NpcClone019014k;NpcClone019014k;NpcClone019016k	1	6	0	clone019_003	1			
Leader_clone019_003k	TeamLeaderNpc	蛊使召唤仪式巡逻	npc\itemnpc057e	25	11	6	6	"0,0;-1,-1;1,-1"	NpcClone019014k;NpcClone019016k;NpcClone019016k	1	6	0	clone019_004	1			
Leader_clone019_004k	TeamLeaderNpc	蛊使召唤仪式巡逻	npc\itemnpc057e	25	11	6	6	"0,0;-1,-1;1,-1"	NpcClone019014k;NpcClone019016k;NpcClone019016k	1	6	0	clone019_005	1			
Leader_clone019_001d	TeamLeaderNpc	蛊使召唤仪式巡逻	npc\itemnpc057e	25	11	6	6	"0,0;-1,-1;1,-1"	NpcClone019014d;NpcClone019014d;NpcClone019016d	1	6	0	clone019_002	1			
Leader_clone019_002d	TeamLeaderNpc	蛊使召唤仪式巡逻	npc\itemnpc057e	25	11	6	6	"0,0;-1,-1;1,-1"	NpcClone019014d;NpcClone019014d;NpcClone019016d	1	6	0	clone019_003	1			
Leader_clone019_003d	TeamLeaderNpc	蛊使召唤仪式巡逻	npc\itemnpc057e	25	11	6	6	"0,0;-1,-1;1,-1"	NpcClone019014d;NpcClone019016d;NpcClone019016d	1	6	0	clone019_004	1			
Leader_clone019_004d	TeamLeaderNpc	蛊使召唤仪式巡逻	npc\itemnpc057e	25	11	6	6	"0,0;-1,-1;1,-1"	NpcClone019014d;NpcClone019016d;NpcClone019016d	1	6	0	clone019_005	1			
Leader_clone019_005p	TeamLeaderNpc	巡逻1	npc\itemnpc057e		11	3	5	"0,0;1,0"	NpcClone019035p;NpcClone019036p	1	6	0	clone019_006	1			
Leader_clone019_005k	TeamLeaderNpc	巡逻1	npc\itemnpc057e		11	3	5	"0,0;1,0"	NpcClone019035k;NpcClone019036k	1	6	0	clone019_006	1			
Leader_clone019_005d	TeamLeaderNpc	巡逻1	npc\itemnpc057e		11	3	5	"0,0;1,0"	NpcClone019035d;NpcClone019036d	1	6	0	clone019_006	1			
Leader_clone019_006p	TeamLeaderNpc	鬼使巡逻1	npc\itemnpc057e		11	3	5	"0,0;-1,-1;1,-1"	NpcClone019037p;NpcClone019038p;NpcClone019039p	1	6	0	clone019_007	1			
Leader_clone019_006k	TeamLeaderNpc	鬼使巡逻1	npc\itemnpc057e		11	3	5	"0,0;-1,-1;1,-1"	NpcClone019037k;NpcClone019038k;NpcClone019039k	1	6	0	clone019_007	1			
Leader_clone019_006d	TeamLeaderNpc	鬼使巡逻1	npc\itemnpc057e		11	3	5	"0,0;-1,-1;1,-1"	NpcClone019037d;NpcClone019038d;NpcClone019039d	1	6	0	clone019_007	1			
Leader_clone019_007p	TeamLeaderNpc	鬼使巡逻2	npc\itemnpc057e		11	3	5	"0,0;-1,-1;1,-1"	NpcClone019037p;NpcClone019038p;NpcClone019038p	1	6	0	clone019_008	1			
Leader_clone019_007k	TeamLeaderNpc	鬼使巡逻2	npc\itemnpc057e		11	3	5	"0,0;-1,-1;1,-1"	NpcClone019037k;NpcClone019038k;NpcClone019038k	1	6	0	clone019_008	1			
Leader_clone019_007d	TeamLeaderNpc	鬼使巡逻2	npc\itemnpc057e		11	3	5	"0,0;-1,-1;1,-1"	NpcClone019037d;NpcClone019038d;NpcClone019038d	1	6	0	clone019_008	1			
Leader_clone019_008p	TeamLeaderNpc	毒使巡逻1	npc\itemnpc057e		11	3	5	"0,0;-1,-1;1,-1"	BossClone019015p;NpcClone019040p;NpcClone019041p	1	6	0	clone019_009	1			
Leader_clone019_008k	TeamLeaderNpc	毒使巡逻1	npc\itemnpc057e		11	3	5	"0,0;-1,-1;1,-1"	BossClone019015k;NpcClone019040k;NpcClone019041k	1	6	0	clone019_009	1			
Leader_clone019_008d	TeamLeaderNpc	毒使巡逻1	npc\itemnpc057e		11	3	5	"0,0;-1,-1;1,-1"	BossClone019015d;NpcClone019040d;NpcClone019041d	1	6	0	clone019_009	1			
Leader_clone019_009p	TeamLeaderNpc	毒使巡逻2	npc\itemnpc057e		11	3	5	"0,0;-1,-1;1,-1"	NpcClone019040p;NpcClone019041p	1	6	0	clone019_010	1			
Leader_clone019_009k	TeamLeaderNpc	毒使巡逻2	npc\itemnpc057e		11	3	5	"0,0;-1,-1;1,-1"	NpcClone019040k;NpcClone019041k	1	6	0	clone019_010	1			
Leader_clone019_009d	TeamLeaderNpc	毒使巡逻2	npc\itemnpc057e		11	3	5	"0,0;-1,-1;1,-1"	NpcClone019040d;NpcClone019041d	1	6	0	clone019_010	1			
Leader_clone019_010p	TeamLeaderNpc	尸使巡逻1	npc\itemnpc057e		11	3	5	"0,0;-1,-1;1,-1"	NpcClone019042p;NpcClone019043p;NpcClone019043p	1	6	0	clone019_011	1			
Leader_clone019_010k	TeamLeaderNpc	尸使巡逻1	npc\itemnpc057e		11	3	5	"0,0;-1,-1;1,-1"	NpcClone019042k;NpcClone019043k;NpcClone019043k	1	6	0	clone019_011	1			
Leader_clone019_010d	TeamLeaderNpc	尸使巡逻1	npc\itemnpc057e		11	3	5	"0,0;-1,-1;1,-1"	NpcClone019042d;NpcClone019043d;NpcClone019043d	1	6	0	clone019_011	1			
Leader_clone019_011p	TeamLeaderNpc	佛使巡逻1	npc\itemnpc057e		11	3	5	"0,0;-1,-1;1,-1"	NpcClone019045p;NpcClone019046p;NpcClone019044p	1	6	0	clone019_012	1			
Leader_clone019_011k	TeamLeaderNpc	佛使巡逻1	npc\itemnpc057e		11	3	5	"0,0;-1,-1;1,-1"	NpcClone019045k;NpcClone019046k;NpcClone019044k	1	6	0	clone019_012	1			
Leader_clone019_011d	TeamLeaderNpc	佛使巡逻1	npc\itemnpc057e		11	3	5	"0,0;-1,-1;1,-1"	NpcClone019045d;NpcClone019046d;NpcClone019044d	1	6	0	clone019_012	1			
Leader_clone019_012p	TeamLeaderNpc	佛使巡逻2	npc\itemnpc057e		11	3	5	"1,1;-1,1;-1,-1;1,-1"	NpcClone019045p;NpcClone019046p;NpcClone019044p;NpcClone019045p	1	6	0	clone019_013	1			
Leader_clone019_012k	TeamLeaderNpc	佛使巡逻2	npc\itemnpc057e		11	3	5	"1,1;-1,1;-1,-1;1,-1"	NpcClone019045k;NpcClone019046k;NpcClone019044k;NpcClone019045k	1	6	0	clone019_013	1			
Leader_clone019_012d	TeamLeaderNpc	佛使巡逻2	npc\itemnpc057e		11	3	5	"1,1;-1,1;-1,-1;1,-1"	NpcClone019045d;NpcClone019046d;NpcClone019044d;NpcClone019045d	1	6	0	clone019_013	1			
Leader_clone019_013p	TeamLeaderNpc	山谷巡逻1	npc\itemnpc057e		11	3	5	"0,0;1,0"	NpcClone019077p;NpcClone019077p	1	6	0	clone019_014	1			
Leader_clone019_013k	TeamLeaderNpc	山谷巡逻1	npc\itemnpc057e		11	3	5	"0,0;1,0"	NpcClone019077k;NpcClone019077k	1	6	0	clone019_014	1			
Leader_clone019_013d	TeamLeaderNpc	山谷巡逻1	npc\itemnpc057e		11	3	5	"0,0;1,0"	NpcClone019077d;NpcClone019077d	1	6	0	clone019_014	1			
Leader_clone019_014p	TeamLeaderNpc	山谷巡逻2	npc\itemnpc057e		11	3	5	"0,0;-1,-1;1,-1"	NpcClone019077p;NpcClone019077p;NpcClone019077p	1	6	0	clone019_015	1			
Leader_clone019_014k	TeamLeaderNpc	山谷巡逻2	npc\itemnpc057e		11	3	5	"0,0;-1,-1;1,-1"	NpcClone019077k;NpcClone019077k;NpcClone019077k	1	6	0	clone019_015	1			
Leader_clone019_014d	TeamLeaderNpc	山谷巡逻2	npc\itemnpc057e		11	3	5	"0,0;-1,-1;1,-1"	NpcClone019077d;NpcClone019077d;NpcClone019077d	1	6	0	clone019_015	1			
Leader_clone019_015	TeamLeaderNpc	修罗殿刷兵	npc\itemnpc057e	25	11	6	6	"1,1;-1,1;-1,-1;1,-1"	NpcClone019057;NpcClone019057;NpcClone019058;NpcClone019058	1	6	0	clone019_016	1		1423	
Leader_clone019_016	TeamLeaderNpc	修罗殿刷兵	npc\itemnpc057e	25	11	6	6	"0,0;-1,-1;1,-1"	NpcClone019057;NpcClone019058;NpcClone019058	1	6	0	clone019_016	1		1423	
Leader_clone019_017	TeamLeaderNpc	修罗殿刷兵	npc\itemnpc057e	25	11	3	7.5	"1,1;-1,1;-1,-1;1,-1;0,0"	NpcClone019058;NpcClone019058;NpcClone019058;NpcClone019058;NpcClone019057	1	6	0	clone019_022	1			
Leader_clone019_018	TeamLeaderNpc	修罗殿刷兵	npc\itemnpc057e	16	11	1.5	5	"0,0;-1,-1;1,-1"	NpcClone019074;NpcClone019073;NpcClone019073	1	6	0	mst_clone_008	1			
Leader_clone019_019	TeamLeaderNpc	巡逻1(地狱)	npc\itemnpc057e		11	3	5	"0,0;-1,-1;1,-1"	NpcClone019035;NpcClone019035;NpcClone019036	1	6	0	clone019_006	1			
Leader_clone019_020	TeamLeaderNpc	鬼使巡逻(困难)	npc\itemnpc057e		11	3	5	"0,0;1,0"	NpcClone019037;NpcClone019038	1	6	0	clone019_023	1			
Leader_clone019_021	TeamLeaderNpc	鬼使巡逻(地狱)	npc\itemnpc057e		11	3	5	"0,0;-1,-1;1,-1"	NpcClone019037;NpcClone019037;NpcClone019039	1	6	0	clone019_024	1			
Leader_clone019_022	TeamLeaderNpc	鬼使巡逻(地狱)	npc\itemnpc057e		11	3	5	"0,0;-1,-1;1,-1"	NpcClone019037;NpcClone019037;NpcClone019038	1	6	0	clone019_025	1			
Leader_clone019_023	TeamLeaderNpc	修罗殿困难巡逻	npc\itemnpc057e		11	3	5	"0,0;-1,-1;1,-1"	NpcClone019079k;NpcClone019079k;NpcClone019079k	1	6	0	clone019_026	1			
Leader_clone019_024	TeamLeaderNpc	修罗殿困难巡逻	npc\itemnpc057e		11	3	5	"0,0;-1,-1;1,-1"	NpcClone019079k;NpcClone019079k;NpcClone019079k	1	6	0	clone019_027	1			
Leader_clone019_025	TeamLeaderNpc	修罗殿困难巡逻	npc\itemnpc057e		11	3	5	"0,0;-1,-1;1,-1;1,1"	NpcClone019079k;NpcClone019079k;NpcClone019079k;BossClone019024	1	6	0	clone019_028	1			
Leader_clone019_026	TeamLeaderNpc	修罗殿困难巡逻	npc\itemnpc057e		11	3	5	"0,0;-1,-1;1,-1;1,1"	NpcClone019079k;NpcClone019079k;NpcClone019079k;BossClone019024	1	6	0	clone019_029	1			
Leader_clone019_027	TeamLeaderNpc	修罗殿地狱巡逻	npc\itemnpc057e		11	3	5	"0,0;-1,-1;1,-1;1,1"	NpcClone019079d;NpcClone019079d;NpcClone019079d;BossClone019024	1	6	0	clone019_022	1			
Leader_clone019_028	TeamLeaderNpc	修罗殿地狱巡逻	npc\itemnpc057e		11	3	5	"0,0;-1,-1;1,-1;1,1"	NpcClone019079d;NpcClone019079d;NpcClone019079d;BossClone019024	1	6	0	clone019_032	1			
Leader_clone019_029	TeamLeaderNpc	修罗殿地狱巡逻	npc\itemnpc057e		11	3	5	"0,0;-1,-1;1,-1;1,1"	NpcClone019079d;NpcClone019079d;NpcClone019079d;BossClone019024	1	6	0	clone019_033	1			
Leader_clone019_030	TeamLeaderNpc	修罗殿地狱巡逻	npc\itemnpc057e		11	3	5	"0,0;-1,-1;1,-1;1,1"	NpcClone019079d;NpcClone019079d;NpcClone019079d;BossClone019024	1	6	0	clone019_034	1			
Leader_clone019_031	TeamLeaderNpc	修罗殿地狱巡逻	npc\itemnpc057e		11	3	5	"0,0;-1,-1;1,-1;1,1"	NpcClone019079d;NpcClone019079d;NpcClone019079d;BossClone019024	1	6	0	clone019_035	1			
																	
Leader_clone015_001	TeamLeaderNpc	后庭院巡逻	npc\itemnpc057e		11	1.5	5	"0,1;-1,0;1,0"	NpcClone015005;NpcClone015007;NpcClone015007	1	6	0	clone015_001	1			
Leader_clone015_002	TeamLeaderNpc	后庭院右巡逻	npc\itemnpc057e		11	1.5	5	"0,0;0,-2;0,-3"	NpcClone015002;NpcClone015008;NpcClone015008	1	6	0	clone015_002	1			
Leader_clone015_003	TeamLeaderNpc	后庭院左巡逻	npc\itemnpc057e		11	1.5	5	"0,0;-1,-1;1,-1"	NpcClone015003;NpcClone015005;NpcClone015005	1	6	0	clone015_003	1			
Leader_clone015_004	TeamLeaderNpc	楼梯巡逻	npc\itemnpc057e		11	1.5	5	"0,0;1,0"	NpcClone015004;NpcClone015004	1	6	0	clone015_004	1			
Leader_clone015_005	TeamLeaderNpc	道路巡逻1	npc\itemnpc057e		11	1.5	5	"0,0;-1,-1;1,-1"	NpcClone015008;NpcClone015008;NpcClone015008	1	6	0	clone015_005	1			
Leader_clone015_006	TeamLeaderNpc	道路巡逻2	npc\itemnpc057e		11	1.5	5	"0,0;-1,-1;1,-1"	NpcClone015007;NpcClone015007;NpcClone015007	1	6	0	clone015_006	1			
Leader_clone015_007	TeamLeaderNpc	道路巡逻3	npc\itemnpc057e		11	1.5	5	"1,1;-1,1;-1,-1;1,-1"	NpcClone015008;NpcClone015008;NpcClone015008;NpcClone015008	1	6	0	clone015_007	1			
Leader_clone015_008	TeamLeaderNpc	海贼巡逻	npc\itemnpc057e		11	1.5	5	"0,0;-1,-1;1,-1"	NpcClone015012;NpcClone015012;NpcClone015012	1	6	0	clone015_008	1			
Leader_clone015_009	TeamLeaderNpc	棋道巡逻	npc\itemnpc057e		11	1.5	5	"0,0;1,0"	NpcClone015002;NpcClone015002	1	6	0	clone015_009	1			
Leader_clone015_010	TeamLeaderNpc	崖道巡逻	npc\itemnpc057e		11	1.5	5	"0,0;0,-1;0,-2;0,-3"	NpcClone015008;NpcClone015008;NpcClone015008;NpcClone015008	1	6	0	clone015_010	1			
Leader_clone015_011	TeamLeaderNpc	荷花亭巡逻	npc\itemnpc057e		11	1.5	5	"0,0"	NpcClone015007	1	6	0	clone015_011	1			
Leader_clone015_012	TeamLeaderNpc	左走廊巡逻	npc\itemnpc057e		11	1.5	5	"0,0;1,1"	NpcClone015005;NpcClone015006	1	6	0	clone015_012	1			
Leader_clone015_013	TeamLeaderNpc	右走廊巡逻	npc\itemnpc057e		11	1.5	5	"0,0;1,1"	NpcClone015005;NpcClone015006	1	6	0	clone015_013	1			
Leader_clone015_014	TeamLeaderNpc	酒窖1巡逻	npc\itemnpc057e		11	1.5	5	"0,0"	BossClone015012	1	6	0	clone015_014	1			
Leader_clone015_015	TeamLeaderNpc	酒窖2巡逻	npc\itemnpc057e		11	1.5	5	"0,0"	BossClone015012	1	6	0	clone015_015	1			
Leader_clone015_016	TeamLeaderNpc	左廊巡逻	npc\itemnpc057e		11	1.5	5	"0,0"	NpcClone015003	1	6	0	clone015_016	1			
Leader_clone015_017	TeamLeaderNpc	右廊巡逻	npc\itemnpc057e		11	1.5	5	"0,0"	NpcClone015002	1	6	0	clone015_017	1			
Leader_clone015_018	TeamLeaderNpc	书生	npc\itemnpc057e		11	1.5	5	"0,0"	NpcClone015006	1	6	0	clone015_018	1			
Leader_clone015_019	TeamLeaderNpc	扫地1	npc\itemnpc057e		11	1.5	5	"0,0"	NpcClone015007	1	6	0	clone015_019	1			
Leader_clone015_020	TeamLeaderNpc	扫地2	npc\itemnpc057e		11	1.5	5	"0,0"	NpcClone015007	1	6	0	clone015_020	1			
Leader_clone015_021	TeamLeaderNpc	绕桌	npc\itemnpc057e		11	1.5	5	"0,0"	NpcClone015006	1	6	0	clone015_021	1			
Leader_clone015_022	TeamLeaderNpc	扫地3	npc\itemnpc057e		11	1.5	5	"0,0"	NpcClone015007	1	6	0	clone015_022	1			
Leader_clone015_023	TeamLeaderNpc	书生2	npc\itemnpc057e		11	1.5	5	"0,0"	NpcClone015006	1	6	0	clone015_023	1			
Leader_clone015_024	TeamLeaderNpc	丫鬟	npc\itemnpc057e		11	1.5	5	"0,0;0,-1"	NpcClone015007;NpcClone015007	1	6	0	clone015_024	1			
Leader_clone015_025	TeamLeaderNpc	琴童	npc\itemnpc057e		11	1.5	5	"0,0"	NpcClone015001	1	6	0	clone015_025	1			
Leader_clone015_027	TeamLeaderNpc	琴童	npc\itemnpc057e		11	1.5	5	"0,0"	NpcClone015001	1	6	0	clone015_027	1			
Leader_clone015_026	TeamLeaderNpc	小孩	npc\itemnpc057e		11	1.5	5	"0,0;-1,-2"	FunnpcClone015070;FunnpcClone015073	1	6	0	clone015_026	1			
Leader_clone015_028	TeamLeaderNpc	鸡	npc\itemnpc057e		11	1.5	5	"0,0;-1,-2"	FunnpcClone015071;FunnpcClone015071	1	6	0	clone015_028	1			
																	
																	
																	
Leader_clone013_000	TeamLeaderNpc	宝箱杂役	npc\itemnpc057		11	3	5	"1,-1;-1,-1"	npcclone013028;npcclone013028	1	6	0		1			
Leader_clone013_001	TeamLeaderNpc	庭院巡逻1	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	npcclone013005_01;npcclone013006_01;npcclone013006_01	1	6	0	AI_clone013_xl01	1			
Leader_clone013_002	TeamLeaderNpc	庭院巡逻2	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	npcclone013005_01;npcclone013006_01;npcclone013006_01	1	6	0	AI_clone013_xl02	1			
Leader_clone013_003	TeamLeaderNpc	花海巡逻	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	npcclone013005_01;npcclone013006_01;npcclone013006_01	1	6	0	AI_clone013_xl03	1			
Leader_clone013_004	TeamLeaderNpc	路点46	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	npcclone013006_04;npcclone013005_04;npcclone013005_04	1	6	0	AI_clone013_xl09	1			
Leader_clone013_005	TeamLeaderNpc	路点20	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	npcclone013005_02;npcclone013006_02;npcclone013006_02	1	6	0	AI_clone013_xl08	1			
Leader_clone013_006	TeamLeaderNpc	路点41	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	npcclone013006_02;npcclone013005_02;npcclone013005_02	1	6	0	AI_clone013_xl07	1			
Leader_clone013_007	TeamLeaderNpc	路点36	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	npcclone013005_02;npcclone013006_02;npcclone013006_02	1	6	0	AI_clone013_xl06	1			
Leader_clone013_008	TeamLeaderNpc	路点34	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	npcclone013006_07;npcclone013005_07;npcclone013005_07	1	6	0	AI_clone013_xl05	1			
Leader_clone013_009	TeamLeaderNpc	路点27	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	npcclone013005_07;npcclone013006_07;npcclone013006_07	1	6	0	AI_clone013_xl04	1			
Leader_clone013_010	TeamLeaderNpc	路点52	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	npcclone013005;npcclone013006;npcclone013006	1	6	0	AI_clone013_xl10	1			
Leader_clone013_011	TeamLeaderNpc	路点54	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	npcclone013006;npcclone013005;npcclone013005	1	6	0	AI_clone013_xl11	1			
Leader_clone013_012	TeamLeaderNpc	路点57	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	npcclone013005;npcclone013006;npcclone013006	1	6	0	AI_clone013_xl12	1			
Leader_clone013_013	TeamLeaderNpc	路点58	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	npcclone013006;npcclone013005;npcclone013005	1	6	0	AI_clone013_xl13	1			
Leader_clone013_014	TeamLeaderNpc	路点6	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	npcclone013005;npcclone013006;npcclone013006	1	6	0	AI_clone013_xl14	1			
Leader_clone013_015	TeamLeaderNpc	路点61	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	npcclone013006_06;npcclone013005_06;npcclone013005_06	1	6	0	AI_clone013_xl15	1			
Leader_clone013_016	TeamLeaderNpc	路点64	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	npcclone013005_03;npcclone013006_03;npcclone013006_03	1	6	0	AI_clone013_xl16	1			
Leader_clone013_017	TeamLeaderNpc	路点71	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	npcclone013006_03;npcclone013005_03;npcclone013005_03	1	6	0	AI_clone013_xl17	1			
Leader_clone013_018	TeamLeaderNpc	路点76	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	npcclone013005_03;npcclone013006_03;npcclone013006_03	1	6	0	AI_clone013_xl18	1			
Leader_clone013_019	TeamLeaderNpc	路点81	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	npcclone013005_03;npcclone013006_03;npcclone013006_03	1	6	0	AI_clone013_xl19	1			
Leader_clone013_020	TeamLeaderNpc	路点157	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	npcclone013006_03;npcclone013005_03;npcclone013005_03	1	6	0	AI_clone013_xl20	1			
Leader_clone013_021	TeamLeaderNpc	路点84	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	npcclone013005_03;npcclone013006_03;npcclone013006_03	1	6	0	AI_clone013_xl21	1			
Leader_clone013_022	TeamLeaderNpc	路点86	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	npcclone013006_03;npcclone013005_03;npcclone013005_03	1	6	0	AI_clone013_xl22	1			
Leader_clone013_023	TeamLeaderNpc	路点139	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	npcclone013005_03;npcclone013006_03;npcclone013006_03	1	6	0	AI_clone013_xl23	1			
Leader_clone013_024	TeamLeaderNpc	路点137	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	npcclone013006_03;npcclone013005_03;npcclone013005_03	1	6	0	AI_clone013_xl24	1			
Leader_clone013_025	TeamLeaderNpc	路点93	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	npcclone013005_03;npcclone013006_03;npcclone013006_03	1	6	0	AI_clone013_xl25	1			
Leader_clone013_026	TeamLeaderNpc	路点97	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	npcclone013006_03;npcclone013005_03;npcclone013005_03	1	6	0	AI_clone013_xl26	1			
Leader_clone013_027	TeamLeaderNpc	路点101	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	npcclone013005;npcclone013006;npcclone013006	1	6	0	AI_clone013_xl27	1			
Leader_clone013_028	TeamLeaderNpc	路点158	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	npcclone013005;npcclone013006;npcclone013006	1	6	0	AI_clone013_xl28	1			
Leader_clone013_029	TeamLeaderNpc	路点106	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	npcclone013006;npcclone013005;npcclone013005	1	6	0	AI_clone013_xl29	1			
Leader_clone013_030	TeamLeaderNpc	路点110	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	npcclone013005;npcclone013006;npcclone013006	1	6	0	AI_clone013_xl30	1			
